xlefthand, ylefthand, zlefthand, xRightHand, yRightHand, zRightHand, xLeftElbow, yLeftElbow, zLeftElbow, xRightElbow, yRightElbow, zRightElbow, xLeftshoulder, yLeftshoulder, zLeftshoulder, xRightshoulder, yRightshoulder, zRightshoulder, xSpine, ySpine, zSpine, xHipcenter, yHipcenter, zHipcenter
-0.1420252, 0.2101324, 1.636289, 0.04230187, 0.1857419, 1.66052, -0.1725878, 0.09199864, 1.936561, 0.04515327, 0.1101061, 1.976215, -0.1121427, 0.1215729, 2.183801, -0.01647648, 0.1542767, 2.220734, -0.07154271, -0.1568184, 2.108233, -0.06148304, -0.1968858, 2.049857
-0.1406661, 0.3492703, 1.689613, 0.03297078, 0.2883852, 1.662419, -0.2407625, 0.08827057, 1.89186, 0.1252016, 0.05769183, 1.89672, -0.1712656, -0.01583001, 2.131291, 0.05659425, -0.02766599, 2.088335, -0.05355465, -0.1237854, 2.144127, -0.05986004, -0.1300211, 2.096826
-0.1163388, 0.4566721, 1.719999, 0.0164365, 0.3332146, 1.776292, -0.2563267, 0.1333378, 1.923227, 0.1408405, 0.08036846, 1.944443, -0.225809, -0.01132358, 2.10281, 0.09938424, -0.04930239, 2.115489, -0.09893158, -0.192186, 2.096741, -0.09865178, -0.2125222, 2.03881
-0.1652163, 0.4942558, 1.850552, 0.02877996, 0.3974879, 1.813363, -0.2599728, 0.205103, 1.931713, 0.130159, 0.1711566, 1.94045, -0.2432981, 0.02918031, 2.092308, 0.1004567, -0.03307189, 2.122099, -0.1034248, -0.1875128, 2.09581, -0.1005873, -0.207764, 2.038522
-0.1670682, 0.512235, 1.8893, 0.02653672, 0.4938464, 1.874861, -0.2920176, 0.2086326, 1.983857, 0.1518798, 0.2027408, 1.974861, -0.245386, 0.03226566, 2.103637, 0.1004187, -0.02188505, 2.124418, -0.103793, -0.1842727, 2.095963, -0.1030517, -0.2045499, 2.038627
-0.1950954, 0.5368347, 1.942755, 0.04939535, 0.5274671, 1.926183, -0.3226856, 0.2085056, 2.024206, 0.169584, 0.2082238, 2.005152, -0.255779, 0.006867294, 2.145303, 0.1143802, 0.01638225, 2.138109, -0.07486682, -0.2308607, 2.052901, -0.07755353, -0.2601418, 1.987022
-0.2380285, 0.489698, 1.999804, 0.0809492, 0.5391842, 1.986313, -0.3523341, 0.1908724, 2.061957, 0.1949834, 0.198458, 2.042555, -0.2584166, -0.003004131, 2.152847, 0.1161889, 0.007160586, 2.147782, -0.06888543, -0.2234376, 2.058898, -0.06958209, -0.2484496, 1.995376
-0.2717417, 0.4787343, 2.044138, 0.1180435, 0.4989145, 2.039606, -0.3857227, 0.1786263, 2.0843, 0.2141215, 0.1891033, 2.063262, -0.2579608, -0.01081173, 2.15934, 0.118436, -0.005164783, 2.158247, -0.06726572, -0.2259796, 2.060137, -0.06703747, -0.2521128, 1.996023
-0.2959473, 0.4442365, 2.085411, 0.1620322, 0.4716178, 2.078548, -0.4220635, 0.1478891, 2.112682, 0.2545677, 0.159087, 2.096722, -0.2591544, -0.02036254, 2.165642, 0.1206731, -0.01450728, 2.165914, -0.06519231, -0.2332105, 2.059798, -0.06463645, -0.2627397, 1.993891
-0.3345043, 0.4597686, 2.127959, 0.1820766, 0.4597763, 2.12087, -0.4401756, 0.1255007, 2.131773, 0.2743565, 0.146048, 2.107316, -0.252613, -0.03424701, 2.168267, 0.1196515, -0.02784591, 2.170076, -0.06570865, -0.2340594, 2.061811, -0.06536068, -0.2630394, 1.996188
