xlefthand, ylefthand, zlefthand, xRightHand, yRightHand, zRightHand, xLeftElbow, yLeftElbow, zLeftElbow, xRightElbow, yRightElbow, zRightElbow, xLeftshoulder, yLeftshoulder, zLeftshoulder, xRightshoulder, yRightshoulder, zRightshoulder, xSpine, ySpine, zSpine, xHipcenter, yHipcenter, zHipcenter
-0.7646517, -0.0161397, 1.960528, 0.657298, 0.003995319, 1.987672, -0.4833055, -0.2059754, 2.125576, 0.3981723, -0.182587, 2.089155, -0.2576578, -0.09061221, 2.145926, 0.11137, -0.08440933, 2.152458, -0.05516736, -0.2734072, 2.060833, -0.05374038, -0.3047472, 1.994011
-0.7449151, 0.04808043, 2.018974, 0.6246309, 0.1011141, 2.038079, -0.5174008, -0.1654449, 2.138707, 0.3992091, -0.1564503, 2.111179, -0.2573985, -0.08981508, 2.147164, 0.1113906, -0.08442192, 2.153275, -0.05529641, -0.2740974, 2.061232, -0.05381297, -0.3058839, 1.994087
-0.7387627, 0.1372311, 2.065103, 0.5841878, 0.1772457, 2.075314, -0.5164086, -0.143747, 2.154729, 0.3976208, -0.1149927, 2.138406, -0.2564688, -0.08593509, 2.152368, 0.1123815, -0.08386541, 2.155291, -0.05510894, -0.2744098, 2.061306, -0.05354265, -0.3060098, 1.993963
-0.7008383, 0.2018121, 2.103313, 0.5343066, 0.2448086, 2.147027, -0.5228517, -0.09967543, 2.176335, 0.3704046, -0.09829213, 2.159882, -0.2572638, -0.08209045, 2.158737, 0.1144107, -0.08225441, 2.16038, -0.05481794, -0.2751016, 2.061341, -0.05289237, -0.3065941, 1.993421
-0.6541373, 0.2915995, 2.149196, 0.5204424, 0.2950345, 2.164104, -0.5075168, -0.06321555, 2.19377, 0.3684974, -0.05334391, 2.170434, -0.2579107, -0.07635745, 2.166306, 0.1152515, -0.08089164, 2.163341, -0.05428034, -0.2755318, 2.061615, -0.05230423, -0.3067294, 1.993504
-0.5863978, 0.3221226, 2.167438, 0.4514559, 0.3222382, 2.156099, -0.5098105, -0.01211955, 2.205325, 0.3827153, 0.003034401, 2.173535, -0.2559299, -0.06882204, 2.174853, 0.1196744, -0.07247616, 2.173848, -0.05277399, -0.2745341, 2.064182, -0.05065489, -0.3057232, 1.995249
-0.5327433, 0.3859133, 2.199254, 0.3743155, 0.3739886, 2.179497, -0.4973187, 0.0391905, 2.216197, 0.3722368, 0.03419302, 2.177334, -0.2540533, -0.06383634, 2.18039, 0.1222511, -0.06578835, 2.181143, -0.05312715, -0.2733646, 2.067131, -0.05085768, -0.3046972, 1.997253
-0.46148, 0.4320192, 2.212872, 0.330794, 0.3946142, 2.186881, -0.4875345, 0.04741039, 2.217715, 0.3464876, 0.06747127, 2.18129, -0.2580454, -0.05555144, 2.189924, 0.12453, -0.05884622, 2.1883, -0.05376364, -0.271933, 2.069926, -0.05174355, -0.3034482, 1.999412
-0.4029479, 0.4613863, 2.237017, 0.2872766, 0.4625288, 2.20292, -0.4750342, 0.07042869, 2.220535, 0.332183, 0.1386964, 2.181778, -0.2623168, -0.04808299, 2.19619, 0.1232628, -0.04731659, 2.194993, -0.05497884, -0.2698163, 2.073031, -0.05323413, -0.3011938, 2.002316
-0.3658006, 0.4631346, 2.246456, 0.2302322, 0.4741973, 2.214184, -0.4619158, 0.1539786, 2.21607, 0.3071377, 0.158595, 2.185156, -0.2643508, -0.04165636, 2.200056, 0.1235919, -0.03871172, 2.199334, -0.05501356, -0.2616327, 2.080163, -0.05253654, -0.291355, 2.010196
-0.3466308, 0.4622111, 2.260892, 0.1751557, 0.4723157, 2.204448, -0.4429429, 0.1558094, 2.217974, 0.2758949, 0.1690511, 2.190543, -0.2646977, -0.03494291, 2.203898, 0.1237035, -0.02842222, 2.206205, -0.05411883, -0.2554926, 2.083345, -0.05116208, -0.2845292, 2.013366
-0.3120224, 0.479126, 2.285872, 0.1437562, 0.4885364, 2.224839, -0.3942524, 0.1702351, 2.214913, 0.2383544, 0.1834811, 2.192256, -0.2659917, -0.01782434, 2.213868, 0.120017, -0.01453629, 2.211611, -0.05425167, -0.2478358, 2.08608, -0.05181832, -0.2753374, 2.016638
-0.2548431, 0.6039872, 2.335489, 0.1269699, 0.4945927, 2.227108, -0.3951507, 0.2017809, 2.217057, 0.2408603, 0.2008657, 2.191652, -0.2731538, 0.01613203, 2.2282, 0.1126133, 0.01901931, 2.222269, -0.05606447, -0.2301384, 2.091865, -0.05376152, -0.2544914, 2.023399
-0.2357428, 0.6209924, 2.341968, 0.09695345, 0.4940034, 2.229511, -0.3665987, 0.2314078, 2.218762, 0.2236618, 0.2115217, 2.192817, -0.2773972, 0.03214386, 2.228078, 0.1095586, 0.02485306, 2.224924, -0.06038002, -0.2140564, 2.100217, -0.05532427, -0.2368118, 2.032465
-0.2392147, 0.5629916, 2.318392, 0.07639357, 0.5090363, 2.230186, -0.3449768, 0.2095688, 2.215226, 0.195859, 0.2270375, 2.191123, -0.2337442, 0.02552418, 2.221602, 0.1109317, 0.02888308, 2.227317, -0.0627416, -0.2132578, 2.099488, -0.05753128, -0.2362967, 2.03119
-0.2194645, 0.5901338, 2.321774, 0.04222156, 0.5776224, 2.264796, -0.3050345, 0.2364348, 2.214475, 0.1765122, 0.2349695, 2.18784, -0.2224678, 0.01596222, 2.213965, 0.1111567, 0.03173845, 2.22798, -0.06268419, -0.2148027, 2.097364, -0.05788537, -0.2380628, 2.028769
-0.2025501, 0.5912299, 2.330161, 0.03974779, 0.5799252, 2.274169, -0.2472856, 0.23268, 2.233409, 0.1644878, 0.2403503, 2.186425, -0.1977563, 0.03020925, 2.211537, 0.1093332, 0.03656743, 2.225089, -0.06149446, -0.2138424, 2.096357, -0.05697061, -0.2388861, 2.027175
