xlefthand, ylefthand, zlefthand, xRightHand, yRightHand, zRightHand, xLeftElbow, yLeftElbow, zLeftElbow, xRightElbow, yRightElbow, zRightElbow, xLeftshoulder, yLeftshoulder, zLeftshoulder, xRightshoulder, yRightshoulder, zRightshoulder, xSpine, ySpine, zSpine, xHipcenter, yHipcenter, zHipcenter
-0.1382369, -0.2555321, 1.525807, -0.03842631, -0.4840108, 1.769472, -0.2450047, -0.1929163, 1.857978, 0.1545819, -0.1947995, 1.846831, -0.2295264, -0.06275415, 2.05938, 0.1104049, -0.0586092, 2.067129, -0.04717272, -0.2745979, 2.020019, -0.04533017, -0.312866, 1.951653
-0.139109, -0.247067, 1.528343, 0.0476365, -0.2155687, 1.505169, -0.2470476, -0.1928387, 1.859887, 0.1549786, -0.1936196, 1.847619, -0.2295413, -0.06273723, 2.058649, 0.1107689, -0.05808187, 2.067375, -0.04901939, -0.2713557, 2.021257, -0.04746585, -0.3085507, 1.953179
-0.1420322, -0.220218, 1.543706, 0.04823872, -0.1937512, 1.523419, -0.2605965, -0.1887924, 1.872884, 0.1559481, -0.1929108, 1.846837, -0.2293079, -0.06235056, 2.060341, 0.1112123, -0.05813038, 2.068466, -0.04965406, -0.2705023, 2.022703, -0.04818882, -0.307275, 1.954505
-0.1539796, -0.1724301, 1.563056, 0.05395192, -0.149358, 1.545559, -0.2655541, -0.2105949, 1.841464, 0.1595274, -0.19016, 1.842819, -0.2286427, -0.0612547, 2.064814, 0.1091113, -0.05298886, 2.079791, -0.05247958, -0.2674795, 2.02737, -0.05071088, -0.3033926, 1.958944
-0.1602591, -0.1279949, 1.589592, 0.05802767, -0.1084178, 1.575267, -0.2762752, -0.2113303, 1.830972, 0.163148, -0.185984, 1.836696, -0.2335384, -0.05433976, 2.081524, 0.1093316, -0.04367531, 2.098372, -0.05693219, -0.2616102, 2.036086, -0.0564881, -0.2960027, 1.967988
-0.167906, -0.07447453, 1.623972, 0.07115933, -0.06064279, 1.611365, -0.2763814, -0.1799063, 1.846544, 0.1708646, -0.1582668, 1.874861, -0.2365356, -0.03842921, 2.108718, 0.127811, -0.02336759, 2.140281, -0.05913932, -0.2563166, 2.045531, -0.05735128, -0.2899562, 1.977301
-0.192713, -0.0186847, 1.67101, 0.09291951, 0.001117037, 1.645565, -0.3241481, -0.1890783, 1.860012, 0.1897539, -0.1462427, 1.876998, -0.2382152, -0.04608204, 2.10636, 0.1275465, -0.02282402, 2.142232, -0.05811223, -0.2466551, 2.059075, -0.05581973, -0.2783785, 1.991816
-0.221179, 0.02781732, 1.725442, 0.1043806, 0.04184284, 1.699855, -0.3565418, -0.1799358, 1.935488, 0.2431242, -0.1305821, 1.893531, -0.2023581, -0.05990048, 2.107362, 0.1274907, -0.01926024, 2.148818, -0.05492099, -0.2371314, 2.06977, -0.05227734, -0.2678455, 2.002702
-0.2597941, 0.06473913, 1.786406, 0.1239187, 0.07305065, 1.76145, -0.4082173, -0.1619265, 1.94627, 0.2791276, -0.1173871, 1.928933, -0.2198118, -0.05109023, 2.122364, 0.1109076, -0.03475064, 2.143497, -0.05302269, -0.2338081, 2.072561, -0.05105685, -0.2642385, 2.005516
-0.2933941, 0.1185352, 1.846775, 0.1482373, 0.1294094, 1.816798, -0.4175584, -0.1434009, 2.008204, 0.2967652, -0.1000885, 1.966049, -0.2497451, -0.04131034, 2.146993, 0.1117037, -0.03521184, 2.144106, -0.05160907, -0.2324795, 2.072651, -0.05155469, -0.2631851, 2.005439
