xlefthand, ylefthand, zlefthand, xRightHand, yRightHand, zRightHand, xLeftElbow, yLeftElbow, zLeftElbow, xRightElbow, yRightElbow, zRightElbow, xLeftshoulder, yLeftshoulder, zLeftshoulder, xRightshoulder, yRightshoulder, zRightshoulder, xSpine, ySpine, zSpine, xHipcenter, yHipcenter, zHipcenter
-0.351285, -0.06276549, 1.884137, 0.4218709, -0.04305086, 1.91947, -0.3439951, -0.2127027, 2.176946, 0.3506804, -0.229249, 2.152921, -0.1677187, -0.06814805, 2.182189, 0.1786885, -0.0613978, 2.186136, 0.01449017, -0.2431139, 2.144348, 0.01556446, -0.2817549, 2.087793
-0.3578825, 0.002220043, 1.930844, 0.4268927, 0.02156173, 1.960883, -0.351037, -0.2008945, 2.176533, 0.3586662, -0.2035555, 2.156057, -0.1678254, -0.06814516, 2.182555, 0.1788366, -0.0612064, 2.18685, 0.01435637, -0.2430762, 2.144105, 0.01547407, -0.2816869, 2.087411
-0.3592315, 0.04983284, 1.980625, 0.4304473, 0.06729841, 2.008845, -0.3623208, -0.180547, 2.181528, 0.3803821, -0.2050162, 2.162279, -0.1688138, -0.06745377, 2.184884, 0.1787824, -0.06002711, 2.18887, 0.01407142, -0.2427206, 2.143366, 0.01514729, -0.2811598, 2.086397
-0.3613629, 0.0900108, 2.025303, 0.4216316, 0.1096335, 2.048537, -0.365652, -0.1717536, 2.191464, 0.4041701, -0.1906375, 2.172512, -0.1694341, -0.06647632, 2.187811, 0.1789461, -0.05748846, 2.192809, 0.01399304, -0.2424939, 2.142013, 0.01512044, -0.2805226, 2.084239
-0.3616619, 0.1168102, 2.055538, 0.4123067, 0.1378998, 2.078821, -0.3716428, -0.160763, 2.203053, 0.4173373, -0.1690781, 2.17597, -0.1697608, -0.06521098, 2.191405, 0.1790927, -0.05573592, 2.195908, 0.01441042, -0.2421659, 2.140072, 0.01559539, -0.280063, 2.081644
-0.3614722, 0.1480649, 2.09489, 0.3998224, 0.1624437, 2.10422, -0.3749934, -0.1459595, 2.214289, 0.4109116, -0.1521388, 2.179416, -0.1700249, -0.06258069, 2.196237, 0.1791157, -0.05207147, 2.201047, 0.01444573, -0.2418913, 2.139135, 0.015649, -0.2795963, 2.080376
-0.3605208, 0.1728951, 2.129732, 0.3957272, 0.1851951, 2.130679, -0.379041, -0.1405538, 2.221397, 0.4219819, -0.1336798, 2.182524, -0.1707383, -0.06012216, 2.200981, 0.1809543, -0.04854735, 2.206952, 0.01402009, -0.2416039, 2.137809, 0.01525015, -0.279231, 2.078536
-0.3527999, 0.2033619, 2.145931, 0.3753042, 0.2213688, 2.151321, -0.3874962, -0.09172987, 2.234214, 0.4085624, -0.08779036, 2.205275, -0.1715709, -0.05805347, 2.205252, 0.1866926, -0.04348353, 2.215576, 0.01353172, -0.2410215, 2.137213, 0.01504224, -0.2785525, 2.077826
-0.3522829, 0.2229538, 2.169544, 0.3709568, 0.2378187, 2.163137, -0.4272767, -0.07665709, 2.227223, 0.4156804, -0.07085228, 2.204797, -0.1731504, -0.05474957, 2.210168, 0.1898855, -0.04080029, 2.219199, 0.01348954, -0.2398588, 2.136619, 0.01480076, -0.2771721, 2.077086
-0.3779573, 0.2316442, 2.186589, 0.3526592, 0.2779682, 2.190188, -0.4028749, -0.05843429, 2.24134, 0.4186418, -0.05726244, 2.205387, -0.1742679, -0.05368887, 2.212112, 0.191557, -0.0390259, 2.220904, 0.01549972, -0.2347248, 2.136428, 0.0173613, -0.2697317, 2.076947
-0.3476897, 0.269711, 2.202708, 0.3497797, 0.3167096, 2.195747, -0.4032558, -0.0361354, 2.247669, 0.4297676, 0.0024636, 2.208324, -0.1764166, -0.05045298, 2.215168, 0.1939521, -0.03610644, 2.222711, 0.01547945, -0.2309313, 2.136947, 0.01697239, -0.2660162, 2.077358
-0.3348291, 0.3325437, 2.215206, 0.3754543, 0.3074268, 2.208567, -0.4091564, -0.0005511995, 2.253697, 0.4297639, 0.01798364, 2.208723, -0.1790655, -0.04461516, 2.219219, 0.1977139, -0.03147896, 2.22506, 0.01694478, -0.2264701, 2.136238, 0.01834763, -0.2603906, 2.076597
-0.3258753, 0.34499, 2.219614, 0.3783281, 0.3383479, 2.214268, -0.4057974, 0.02969223, 2.257398, 0.4246265, 0.04789927, 2.209387, -0.1809543, -0.03792011, 2.223073, 0.2006534, -0.02636938, 2.227299, 0.0172124, -0.2238507, 2.136547, 0.01827977, -0.2575072, 2.077001
-0.3267182, 0.3793153, 2.231024, 0.3464022, 0.3753531, 2.215842, -0.4028327, 0.05795559, 2.260839, 0.4189078, 0.0687452, 2.210258, -0.1822247, -0.03284536, 2.225396, 0.201164, -0.01719309, 2.228815, 0.01830454, -0.2203048, 2.136108, 0.0190291, -0.2536958, 2.076464
-0.3402682, 0.3946079, 2.240459, 0.3618542, 0.4191073, 2.231626, -0.4006667, 0.101669, 2.267416, 0.4015813, 0.1262521, 2.213581, -0.1831704, -0.02653636, 2.228699, 0.2012736, -0.009490083, 2.229864, 0.01854087, -0.2181467, 2.136756, 0.01891607, -0.2513791, 2.077077
-0.3406679, 0.4453707, 2.245891, 0.3468356, 0.4502537, 2.235932, -0.391323, 0.150903, 2.269217, 0.3861113, 0.1560618, 2.214457, -0.1830863, -0.01915303, 2.23255, 0.2012907, -0.001610734, 2.230857, 0.01861702, -0.2164918, 2.13729, 0.01859358, -0.2494222, 2.077625
-0.3401637, 0.4710411, 2.247018, 0.3387728, 0.5005851, 2.239759, -0.3810698, 0.174513, 2.272247, 0.361298, 0.2046608, 2.21525, -0.1832758, -0.005088893, 2.240663, 0.1999596, 0.004432699, 2.231639, 0.01849219, -0.2132489, 2.138203, 0.01805328, -0.2456211, 2.078695
-0.3348488, 0.5333931, 2.251193, 0.318717, 0.5106032, 2.234687, -0.3465492, 0.2340731, 2.276064, 0.3503066, 0.2132137, 2.215233, -0.1794226, 0.02380804, 2.254346, 0.1975401, 0.01308694, 2.233809, 0.01859024, -0.2105483, 2.138702, 0.01770112, -0.2429694, 2.079054
-0.3114344, 0.5909352, 2.222761, 0.3201688, 0.5435814, 2.228384, -0.3231151, 0.2445795, 2.274496, 0.3089874, 0.2458129, 2.213531, -0.177063, 0.02930257, 2.256364, 0.190191, 0.03336981, 2.240249, 0.01853695, -0.2073238, 2.138962, 0.01710651, -0.2392777, 2.079281
-0.3094732, 0.6108941, 2.219604, 0.3082989, 0.5485685, 2.216704, -0.2904758, 0.2729837, 2.263012, 0.2954085, 0.2519029, 2.215588, -0.1615984, 0.05550446, 2.26521, 0.1822324, 0.04359467, 2.241578, 0.01882618, -0.2047296, 2.139135, 0.01667679, -0.2364966, 2.079311
-0.3065515, 0.6148999, 2.221465, 0.2460485, 0.6414203, 2.226647, -0.2758631, 0.2857157, 2.261369, 0.262228, 0.2938186, 2.215031, -0.1612813, 0.05725428, 2.264893, 0.1793884, 0.04882669, 2.241672, 0.02065728, -0.1987292, 2.14098, 0.01810185, -0.2293618, 2.081379
-0.28486, 0.6338313, 2.219996, 0.2214296, 0.6571216, 2.210568, -0.2659205, 0.2910013, 2.258718, 0.2599805, 0.2954166, 2.215522, -0.161464, 0.05809817, 2.264182, 0.1806968, 0.0565154, 2.244718, 0.02420799, -0.189468, 2.144541, 0.02168471, -0.2178924, 2.085654
