xlefthand, ylefthand, zlefthand, xRightHand, yRightHand, zRightHand, xLeftElbow, yLeftElbow, zLeftElbow, xRightElbow, yRightElbow, zRightElbow, xLeftshoulder, yLeftshoulder, zLeftshoulder, xRightshoulder, yRightshoulder, zRightshoulder, xSpine, ySpine, zSpine, xHipcenter, yHipcenter, zHipcenter
-0.1949639, -0.4149669, 1.689981, 0.1348179, -0.3943749, 1.688643, -0.2776195, -0.2743998, 1.974437, 0.2491439, -0.2783997, 1.922035, -0.1925393, -0.06786416, 1.968652, 0.1594048, -0.06297512, 1.944193, -0.01350446, -0.2325565, 1.960886, -0.01347868, -0.2840274, 1.952837
-0.2079033, -0.3321679, 1.717101, 0.197547, -0.3838329, 1.722275, -0.2775923, -0.2720135, 1.99125, 0.260818, -0.2704118, 1.942066, -0.1925477, -0.06799944, 1.979969, 0.1605668, -0.0628963, 1.952629, -0.01283901, -0.2334161, 1.966993, -0.01276221, -0.2849759, 1.957881
-0.2113454, -0.3342448, 1.719458, 0.2575175, -0.3966178, 1.758048, -0.2746121, -0.2712411, 2.025855, 0.2766951, -0.2560883, 1.964132, -0.1932217, -0.0677909, 2.004562, 0.1626011, -0.06316002, 1.974447, -0.01079402, -0.2345847, 1.983726, -0.01089975, -0.286126, 1.971167
-0.2258354, -0.3358, 1.737015, 0.2753027, -0.3885322, 1.789552, -0.2912332, -0.279974, 2.023637, 0.2875395, -0.2532918, 1.987663, -0.1925379, -0.06806697, 2.026156, 0.1633783, -0.06513178, 1.989143, -0.007673948, -0.2382471, 1.996625, -0.007992198, -0.2896521, 1.979704
-0.2298784, -0.3324718, 1.74115, 0.2354085, -0.3617621, 1.776145, -0.271782, -0.2670472, 2.079062, 0.2899628, -0.24754, 2.010016, -0.1933729, -0.06884737, 2.046376, 0.1646351, -0.06532348, 2.012079, -0.005947736, -0.237881, 2.015391, -0.005887559, -0.2888396, 1.994154
-0.2400427, -0.3243268, 1.753751, 0.2446555, -0.3449173, 1.773678, -0.2719058, -0.2656298, 2.084008, 0.2942088, -0.246562, 2.026606, -0.1920493, -0.06929305, 2.063412, 0.1650827, -0.06437956, 2.027576, -0.003536507, -0.235981, 2.031255, -0.00368913, -0.2861433, 2.007133
-0.2466602, -0.3114722, 1.765191, 0.2244024, -0.3152846, 1.737825, -0.2701721, -0.2607952, 2.104841, 0.2957758, -0.248924, 2.050247, -0.1907738, -0.07197957, 2.080065, 0.1670515, -0.06481507, 2.047234, -0.0008794002, -0.2359723, 2.047126, -0.0008988782, -0.2849529, 2.019659
-0.2569151, -0.2883935, 1.779348, 0.1964324, -0.3073364, 1.682965, -0.2669852, -0.2578854, 2.122376, 0.2991799, -0.2370456, 2.072104, -0.1888385, -0.07624799, 2.096364, 0.1673809, -0.06514807, 2.067241, 0.001746504, -0.2355684, 2.061667, 0.001867602, -0.2836037, 2.031462
-0.2654725, -0.2675352, 1.791454, 0.2004198, -0.2902519, 1.68961, -0.2634041, -0.2584623, 2.133993, 0.2932165, -0.2243125, 2.095678, -0.1868525, -0.07859645, 2.11067, 0.1691989, -0.06678146, 2.082872, 0.003092509, -0.2370009, 2.072461, 0.003338367, -0.2839983, 2.039541
-0.2817436, -0.2133671, 1.808883, 0.2803678, -0.2019622, 1.782056, -0.2669855, -0.2698371, 2.13807, 0.2794428, -0.2689742, 2.118598, -0.1861363, -0.08072984, 2.125835, 0.1701046, -0.06640512, 2.097841, 0.004509096, -0.2383632, 2.083208, 0.004559358, -0.284425, 2.047642
-0.2975091, -0.2436698, 1.863552, 0.2989115, -0.157743, 1.802217, -0.2758234, -0.2725392, 2.137978, 0.2839814, -0.2670941, 2.117364, -0.1846205, -0.083315, 2.13729, 0.1697107, -0.06748939, 2.114479, 0.004709559, -0.2398888, 2.091414, 0.005256613, -0.2849464, 2.053509
-0.2969418, -0.1227272, 1.852627, 0.3103741, -0.1082279, 1.821425, -0.2934306, -0.2713047, 2.137214, 0.3093459, -0.2481566, 2.116683, -0.1831855, -0.08568781, 2.149037, 0.1705053, -0.06900059, 2.127896, 0.006491835, -0.2405709, 2.100548, 0.007221137, -0.2845505, 2.06024
-0.2967216, -0.08190259, 1.883916, 0.3209378, -0.0631421, 1.8544, -0.3100262, -0.2679718, 2.138284, 0.3185299, -0.2503141, 2.125902, -0.1838495, -0.08690856, 2.160934, 0.171126, -0.07061478, 2.141491, 0.007546098, -0.2404744, 2.107751, 0.008035647, -0.2830988, 2.065272
-0.3086883, -0.03975419, 1.921148, 0.3389174, -0.02815542, 1.892513, -0.3270667, -0.2618908, 2.141603, 0.3261107, -0.2414771, 2.132951, -0.1833003, -0.08707507, 2.172864, 0.1739607, -0.0701743, 2.155338, 0.008465966, -0.2398509, 2.113874, 0.008873981, -0.281221, 2.069622
-0.3090557, 0.001330185, 1.957345, 0.3458082, 0.01043901, 1.930522, -0.335932, -0.2337221, 2.148921, 0.337764, -0.2294079, 2.142578, -0.1827503, -0.08690543, 2.18065, 0.1728908, -0.07093484, 2.162537, 0.008411181, -0.2397853, 2.117076, 0.008689728, -0.2802458, 2.071329
-0.3124084, 0.01450711, 1.982559, 0.3546111, 0.03842717, 1.973895, -0.3480941, -0.2180275, 2.140285, 0.3578943, -0.1925364, 2.142709, -0.182549, -0.08683814, 2.181005, 0.1713965, -0.07011597, 2.168519, 0.008145074, -0.2401169, 2.118035, 0.008789324, -0.2800165, 2.071404
-0.324338, 0.0521419, 2.023572, 0.3614297, 0.06039294, 2.00295, -0.3926042, -0.2075481, 2.133884, 0.3836335, -0.1890287, 2.140117, -0.1814327, -0.08606095, 2.181726, 0.1701821, -0.06831851, 2.17483, 0.008098751, -0.2400504, 2.119247, 0.009118037, -0.2793629, 2.071624
-0.3215002, 0.1055481, 2.038593, 0.3643483, 0.1090807, 2.029479, -0.4049411, -0.1548295, 2.133142, 0.4053748, -0.1582123, 2.130836, -0.1801444, -0.08497382, 2.183005, 0.1680938, -0.06545367, 2.180392, 0.008108773, -0.2394753, 2.120795, 0.009300786, -0.2782608, 2.072023
-0.321562, 0.135428, 2.056428, 0.3638113, 0.1291368, 2.049599, -0.4081203, -0.1338145, 2.134543, 0.3934827, -0.1511788, 2.162415, -0.1793764, -0.08335865, 2.184812, 0.1670029, -0.06461205, 2.183297, 0.00874111, -0.2390836, 2.121751, 0.009891143, -0.2772959, 2.07198
-0.3192075, 0.1827135, 2.084213, 0.3628916, 0.1711998, 2.076281, -0.4181922, -0.08816074, 2.141957, 0.4005262, -0.124245, 2.167017, -0.1788629, -0.08089463, 2.187613, 0.1693769, -0.06222983, 2.191151, 0.008892538, -0.2372018, 2.122859, 0.01038609, -0.2746246, 2.071917
-0.3243098, 0.2082507, 2.090348, 0.3546351, 0.2172523, 2.083665, -0.4327334, -0.05591623, 2.142655, 0.4064913, -0.1005772, 2.16875, -0.1798021, -0.07881649, 2.190243, 0.1735243, -0.06031338, 2.197959, 0.009029085, -0.2346872, 2.12443, 0.0106326, -0.2712141, 2.072366
-0.3305735, 0.2508363, 2.098534, 0.3535371, 0.2497969, 2.095668, -0.4128736, -0.05697806, 2.161827, 0.4187769, -0.05934226, 2.165735, -0.1800325, -0.07681096, 2.192302, 0.1764386, -0.05916931, 2.201457, 0.009365776, -0.2330786, 2.125605, 0.01081702, -0.2689766, 2.072562
-0.3215406, 0.2719088, 2.110296, 0.3478849, 0.2713349, 2.109176, -0.4092805, -0.03414411, 2.167898, 0.4207307, -0.03647048, 2.164055, -0.1818806, -0.07176367, 2.19563, 0.1787133, -0.05799185, 2.203786, 0.01016743, -0.2305904, 2.126606, 0.01146659, -0.2657566, 2.072653
-0.3148722, 0.3246768, 2.116094, 0.3383153, 0.326599, 2.115782, -0.411693, 0.01038891, 2.167687, 0.4155184, 0.009703483, 2.156677, -0.1835441, -0.06444934, 2.199981, 0.1811791, -0.05511336, 2.205669, 0.01113724, -0.2288431, 2.127255, 0.01238287, -0.2629551, 2.072407
-0.3144813, 0.3432471, 2.117039, 0.3386646, 0.3517592, 2.124946, -0.4030554, 0.03108341, 2.169726, 0.4115041, 0.021634, 2.156601, -0.1836234, -0.05640893, 2.204624, 0.1836733, -0.05071688, 2.206799, 0.01218479, -0.2263452, 2.127833, 0.01309272, -0.2597998, 2.072124
-0.3184603, 0.3641691, 2.126452, 0.3387231, 0.3556489, 2.130947, -0.3981055, 0.07070854, 2.170758, 0.3954523, 0.05564641, 2.154126, -0.1809545, -0.04954392, 2.205948, 0.1852535, -0.04475166, 2.208073, 0.0123304, -0.2246648, 2.127943, 0.01305259, -0.2574571, 2.071471
-0.3184729, 0.3677707, 2.125734, 0.3336017, 0.3754543, 2.1318, -0.3902506, 0.08487545, 2.170727, 0.3837819, 0.1043827, 2.149306, -0.1804248, -0.04224451, 2.207916, 0.1839267, -0.03874305, 2.20863, 0.01287899, -0.2233519, 2.127805, 0.01368644, -0.2554784, 2.070661
-0.2813952, 0.4696029, 2.111234, 0.3274711, 0.3966562, 2.131612, -0.3573282, 0.1597478, 2.168339, 0.3691632, 0.1242852, 2.145955, -0.1818005, -0.03336216, 2.211596, 0.1831505, -0.0333498, 2.208418, 0.0136181, -0.2212388, 2.12739, 0.01430867, -0.2525403, 2.069597
-0.2695918, 0.4980386, 2.100983, 0.3129013, 0.4382054, 2.127342, -0.3395834, 0.1854422, 2.166001, 0.3457429, 0.1630439, 2.146092, -0.1807353, -0.02357173, 2.214113, 0.1849714, -0.02595559, 2.210394, 0.01425851, -0.2190352, 2.126992, 0.01508277, -0.2498995, 2.068618
-0.2689322, 0.5278751, 2.108251, 0.2808339, 0.4629621, 2.122993, -0.3066389, 0.2159069, 2.166801, 0.325946, 0.1885396, 2.148904, -0.1788225, -0.01683083, 2.215521, 0.188068, -0.0110506, 2.212415, 0.01454373, -0.2141566, 2.127321, 0.01538425, -0.2448421, 2.068382
-0.2572913, 0.5298802, 2.114657, 0.2730375, 0.4818842, 2.122824, -0.2936888, 0.2225605, 2.168035, 0.3094776, 0.2058597, 2.149422, -0.1754677, -0.006666557, 2.220486, 0.1885164, -0.001835544, 2.214753, 0.01521386, -0.2076057, 2.12914, 0.01565366, -0.2372257, 2.069987
-0.2398442, 0.5567672, 2.108528, 0.2466741, 0.494495, 2.128967, -0.2653685, 0.2337172, 2.169662, 0.2825742, 0.2172184, 2.151805, -0.1735652, 0.01713953, 2.227196, 0.1859066, 0.005726418, 2.216735, 0.01417629, -0.2013854, 2.130809, 0.01541036, -0.2298179, 2.071995
-0.2245336, 0.5849302, 2.107048, 0.2006096, 0.490431, 2.130157, -0.2598498, 0.2329396, 2.171127, 0.2696717, 0.2216567, 2.155501, -0.1738376, 0.02197871, 2.226838, 0.1809035, 0.02516186, 2.22074, 0.01622129, -0.1943351, 2.133286, 0.01676684, -0.220346, 2.075385
-0.2165894, 0.5883763, 2.108029, 0.2033928, 0.5958772, 2.130626, -0.2549356, 0.2317986, 2.171908, 0.2591186, 0.2309279, 2.156943, -0.1738732, 0.02615941, 2.226492, 0.1805249, 0.0266722, 2.22243, 0.01612405, -0.1905814, 2.134581, 0.01686146, -0.2161974, 2.076662
