xlefthand, ylefthand, zlefthand, xRightHand, yRightHand, zRightHand, xLeftElbow, yLeftElbow, zLeftElbow, xRightElbow, yRightElbow, zRightElbow, xLeftshoulder, yLeftshoulder, zLeftshoulder, xRightshoulder, yRightshoulder, zRightshoulder, xSpine, ySpine, zSpine, xHipcenter, yHipcenter, zHipcenter
-0.7273408, -0.05536862, 2.188288, 0.5786965, 0.004685521, 2.348502, -0.4653292, -0.1898448, 2.163897, 0.3305602, -0.1483334, 2.246263, -0.2428775, -0.0689567, 2.189054, 0.05208081, -0.07433726, 2.187891, -0.07344569, -0.2743669, 2.071362, -0.06840453, -0.3071037, 1.990769
-0.7298228, -0.05113444, 2.190563, 0.559265, 0.01673484, 2.364975, -0.4654897, -0.1896755, 2.164066, 0.3184287, -0.1532812, 2.245141, -0.2436447, -0.07002365, 2.18889, 0.04957407, -0.07366154, 2.187299, -0.07293371, -0.2746428, 2.071892, -0.06780332, -0.3078639, 1.991083
-0.7129998, -0.02230367, 2.203737, 0.5449173, 0.01084555, 2.358472, -0.465441, -0.1893378, 2.164017, 0.3174206, -0.15337, 2.245077, -0.239837, -0.07348847, 2.180067, 0.04804557, -0.07270603, 2.186609, -0.07374221, -0.2748213, 2.072075, -0.06780637, -0.3082521, 1.991079
-0.6998017, -0.01408301, 2.204989, 0.5321529, 0.004576333, 2.352722, -0.466571, -0.185784, 2.161213, 0.3095511, -0.1505666, 2.242866, -0.2398751, -0.07327303, 2.180131, 0.04680863, -0.07125675, 2.186095, -0.07301842, -0.2744274, 2.072451, -0.06711061, -0.3079475, 1.991291
-0.6784763, 0.004184574, 2.209273, 0.5165471, 0.007212341, 2.347641, -0.4678202, -0.182314, 2.156962, 0.3017711, -0.147292, 2.239805, -0.2361057, -0.07360522, 2.174867, 0.04639492, -0.07110891, 2.185608, -0.07264375, -0.2730021, 2.073506, -0.06563625, -0.306361, 1.992515
-0.6577454, 0.01506408, 2.216234, 0.500484, 0.02026043, 2.337787, -0.4686695, -0.1778343, 2.154027, 0.2969687, -0.1416529, 2.237127, -0.235417, -0.07402838, 2.172445, 0.0461731, -0.07081688, 2.185004, -0.07216128, -0.2719983, 2.074203, -0.06452646, -0.3051827, 1.993363
-0.6536465, 0.02073931, 2.21422, 0.4888869, 0.02225295, 2.332978, -0.47026, -0.17271, 2.150472, 0.2902867, -0.1370816, 2.233322, -0.2336829, -0.0747954, 2.169306, 0.0435815, -0.06980273, 2.182964, -0.0720982, -0.2719646, 2.074174, -0.06436881, -0.305186, 1.993311
-0.6539192, 0.02597801, 2.212858, 0.4714386, 0.03153357, 2.331399, -0.4719274, -0.1665609, 2.146699, 0.2865911, -0.136047, 2.230251, -0.2338703, -0.07495096, 2.16772, 0.04357314, -0.06877422, 2.181816, -0.07200996, -0.2721201, 2.072594, -0.06426483, -0.3056354, 1.991561
-0.657078, 0.02872397, 2.208227, 0.4682173, 0.03874692, 2.328899, -0.4728453, -0.163613, 2.145399, 0.2833031, -0.1345163, 2.228029, -0.2339973, -0.07511126, 2.167414, 0.04307015, -0.06814593, 2.181533, -0.07132506, -0.2714594, 2.072783, -0.06335304, -0.3048627, 1.991917
-0.6384767, 0.01389653, 2.188421, 0.4646606, 0.04072114, 2.324814, -0.4732489, -0.1621552, 2.144177, 0.2814567, -0.1339804, 2.225165, -0.2339968, -0.07523911, 2.167088, 0.0433276, -0.06747098, 2.181677, -0.07073181, -0.2705351, 2.073198, -0.06261206, -0.3037933, 1.99254
-0.63862, 0.01369591, 2.188032, 0.4602573, 0.04411964, 2.322485, -0.4726588, -0.1619831, 2.143773, 0.2829867, -0.120859, 2.220938, -0.2330628, -0.07540716, 2.166174, 0.04306162, -0.06739604, 2.181201, -0.0702624, -0.2705184, 2.073269, -0.06193078, -0.3038874, 1.9926
-0.6387425, 0.0132409, 2.188098, 0.4569708, 0.04526441, 2.318885, -0.4678688, -0.1617559, 2.143115, 0.281069, -0.1251314, 2.218542, -0.2302937, -0.07601283, 2.163975, 0.04378609, -0.06743491, 2.181097, -0.07002769, -0.2705585, 2.073397, -0.06131889, -0.3039861, 1.992782
-0.6495655, 0.02090925, 2.190675, 0.4593562, 0.03907739, 2.312333, -0.4636364, -0.1639948, 2.141096, 0.2793909, -0.1263846, 2.216961, -0.2288104, -0.07626347, 2.162287, 0.04417299, -0.0672081, 2.180473, -0.06972675, -0.270492, 2.072687, -0.0608278, -0.3039984, 1.992087
-0.649227, 0.01579161, 2.19198, 0.4572883, 0.03694993, 2.310664, -0.4620081, -0.1643254, 2.140703, 0.2776771, -0.126883, 2.21612, -0.2290195, -0.0763841, 2.162301, 0.04413982, -0.0671649, 2.180476, -0.06967913, -0.2702316, 2.073056, -0.06086657, -0.3037122, 1.992656
-0.6486583, 0.01170024, 2.191892, 0.4559153, 0.04377696, 2.316164, -0.4597396, -0.1656519, 2.140047, 0.2763813, -0.1285067, 2.214907, -0.2287277, -0.07659576, 2.161423, 0.04452324, -0.06742393, 2.179857, -0.07027797, -0.2706628, 2.072144, -0.06191289, -0.3044607, 1.991645
-0.6462984, 0.007487506, 2.192333, 0.454263, 0.03312413, 2.308172, -0.4580146, -0.1679693, 2.141077, 0.2749728, -0.1291771, 2.214438, -0.2292368, -0.07672333, 2.161689, 0.04452781, -0.06730899, 2.179972, -0.07019502, -0.2705481, 2.07237, -0.06193618, -0.3043447, 1.99193
-0.6453372, 0.00510671, 2.194756, 0.4527361, 0.03127329, 2.307467, -0.4572856, -0.1679287, 2.141913, 0.27383, -0.1295857, 2.214043, -0.2296959, -0.07671527, 2.162172, 0.04455009, -0.06734846, 2.180046, -0.06997934, -0.2703701, 2.072656, -0.06178543, -0.3042136, 1.992253
-0.6439313, 0.003673404, 2.195832, 0.4508286, 0.02989742, 2.306387, -0.4562936, -0.167883, 2.142861, 0.2724334, -0.1299264, 2.213552, -0.2297929, -0.07670382, 2.162456, 0.04420678, -0.06730843, 2.180049, -0.06993362, -0.2704298, 2.072738, -0.06178391, -0.3043359, 1.99237
-0.6429452, 0.004138216, 2.197368, 0.4480999, 0.02810578, 2.306008, -0.4560016, -0.1668012, 2.14363, 0.2706301, -0.1306238, 2.213007, -0.2300582, -0.07676184, 2.162794, 0.04347288, -0.06761548, 2.179649, -0.06988533, -0.2705074, 2.07282, -0.0617854, -0.3044252, 1.992494
-0.6363188, 0.004580826, 2.204453, 0.4463223, 0.02463552, 2.308563, -0.4561334, -0.1662821, 2.144183, 0.2697829, -0.1307632, 2.212864, -0.2308206, -0.07686706, 2.163306, 0.04343738, -0.06788648, 2.179626, -0.06975707, -0.2704688, 2.072946, -0.06171676, -0.3043842, 1.992649
-0.6340768, 0.004558086, 2.208003, 0.4447593, 0.02759166, 2.302924, -0.4563731, -0.165783, 2.144312, 0.2690581, -0.130801, 2.212355, -0.2315819, -0.07699382, 2.163305, 0.04340868, -0.06793044, 2.179217, -0.07006007, -0.2702365, 2.072695, -0.06224742, -0.3041668, 1.992426
