xlefthand, ylefthand, zlefthand, xRightHand, yRightHand, zRightHand, xLeftElbow, yLeftElbow, zLeftElbow, xRightElbow, yRightElbow, zRightElbow, xLeftshoulder, yLeftshoulder, zLeftshoulder, xRightshoulder, yRightshoulder, zRightshoulder, xSpine, ySpine, zSpine, xHipcenter, yHipcenter, zHipcenter
-0.3994819, 0.04136625, 1.897094, 0.2243465, 0.1027157, 1.909102, -0.4218602, -0.1744872, 2.00031, 0.2975785, -0.121613, 2.002677, -0.2585763, -0.09088688, 2.084841, 0.09543093, -0.07334316, 2.075552, -0.07107621, -0.2455764, 2.054435, -0.06968518, -0.2818387, 1.999235
-0.3969442, 0.05563543, 1.912681, 0.2195938, 0.1121999, 1.931758, -0.4209326, -0.1742841, 2.014553, 0.2967864, -0.1170403, 2.008271, -0.2576185, -0.09045585, 2.086435, 0.09499867, -0.07282742, 2.076889, -0.07095154, -0.2457586, 2.054874, -0.06962653, -0.281879, 1.999583
-0.3983954, 0.07241207, 1.938505, 0.2174544, 0.1194198, 1.953042, -0.4266512, -0.1690535, 2.023666, 0.2974936, -0.1088278, 2.022383, -0.2561092, -0.08932617, 2.093973, 0.09856579, -0.07363261, 2.084743, -0.07369892, -0.2461786, 2.059046, -0.07237006, -0.2821248, 2.003509
-0.4015763, 0.07961718, 1.953005, 0.2117114, 0.1282274, 1.978954, -0.4645218, -0.1794341, 2.036775, 0.2983237, -0.09972534, 2.038093, -0.2570378, -0.09015109, 2.102755, 0.09371026, -0.0725951, 2.091394, -0.07372374, -0.2444551, 2.066701, -0.07281695, -0.2800162, 2.011024
-0.4203747, 0.08676042, 1.987612, 0.2109411, 0.1317722, 1.996396, -0.4691406, -0.1847093, 2.049272, 0.2999345, -0.09345996, 2.053748, -0.2592023, -0.08997783, 2.114452, 0.07742883, -0.07228756, 2.098457, -0.07391927, -0.245056, 2.070508, -0.07340804, -0.2798372, 2.014282
-0.4200667, 0.09841565, 1.999855, 0.2096924, 0.1354602, 2.024774, -0.4745601, -0.1791262, 2.060844, 0.2962844, -0.09466705, 2.075442, -0.2594826, -0.08969596, 2.122086, 0.07138191, -0.07176527, 2.102978, -0.0742012, -0.2456562, 2.073691, -0.07414463, -0.2796921, 2.0167
-0.4533163, 0.08787894, 2.030597, 0.1970672, 0.1400042, 2.042938, -0.4510756, -0.1617461, 2.097079, 0.300708, -0.08862685, 2.091292, -0.2591238, -0.088902, 2.128664, 0.06628736, -0.07019372, 2.110232, -0.07711414, -0.2439986, 2.0791, -0.07737309, -0.2782971, 2.021791
-0.4586811, 0.0905215, 2.040537, 0.1928645, 0.1443537, 2.068881, -0.4741891, -0.2025055, 2.116954, 0.2990085, -0.08902737, 2.114655, -0.2643141, -0.09213424, 2.135822, 0.06413709, -0.06933521, 2.116789, -0.07778239, -0.2431837, 2.081513, -0.07848017, -0.2773069, 2.023834
-0.462341, 0.1122998, 2.07324, 0.1913954, 0.1437565, 2.077341, -0.4773964, -0.1949649, 2.111503, 0.3045287, -0.08778472, 2.128426, -0.266238, -0.0924198, 2.139859, 0.06266556, -0.06818376, 2.124227, -0.07899167, -0.24278, 2.082614, -0.07937351, -0.2768674, 2.024616
-0.4723409, 0.1039734, 2.084044, 0.1916805, 0.141972, 2.089721, -0.4561058, -0.1652616, 2.118167, 0.3022892, -0.08691788, 2.140665, -0.2632592, -0.09164744, 2.141303, 0.06121138, -0.06819649, 2.127832, -0.07937168, -0.2429506, 2.082885, -0.07955541, -0.2769523, 2.024809
