xlefthand, ylefthand, zlefthand, xRightHand, yRightHand, zRightHand, xLeftElbow, yLeftElbow, zLeftElbow, xRightElbow, yRightElbow, zRightElbow, xLeftshoulder, yLeftshoulder, zLeftshoulder, xRightshoulder, yRightshoulder, zRightshoulder, xSpine, ySpine, zSpine, xHipcenter, yHipcenter, zHipcenter
-0.5654429, -0.2983713, 1.687743, 0.5854652, -0.2583305, 1.522101, -0.3003255, -0.4610065, 1.744191, 0.4142783, -0.4167419, 1.639338, -0.1480391, -0.3200072, 1.69642, 0.1581261, -0.297624, 1.65935, 0.02731471, -0.4213263, 1.658146, 0.02344777, -0.4495957, 1.61283
-0.54619, -0.2465276, 1.69393, 0.5988011, -0.1813407, 1.559359, -0.3524952, -0.4284862, 1.747136, 0.3924554, -0.3895099, 1.656453, -0.1480344, -0.3199945, 1.696729, 0.1608059, -0.2978573, 1.660321, 0.02721402, -0.4212965, 1.658293, 0.02346313, -0.4495282, 1.612941
-0.5337354, -0.06737237, 1.80123, 0.5645549, -0.0371124, 1.638806, -0.379766, -0.3579336, 1.773309, 0.4083711, -0.3380068, 1.665758, -0.1534523, -0.3094225, 1.710465, 0.1692465, -0.2935632, 1.666276, 0.02590402, -0.406723, 1.664153, 0.02143326, -0.4299461, 1.61988
-0.5280597, -0.05764874, 1.778918, 0.5285141, -0.01614176, 1.661995, -0.4068692, -0.3030089, 1.794366, 0.4106362, -0.3198385, 1.671138, -0.1569432, -0.3042153, 1.71662, 0.1731231, -0.290574, 1.668983, 0.02307344, -0.4025953, 1.662571, 0.0177557, -0.4244151, 1.617532
-0.4894613, 0.00280007, 1.830117, 0.5010418, 0.1249907, 1.680435, -0.4112197, -0.2699651, 1.806242, 0.429049, -0.2545854, 1.679663, -0.1585895, -0.2984562, 1.7215, 0.1766156, -0.2867686, 1.671657, 0.01932905, -0.3984924, 1.662865, 0.01342681, -0.4195672, 1.617591
-0.4633449, 0.1184039, 1.8513, 0.4862348, 0.1238231, 1.687177, -0.4025656, -0.2193319, 1.823975, 0.4339745, -0.2299506, 1.685117, -0.1602025, -0.2931074, 1.726339, 0.1783543, -0.2833543, 1.673524, 0.01711201, -0.3956026, 1.663355, 0.01105874, -0.4161268, 1.617947
-0.4634362, 0.116286, 1.852207, 0.4460627, 0.1490466, 1.731192, -0.3934365, -0.1944575, 1.832073, 0.4306289, -0.1940002, 1.693218, -0.1603168, -0.2869382, 1.732043, 0.1801288, -0.2790857, 1.676472, 0.01657355, -0.3958816, 1.663129, 0.01033072, -0.4164381, 1.617647
-0.4601912, 0.09199528, 1.862695, 0.4348388, 0.1513838, 1.720445, -0.3792833, -0.1707051, 1.836722, 0.4264699, -0.1715227, 1.69666, -0.1678063, -0.2700734, 1.751825, 0.1824371, -0.2733265, 1.680119, 0.02014991, -0.3933303, 1.671703, 0.01467084, -0.4151236, 1.627774
-0.4360389, 0.1866301, 1.8943, 0.4078614, 0.1827832, 1.752215, -0.3686533, -0.1511177, 1.841637, 0.4193688, -0.1178848, 1.704342, -0.1686703, -0.2645161, 1.758271, 0.184319, -0.2674888, 1.684075, 0.02179429, -0.3897123, 1.67505, 0.01650412, -0.4110633, 1.631011
-0.4353018, 0.1783166, 1.894612, 0.4052909, 0.1775311, 1.745147, -0.362242, -0.1198195, 1.846226, 0.4176363, -0.1097893, 1.705968, -0.169619, -0.2572349, 1.765774, 0.1876439, -0.2603301, 1.689477, 0.02025634, -0.3850453, 1.678592, 0.01439489, -0.4052846, 1.635129
-0.4016907, 0.2749245, 1.930419, 0.3900291, 0.193599, 1.743062, -0.3616906, -0.09854989, 1.849543, 0.411207, -0.09375249, 1.70872, -0.1695538, -0.2535342, 1.768617, 0.1893368, -0.2561015, 1.692577, 0.01964166, -0.381746, 1.68091, 0.01382844, -0.4015249, 1.637517
-0.4001103, 0.2787719, 1.932291, 0.3889185, 0.2004385, 1.745091, -0.360499, -0.09681536, 1.84945, 0.4075437, -0.08850358, 1.708964, -0.1691342, -0.250319, 1.770626, 0.1903145, -0.2537036, 1.693928, 0.01914351, -0.3783896, 1.682395, 0.01312225, -0.3975797, 1.639105
