xlefthand, ylefthand, zlefthand, xRightHand, yRightHand, zRightHand, xLeftElbow, yLeftElbow, zLeftElbow, xRightElbow, yRightElbow, zRightElbow, xLeftshoulder, yLeftshoulder, zLeftshoulder, xRightshoulder, yRightshoulder, zRightshoulder, xSpine, ySpine, zSpine, xHipcenter, yHipcenter, zHipcenter
-0.575405, 0.0825464, 2.033659, 0.5549748, 0.08553742, 2.051654, -0.4301169, -0.1983982, 2.196926, 0.3958273, -0.1954964, 2.174094, -0.1822754, -0.06144774, 2.204699, 0.2061696, -0.06817992, 2.211245, 0.002809376, -0.2452769, 2.126834, 0.002978426, -0.2826368, 2.061507
-0.5327417, 0.1622424, 2.065531, 0.5354402, 0.1964646, 2.062832, -0.4367148, -0.1547485, 2.179935, 0.413705, -0.1406846, 2.157323, -0.1873131, -0.06214804, 2.20755, 0.2083154, -0.06734947, 2.211737, 0.003146616, -0.2448964, 2.127144, 0.003039141, -0.2822234, 2.061798
-0.480058, 0.2599818, 2.068691, 0.4952139, 0.2606648, 2.075184, -0.4580014, -0.07232301, 2.160786, 0.4504422, -0.06580354, 2.136285, -0.1960093, -0.05959786, 2.211011, 0.2139869, -0.06534389, 2.211217, 0.005872829, -0.2377774, 2.131823, 0.006740675, -0.2734116, 2.067258
-0.4161006, 0.3681621, 2.106525, 0.4322775, 0.3544858, 2.098444, -0.4652209, 0.009457408, 2.14281, 0.4368729, -0.006373513, 2.128616, -0.2079353, -0.05089063, 2.211737, 0.2174474, -0.04882788, 2.210244, 0.007582378, -0.2320965, 2.136033, 0.007899085, -0.2677134, 2.0716
-0.3683576, 0.3944973, 2.139615, 0.4129604, 0.3479131, 2.109088, -0.4583809, 0.05820311, 2.130604, 0.4258153, 0.04354664, 2.119532, -0.2180653, -0.03502319, 2.211294, 0.2158579, -0.03403535, 2.204691, 0.005910332, -0.2312119, 2.136517, 0.005611294, -0.2665706, 2.072083
-0.3206511, 0.4513549, 2.162773, 0.3805098, 0.4142702, 2.118232, -0.4146182, 0.099865, 2.126548, 0.4198076, 0.1267383, 2.112466, -0.2177213, -0.0252361, 2.206327, 0.2129203, -0.01914011, 2.200518, 0.00574532, -0.2295409, 2.136747, 0.005074698, -0.2650279, 2.072189
-0.2613555, 0.4783264, 2.184215, 0.3198491, 0.4782405, 2.139359, -0.3845346, 0.1572056, 2.129148, 0.3950135, 0.1918905, 2.111531, -0.205746, 0.007579709, 2.20333, 0.2074708, -4.866021E-05, 2.19567, 0.00718992, -0.2227582, 2.137166, 0.007059194, -0.2592249, 2.072085
-0.2042491, 0.5261106, 2.200813, 0.2754428, 0.5448075, 2.16899, -0.3508915, 0.2180335, 2.133363, 0.3675652, 0.2126595, 2.114588, -0.2055287, 0.01534922, 2.203268, 0.2034105, 0.009187823, 2.194325, 0.006525608, -0.2161627, 2.135544, 0.005995017, -0.2513422, 2.070068
-0.1580789, 0.564169, 2.211242, 0.226862, 0.5342288, 2.16664, -0.3175344, 0.263005, 2.125431, 0.3329128, 0.2630309, 2.111484, -0.2033133, 0.02858663, 2.204198, 0.1953382, 0.02722521, 2.195425, 0.005521181, -0.2065522, 2.132383, 0.005407066, -0.2404965, 2.06645
-0.1294069, 0.5731465, 2.215097, 0.1877524, 0.5407128, 2.178671, -0.2914219, 0.2780994, 2.125586, 0.3190136, 0.2687816, 2.114869, -0.1894351, 0.03728186, 2.206225, 0.1911676, 0.05496635, 2.198659, 0.004439058, -0.1933158, 2.128954, 0.002667007, -0.2239195, 2.063283
-0.1085621, 0.5820872, 2.221362, 0.1673406, 0.5377014, 2.171102, -0.2662972, 0.2935336, 2.134737, 0.2974108, 0.2736729, 2.120932, -0.179462, 0.06020392, 2.208234, 0.1908261, 0.05538081, 2.198843, -0.0004972299, -0.1781924, 2.131877, -0.002118764, -0.2064504, 2.067574
-0.1140114, 0.5894072, 2.217936, 0.1209461, 0.6117266, 2.203839, -0.2548875, 0.2848709, 2.139203, 0.2837752, 0.2822261, 2.128803, -0.1972837, 0.01489302, 2.207645, 0.1859431, 0.05781304, 2.201455, 0.005263556, -0.169182, 2.136552, 0.003820454, -0.1945646, 2.074896
