xlefthand, ylefthand, zlefthand, xRightHand, yRightHand, zRightHand, xLeftElbow, yLeftElbow, zLeftElbow, xRightElbow, yRightElbow, zRightElbow, xLeftshoulder, yLeftshoulder, zLeftshoulder, xRightshoulder, yRightshoulder, zRightshoulder, xSpine, ySpine, zSpine, xHipcenter, yHipcenter, zHipcenter
-0.5823396, -0.2109568, 1.893273, 0.3087132, -0.2524132, 1.890542, -0.3717327, -0.2802425, 2.163429, 0.2004383, -0.2668106, 2.202446, -0.260931, -0.01436525, 2.142332, 0.09984709, -0.02474841, 2.178826, -0.08833129, -0.2248562, 2.095752, -0.0816076, -0.2679231, 2.023962
-0.6023963, -0.2207164, 1.933677, 0.3513373, -0.2495858, 1.934844, -0.3710021, -0.2814066, 2.166852, 0.2008529, -0.267914, 2.208029, -0.257566, -0.0136067, 2.141602, 0.09956802, -0.02385666, 2.179377, -0.08850528, -0.2248435, 2.095659, -0.08157429, -0.2679968, 2.023821
-0.6130283, -0.2268151, 1.961962, 0.3802102, -0.2323397, 1.957035, -0.368812, -0.2829354, 2.169154, 0.2013932, -0.2686451, 2.211245, -0.2519321, -0.01084251, 2.142257, 0.09935467, -0.0227341, 2.18073, -0.08870568, -0.2246196, 2.095408, -0.08154903, -0.2678997, 2.023491
-0.6174073, -0.2319688, 1.983012, 0.3903972, -0.2236638, 1.969914, -0.3663275, -0.2884197, 2.177323, 0.2011798, -0.2695974, 2.215186, -0.2448562, -0.008478582, 2.141833, 0.09934367, -0.02200681, 2.18151, -0.0890191, -0.2245378, 2.094982, -0.08151398, -0.2680273, 2.022771
-0.6227103, -0.2295578, 1.990979, 0.4071406, -0.200901, 1.986508, -0.366486, -0.290153, 2.179795, 0.2019758, -0.270014, 2.219622, -0.2398192, -0.006770147, 2.142114, 0.09907901, -0.02119704, 2.182527, -0.08885872, -0.2246965, 2.094618, -0.08108589, -0.2684619, 2.022064
-0.6266104, -0.2223134, 2.003338, 0.423691, -0.1728764, 1.990679, -0.3678661, -0.2900168, 2.181874, 0.2065819, -0.2683637, 2.220474, -0.2373364, -0.006584163, 2.142242, 0.09879132, -0.01974374, 2.184974, -0.08908764, -0.2247832, 2.094539, -0.08097411, -0.2687014, 2.021803
-0.6443553, -0.1878593, 2.007817, 0.4382663, -0.11872, 1.988406, -0.3748321, -0.2871761, 2.181527, 0.2208756, -0.2544168, 2.217482, -0.2364725, -0.006888166, 2.142418, 0.09347944, -0.01804789, 2.184828, -0.0887962, -0.2251523, 2.094554, -0.08072618, -0.2692924, 2.021612
-0.6631863, -0.1299365, 2.002997, 0.4473273, -0.05318309, 1.986339, -0.4032637, -0.2618346, 2.168661, 0.2368499, -0.2419192, 2.212454, -0.2370503, -0.0070849, 2.145464, 0.09272942, -0.01793621, 2.185157, -0.08837555, -0.2253828, 2.094829, -0.0807355, -0.2693755, 2.021778
-0.6735347, -0.07871754, 2.006902, 0.4530552, 0.02163085, 1.986168, -0.4278048, -0.2437918, 2.158893, 0.2747886, -0.2097339, 2.194345, -0.2386776, -0.00737258, 2.149739, 0.09223467, -0.01739, 2.186055, -0.08810642, -0.2255773, 2.09602, -0.0810587, -0.2692668, 2.022539
-0.6821777, 0.004056269, 2.003431, 0.453183, 0.09763975, 1.991593, -0.4477557, -0.231068, 2.149623, 0.2976389, -0.2078457, 2.186248, -0.2402557, -0.007743452, 2.153485, 0.09460516, -0.01565573, 2.191162, -0.08773687, -0.2253427, 2.097938, -0.0809259, -0.2687919, 2.023784
-0.6740534, 0.05532248, 2.018388, 0.4441184, 0.1718127, 2.000086, -0.4511396, -0.2364885, 2.149135, 0.3265758, -0.1628028, 2.161508, -0.2464096, -0.008734642, 2.16169, 0.09577716, -0.01458354, 2.193516, -0.08697994, -0.2242242, 2.100668, -0.08106783, -0.2668288, 2.026417
-0.6737185, 0.1564657, 2.020658, 0.4301649, 0.2537602, 2.015984, -0.4960358, -0.1469233, 2.121432, 0.3349465, -0.09628022, 2.150087, -0.258315, -0.01025883, 2.172024, 0.1002564, -0.01283708, 2.19872, -0.08589663, -0.2199616, 2.106786, -0.08095297, -0.261784, 2.032358
-0.6664036, 0.2511269, 2.030063, 0.4117222, 0.3339837, 2.033342, -0.5085839, -0.08600683, 2.116966, 0.3655104, -0.01857717, 2.146555, -0.2769848, -0.01010016, 2.180661, 0.1071846, -0.009278173, 2.202747, -0.08588296, -0.2132209, 2.115188, -0.08219266, -0.2532681, 2.041235
-0.6485724, 0.3420019, 2.046759, 0.3929801, 0.4121401, 2.058586, -0.558536, -0.02670512, 2.105668, 0.3720828, 0.04859326, 2.143507, -0.2914878, -0.001859681, 2.186366, 0.1136276, 0.0005269414, 2.205551, -0.08757932, -0.2020295, 2.126075, -0.08473527, -0.2399726, 2.052813
-0.6319588, 0.4180271, 2.065721, 0.3675807, 0.4831315, 2.075498, -0.5561989, 0.06453212, 2.107275, 0.3607004, 0.09486699, 2.146169, -0.2985505, 0.009220735, 2.188335, 0.1186083, 0.0147366, 2.208591, -0.08799393, -0.1959456, 2.130304, -0.08508988, -0.2321687, 2.058108
