xlefthand,ylefthand,zlefthand,xrighthand,yrighthand,zrighthand,xleftbow,yleftbow,zleftbow,xrightelbow,yrightelbow,zrightelbow,xleftshoulder,yleftshoulder,zleftshoulder,xrightshoulder,yrightshoulder,zrightshoulder,xspine,yspine,zspine,xhipcenter,yhipcenter,zhipcenter
36,246,2.3506805896759033,262,235,2.462203025817871,57,179,2.416257858276367,206,182,2.57637095451355,76,135,2.381826162338257,166,132,2.513669729232788,125,190,2.45133376121521,126,203,2.408985137939453
39,257,2.349475145339966,225,251,2.310418128967285,69,188,2.4978890419006348,210,186,2.5516409873962402,93,135,2.4343554973602295,179,134,2.5134780406951904,138,190,2.4796559810638428,137,203,2.4332408905029297
39,256,2.3498363494873047,216,255,2.316854953765869,70,188,2.503230333328247,210,186,2.5490195751190186,94,135,2.437802791595459,179,134,2.513115167617798,139,191,2.4820685386657715,138,203,2.435149669647217
44,248,2.361741542816162,211,258,2.321894645690918,71,188,2.5070364475250244,210,187,2.5481438636779785,95,135,2.4413771629333496,180,135,2.5124545097351074,140,191,2.4840500354766846,139,204,2.4367928504943848
44,254,2.342679262161255,208,263,2.3263566493988037,71,188,2.5109236240386963,209,188,2.545584201812744,96,135,2.4454660415649414,180,135,2.5124528408050537,141,191,2.485933303833008,140,204,2.4379665851593018
44,253,2.3392064571380615,206,264,2.3340306282043457,71,189,2.5152132511138916,209,192,2.5444719791412354,95,137,2.452704429626465,181,137,2.5109777450561523,142,192,2.488386631011963,140,205,2.4393997192382812
45,251,2.327411413192749,204,267,2.359632968902588,72,189,2.520015001296997,206,193,2.5454065799713135,95,138,2.4617960453033447,181,138,2.5094962120056152,143,194,2.490955352783203,141,206,2.4399783611297607
46,251,2.318943977355957,204,269,2.382493734359741,72,190,2.523075819015503,206,194,2.5484189987182617,94,139,2.467397451400757,181,139,2.50831937789917,143,194,2.491685390472412,141,207,2.4397714138031006
47,253,2.3062078952789307,206,269,2.420724868774414,73,191,2.5331225395202637,206,194,2.5516512393951416,92,141,2.4815242290496826,179,139,2.5066730976104736,143,195,2.4940171241760254,140,207,2.4405746459960938
57,263,2.347541093826294,213,268,2.4826622009277344,75,197,2.5521292686462402,206,191,2.5604562759399414,88,143,2.497009754180908,175,138,2.5020833015441895,138,196,2.497415542602539,135,208,2.441805124282837
59,265,2.370936155319214,215,268,2.4850218296051025,74,199,2.5529298782348633,206,191,2.5616374015808105,87,143,2.498279333114624,174,138,2.5018913745880127,137,196,2.497988700866699,135,208,2.4422225952148438
59,266,2.384519577026367,216,267,2.4858341217041016,74,202,2.5520241260528564,206,190,2.5633461475372314,86,144,2.498650550842285,173,137,2.5022950172424316,136,196,2.5001800060272217,134,209,2.4445083141326904
64,270,2.4545698165893555,218,264,2.459906816482544,73,204,2.5501718521118164,206,189,2.565603256225586,85,145,2.5020768642425537,171,137,2.5053622722625732,135,197,2.5011134147644043,133,209,2.445234537124634
63,271,2.454437255859375,217,263,2.44692325592041,73,205,2.54962158203125,205,189,2.5662684440612793,83,145,2.506080389022827,171,137,2.5084595680236816,134,197,2.501850128173828,132,209,2.445967435836792
63,271,2.4546053409576416,216,261,2.43149733543396,73,205,2.548872709274292,205,190,2.5685524940490723,83,146,2.506453275680542,171,137,2.5109126567840576,134,197,2.502004861831665,132,209,2.446032762527466
64,271,2.4600024223327637,214,261,2.4219000339508057,72,205,2.5484135150909424,205,190,2.5704965591430664,82,146,2.5058329105377197,170,137,2.5132696628570557,134,197,2.5022780895233154,132,209,2.4462435245513916
63,271,2.456009864807129,209,260,2.4042797088623047,71,206,2.5429272651672363,203,190,2.5760042667388916,81,146,2.506408452987671,170,137,2.518134355545044,134,197,2.5040132999420166,131,210,2.448883295059204
60,275,2.4150149822235107,202,259,2.3908474445343018,69,203,2.528463840484619,202,190,2.577880620956421,81,147,2.506096839904785,170,138,2.523134469985962,134,198,2.505251407623291,131,210,2.450782060623169
66,268,2.311551809310913,182,248,2.338324546813965,66,196,2.502197265625,199,188,2.5893478393554688,81,147,2.5043866634368896,170,138,2.537473201751709,134,198,2.5062003135681152,131,210,2.451519727706909
72,257,2.2656493186950684,169,239,2.3062145709991455,64,195,2.4919049739837646,196,187,2.5902297496795654,81,146,2.5029823780059814,170,138,2.5455288887023926,133,198,2.5070507526397705,131,210,2.4520533084869385
74,237,2.237349271774292,162,233,2.2713794708251953,63,194,2.478740930557251,195,186,2.58819317817688,81,146,2.5009984970092773,170,138,2.5515575408935547,134,198,2.5090584754943848,132,210,2.4535088539123535
92,222,2.2274370193481445,142,217,2.2458248138427734,62,192,2.4492485523223877,194,186,2.58306884765625,81,146,2.4983575344085693,171,138,2.5598108768463135,134,198,2.513589382171631,133,210,2.457592248916626
94,226,2.2125682830810547,152,217,2.3050789833068848,63,192,2.425955057144165,193,186,2.5643913745880127,81,145,2.4945600032806396,171,138,2.562020778656006,134,198,2.515434503555298,134,210,2.459195613861084
124,224,2.2448368072509766,154,216,2.3217127323150635,63,191,2.4239418506622314,193,185,2.5553650856018066,82,146,2.4901626110076904,171,138,2.5639595985412598,134,199,2.5170066356658936,134,211,2.46049165725708
128,227,2.249042510986328,154,216,2.3211519718170166,63,191,2.4240756034851074,194,185,2.5535600185394287,82,146,2.489591360092163,171,138,2.5653393268585205,134,199,2.517557144165039,134,211,2.4608662128448486
88,233,2.2632455825805664,154,218,2.3125953674316406,63,191,2.426175355911255,194,185,2.554680109024048,82,145,2.4890308380126953,171,138,2.566701889038086,134,199,2.5175676345825195,134,211,2.460444927215576
77,238,2.309570550918579,143,226,2.267765760421753,61,190,2.437223434448242,196,183,2.5706849098205566,82,145,2.4897384643554688,172,138,2.5676052570343018,134,199,2.5158979892730713,135,211,2.4577832221984863
84,234,2.2851004600524902,138,235,2.246914863586426,62,190,2.4439330101013184,196,184,2.5824272632598877,82,145,2.490309476852417,172,138,2.565737724304199,134,199,2.5130763053894043,135,210,2.4545063972473145
94,237,2.284114360809326,162,240,2.3412773609161377,66,190,2.458081007003784,196,186,2.5906667709350586,82,145,2.4907917976379395,172,138,2.5633022785186768,135,199,2.5104122161865234,135,210,2.4517550468444824
79,240,2.3040480613708496,165,246,2.3618812561035156,67,191,2.462374210357666,196,186,2.5916597843170166,82,145,2.4910972118377686,172,139,2.5606417655944824,134,199,2.509324073791504,135,210,2.4505441188812256
77,241,2.308699369430542,180,235,2.3926055431365967,68,191,2.4662065505981445,199,185,2.6043102741241455,82,145,2.4911069869995117,172,139,2.555347204208374,135,199,2.506805896759033,135,210,2.4481241703033447
82,237,2.308522939682007,176,242,2.3662049770355225,68,191,2.4717092514038086,201,183,2.6104376316070557,82,145,2.4907896518707275,172,139,2.5533525943756104,135,199,2.5062458515167236,135,210,2.447566509246826
77,234,2.312737226486206,213,230,2.544013738632202,67,190,2.491474151611328,206,180,2.623047113418579,83,145,2.489394426345825,172,139,2.5491745471954346,135,199,2.5046815872192383,135,211,2.446085214614868
77,232,2.3132333755493164,224,222,2.551500082015991,67,190,2.496076822280884,208,179,2.622934341430664,83,145,2.4894907474517822,172,139,2.5482983589172363,135,198,2.5038528442382812,135,210,2.445385694503784
75,229,2.3142285346984863,199,232,2.4483964443206787,66,188,2.5018529891967773,215,177,2.625617265701294,83,144,2.489379405975342,172,138,2.545241594314575,135,198,2.50244402885437,135,210,2.444270610809326
74,227,2.310185432434082,204,227,2.4529409408569336,66,187,2.5037059783935547,217,173,2.6186044216156006,84,143,2.48752760887146,172,138,2.542842388153076,135,197,2.501469135284424,135,210,2.443516254425049
73,226,2.308832883834839,195,230,2.4344358444213867,66,186,2.503220558166504,218,171,2.610914468765259,84,143,2.486943483352661,173,139,2.5415492057800293,135,197,2.5009496212005615,135,209,2.443049192428589
74,224,2.30338454246521,201,231,2.360473394393921,65,184,2.4920096397399902,219,170,2.5846831798553467,85,142,2.479344129562378,173,138,2.5393502712249756,135,197,2.4982261657714844,135,209,2.4398560523986816
75,224,2.301797866821289,203,229,2.326401710510254,64,184,2.4880852699279785,218,170,2.5781126022338867,85,142,2.4783201217651367,173,138,2.538723945617676,135,197,2.4961624145507812,135,209,2.4376602172851562
77,224,2.2977049350738525,200,229,2.279301881790161,64,184,2.479922294616699,215,172,2.567150592803955,85,142,2.4775800704956055,173,138,2.5379226207733154,135,197,2.494987964630127,135,209,2.4362075328826904
77,223,2.293588399887085,204,221,2.317654848098755,64,184,2.4783804416656494,212,176,2.5541679859161377,85,142,2.4762394428253174,173,138,2.5366761684417725,135,196,2.4944679737091064,135,208,2.4355826377868652
73,235,2.224987268447876,182,230,2.2887871265411377,67,186,2.468306541442871,198,185,2.530431032180786,85,142,2.474207878112793,174,137,2.5331802368164062,135,197,2.4904286861419678,135,208,2.4309380054473877
69,233,2.226799964904785,181,233,2.2969889640808105,67,186,2.467872381210327,195,186,2.5302422046661377,85,142,2.473454713821411,173,137,2.5303592681884766,135,199,2.4867541790008545,135,209,2.4292314052581787
66,234,2.230405330657959,164,245,2.262143135070801,69,187,2.464520215988159,195,186,2.531176805496216,85,142,2.473235607147217,173,137,2.528705596923828,135,197,2.4805543422698975,135,208,2.4208247661590576
64,249,2.2973577976226807,166,249,2.343374013900757,61,184,2.483776569366455,198,186,2.550661563873291,82,142,2.47650408744812,173,136,2.521111011505127,134,196,2.484705686569214,134,208,2.425511121749878
63,253,2.3559353351593018,186,237,2.4186930656433105,60,183,2.5150651931762695,205,181,2.5821268558502197,82,141,2.4783596992492676,172,136,2.5164408683776855,134,195,2.4885222911834717,133,207,2.4300081729888916
63,253,2.3625757694244385,182,243,2.4023149013519287,60,184,2.5221502780914307,206,180,2.585008144378662,82,141,2.4791295528411865,172,136,2.515744924545288,134,195,2.4887797832489014,133,207,2.4303691387176514
64,253,2.368896961212158,183,244,2.407512664794922,60,185,2.53413987159729,207,179,2.5905697345733643,82,141,2.479154348373413,172,136,2.514085054397583,134,195,2.488931655883789,133,208,2.430588483810425
66,242,2.406217575073242,186,238,2.4213569164276123,65,186,2.56876802444458,211,174,2.5998048782348633,83,141,2.481841802597046,172,136,2.5119247436523438,134,195,2.4891560077667236,133,208,2.430859327316284
66,240,2.4125845432281494,186,237,2.425590753555298,66,185,2.5770623683929443,212,171,2.6015255451202393,83,141,2.485602378845215,171,136,2.510972738265991,135,195,2.4892609119415283,133,208,2.430945873260498
