xlefthand, ylefthand, zlefthand, xRightHand, yRightHand, zRightHand, xLeftElbow, yLeftElbow, zLeftElbow, xRightElbow, yRightElbow, zRightElbow, xLeftshoulder, yLeftshoulder, zLeftshoulder, xRightshoulder, yRightshoulder, zRightshoulder, xSpine, ySpine, zSpine, xHipcenter, yHipcenter, zHipcenter
-0.1456599,-0.1103358,1.634203,-0.1423752,-0.1947221,1.895308,-0.2758612,-0.1930221,1.899353,0.1874361,-0.1633991,1.913402,-0.208021,-0.04290001,2.112047,0.07512202,-0.03541572,2.121042,-0.05752512,-0.2632533,2.046128,-0.05591774,-0.2981991,1.969702
-0.1952443,-0.07697504,1.678237,0.1040441,-0.06427898,1.679686,-0.2700148,-0.1487564,1.904931,0.179391,-0.1397233,1.932742,-0.197781,-0.03563802,2.113082,0.06455381,-0.03018359,2.120215,-0.05685769,-0.2635766,2.038881,-0.05484002,-0.2988684,1.96214
-0.2267394,0.008119248,1.707681,0.1297887,0.01915645,1.708457,-0.3063876,-0.1582023,1.941739,0.2016559,-0.1118986,1.932138,-0.1685844,-0.03781988,2.098748,0.06344153,-0.03658189,2.118694,-0.05409791,-0.2555243,2.048216,-0.04673789,-0.2885193,1.974772
-0.253512,0.06425506,1.765336,0.1502025,0.05892516,1.777684,-0.39077,-0.1751292,1.964931,0.2679934,-0.1065344,1.936515,-0.2316757,-0.04504353,2.137236,0.1120486,-0.03804933,2.150161,-0.05170127,-0.2365976,2.065917,-0.04771247,-0.2648006,1.995491
-0.2921327,0.1034932,1.839372,0.1890697,0.1298053,1.834535,-0.4044795,-0.1557716,1.986936,0.3157941,-0.1140347,2.009477,-0.235862,-0.04831151,2.141225,0.1177057,-0.0413104,2.158123,-0.05230604,-0.236154,2.066211,-0.04775449,-0.2646598,1.99595
-0.3332232,0.1230564,1.907621,0.2201623,0.1557908,1.908679,-0.4295578,-0.1496246,2.037833,0.324479,-0.1251413,2.070827,-0.2355978,-0.04970212,2.144769,0.1173766,-0.04201785,2.160229,-0.05088747,-0.237029,2.06488,-0.04568638,-0.2664814,1.992464
-0.35919,0.143591,1.9777,0.2335246,0.1763468,1.976432,-0.4360328,-0.1412681,2.079402,0.3352998,-0.1048779,2.086219,-0.2327899,-0.0490154,2.150245,0.0865741,-0.04378778,2.153864,-0.04688951,-0.2417161,2.061333,-0.04152258,-0.2738143,1.986268
-0.401283,0.1530349,2.025597,0.2651512,0.1934102,2.026622,-0.4524855,-0.1415547,2.097409,0.3491277,-0.09085995,2.117236,-0.2319448,-0.04744569,2.155362,0.08387046,-0.04392879,2.154007,-0.0454271,-0.2434066,2.060605,-0.04047363,-0.2756805,1.985363
-0.4390321,0.1891781,2.062593,0.2779729,0.1946794,2.076148,-0.4602885,-0.1374747,2.119346,0.3498972,-0.08672735,2.142644,-0.2304825,-0.04814582,2.156086,0.0835201,-0.04426073,2.155756,-0.04486889,-0.247285,2.058324,-0.04001072,-0.2804252,1.982225
-0.466121,0.1788194,2.092418,0.2815686,0.2057067,2.1018,-0.4667122,-0.1338318,2.145836,0.3534863,-0.08173203,2.166916,-0.2292025,-0.04868784,2.15787,0.08172867,-0.04424613,2.159009,-0.04534034,-0.2471874,2.058893,-0.04090592,-0.2795691,1.983186
-0.5125535,0.1152837,2.10405,0.323736,0.2075815,2.134443,-0.478761,-0.09786452,2.169814,0.354185,-0.07615012,2.183372,-0.2281346,-0.04914723,2.160886,0.08160865,-0.0431888,2.16473,-0.04633045,-0.2456543,2.060202,-0.04205259,-0.2771673,1.984854
-0.5085353,0.1878021,2.119734,0.3016913,0.2674818,2.123377,-0.4806794,-0.09127837,2.176215,0.3578682,-0.05400475,2.203946,-0.2305636,-0.04906455,2.168068,0.08267578,-0.04080871,2.173827,-0.04721446,-0.2425468,2.063447,-0.04334451,-0.2730243,1.988636
-0.5163844,0.2214278,2.113888,0.2901557,0.2710854,2.187401,-0.493073,-0.04979108,2.188622,0.3631459,-0.0184127,2.213248,-0.2319195,-0.04818723,2.171572,0.08505708,-0.03892124,2.182123,-0.04776322,-0.2406447,2.065774,-0.04355838,-0.2706895,1.991067
-0.5028318,0.2564698,2.148334,0.2785227,0.3032912,2.191318,-0.4963487,-0.03039479,2.191753,0.3629046,0.01790986,2.217776,-0.2354726,-0.04531416,2.177312,0.08667655,-0.03709763,2.185828,-0.05287177,-0.2387863,2.071069,-0.05055631,-0.2690061,1.997218
