xlefthand, ylefthand, zlefthand, xRightHand, yRightHand, zRightHand, xLeftElbow, yLeftElbow, zLeftElbow, xRightElbow, yRightElbow, zRightElbow, xLeftshoulder, yLeftshoulder, zLeftshoulder, xRightshoulder, yRightshoulder, zRightshoulder, xSpine, ySpine, zSpine, xHipcenter, yHipcenter, zHipcenter
-0.3971681, 0.1619282, 2.013851, 0.1968834, 0.1852373, 2.077933, -0.4410062, -0.08118128, 2.07435, 0.3060146, -0.05245433, 2.117895, -0.2291855, -0.04862823, 2.150491, 0.1180372, -0.05333127, 2.175475, -0.06882019, -0.2295894, 2.095741, -0.06428052, -0.2620532, 2.030252
-0.3726211, 0.207202, 2.042621, 0.1931975, 0.1888287, 2.084272, -0.4432248, -0.07900199, 2.079082, 0.307972, -0.04964131, 2.122551, -0.2299085, -0.04889485, 2.151128, 0.1180016, -0.05335314, 2.175611, -0.06873412, -0.2296146, 2.09582, -0.06425412, -0.2620281, 2.030312
-0.3990331, 0.1717807, 2.051019, 0.192882, 0.1926568, 2.107265, -0.4454576, -0.07461956, 2.088115, 0.3136261, -0.04266379, 2.134347, -0.2301041, -0.04889329, 2.151915, 0.1180309, -0.05354654, 2.176213, -0.0686873, -0.2294365, 2.095847, -0.0642102, -0.2619018, 2.03029
-0.3989305, 0.1722307, 2.068371, 0.1940591, 0.1960613, 2.122415, -0.4467129, -0.07344306, 2.093516, 0.3146748, -0.03771607, 2.142304, -0.2306872, -0.04875566, 2.152945, 0.1184085, -0.05233198, 2.17896, -0.06922463, -0.2281422, 2.095497, -0.06463637, -0.2606892, 2.029808
-0.4024147, 0.1749101, 2.086663, 0.1948436, 0.1968305, 2.132468, -0.4475807, -0.0721172, 2.104625, 0.3167021, -0.03262603, 2.15169, -0.2307961, -0.04851655, 2.154245, 0.119719, -0.05191056, 2.184318, -0.0692041, -0.2275573, 2.095441, -0.06406751, -0.2603903, 2.029569
-0.4034922, 0.1748549, 2.106232, 0.1950302, 0.197163, 2.1452, -0.4477204, -0.07246551, 2.113345, 0.3169228, -0.03285562, 2.162535, -0.2306132, -0.04762129, 2.156403, 0.12036, -0.05018852, 2.189209, -0.06905995, -0.2271004, 2.095391, -0.06351241, -0.2602604, 2.029264
-0.3991602, 0.1725897, 2.122763, 0.1952896, 0.1951908, 2.15766, -0.4499362, -0.07317507, 2.11982, 0.3181071, -0.03303544, 2.17193, -0.2308302, -0.04721492, 2.158636, 0.1202255, -0.05008154, 2.191619, -0.06920052, -0.2271618, 2.095482, -0.06358242, -0.2603979, 2.029163
-0.3997472, 0.1692118, 2.135967, 0.1951901, 0.1936433, 2.16694, -0.4504436, -0.07708849, 2.126907, 0.317371, -0.03672714, 2.180135, -0.2309835, -0.04744088, 2.160534, 0.1201363, -0.04973487, 2.194224, -0.06908094, -0.2269924, 2.095447, -0.06321807, -0.2603954, 2.02878
-0.3981439, 0.162034, 2.149263, 0.1957648, 0.1865359, 2.174094, -0.4497917, -0.08352736, 2.133742, 0.3166525, -0.04326782, 2.186289, -0.230779, -0.0473517, 2.162449, 0.1213575, -0.04960637, 2.198559, -0.06945885, -0.2266919, 2.095315, -0.06326646, -0.26009, 2.028411
-0.3974166, 0.1520083, 2.155395, 0.2020546, 0.1679454, 2.181506, -0.4498073, -0.09386887, 2.139867, 0.3122528, -0.06726743, 2.194868, -0.2306963, -0.04755982, 2.163515, 0.1203533, -0.04910296, 2.200352, -0.06869566, -0.2264602, 2.09502, -0.06170048, -0.2601286, 2.027513
