xlefthand, ylefthand, zlefthand, xRightHand, yRightHand, zRightHand, xLeftElbow, yLeftElbow, zLeftElbow, xRightElbow, yRightElbow, zRightElbow, xLeftshoulder, yLeftshoulder, zLeftshoulder, xRightshoulder, yRightshoulder, zRightshoulder, xSpine, ySpine, zSpine, xHipcenter, yHipcenter, zHipcenter
-0.4192513, -0.09473822, 1.838758, 0.1465984, 0.002657304, 1.85576, -0.3838473, -0.2881115, 2.045857, 0.1949985, -0.1877195, 1.985701, -0.3122392, -0.1105261, 2.118998, 0.01805663, -0.08758769, 2.107515, -0.1053744, -0.2563944, 2.066602, -0.1029558, -0.2893705, 2.008551
-0.4240916, -0.05126878, 1.861099, 0.1548631, 0.03608361, 1.89553, -0.3870756, -0.2878965, 2.04274, 0.1998835, -0.1828557, 1.99245, -0.3057481, -0.1101752, 2.116657, 0.0171873, -0.0872581, 2.108667, -0.1057878, -0.2582999, 2.065765, -0.1030386, -0.2918001, 2.006279
-0.4228888, -0.02893094, 1.879821, 0.1552926, 0.05649528, 1.928013, -0.3880352, -0.2807551, 2.035038, 0.2052094, -0.1747355, 2.004288, -0.3023661, -0.1110556, 2.115401, 0.01421891, -0.08716563, 2.111371, -0.1081492, -0.26332, 2.062563, -0.1059271, -0.298295, 1.999689
-0.4117256, 0.01421001, 1.908852, 0.1510153, 0.0856275, 1.956652, -0.3873309, -0.2741853, 2.029947, 0.2115566, -0.167136, 2.016953, -0.302796, -0.1112587, 2.11633, 0.006691707, -0.08668883, 2.112824, -0.1082548, -0.266717, 2.059968, -0.1056516, -0.3019179, 1.994993
-0.4114091, 0.02551008, 1.91553, 0.1452895, 0.1037619, 1.980685, -0.3859282, -0.2684691, 2.026702, 0.2129259, -0.1618809, 2.025767, -0.2972663, -0.1112668, 2.113359, 0.003715254, -0.08628304, 2.1137, -0.1082411, -0.2671463, 2.058853, -0.1046897, -0.3013909, 1.993052
-0.4009742, 0.06950955, 1.938825, 0.1411405, 0.1149062, 1.998138, -0.3837307, -0.2571526, 2.025535, 0.2157885, -0.1553938, 2.036339, -0.2975764, -0.1118386, 2.112784, 0.002051326, -0.087571, 2.113027, -0.1082494, -0.2673081, 2.056552, -0.1044023, -0.3004293, 1.989793
-0.39845, 0.0740111, 1.944545, 0.1401857, 0.1232404, 2.012298, -0.4306207, -0.2180871, 1.968422, 0.2170675, -0.1500573, 2.042746, -0.2952653, -0.1134839, 2.107128, -0.002721965, -0.08706911, 2.112309, -0.1079891, -0.2684813, 2.051832, -0.1030104, -0.3011721, 1.982666
-0.3955913, 0.07998495, 1.952132, 0.138757, 0.1275013, 2.024611, -0.4243131, -0.1762154, 1.976007, 0.2219779, -0.1446102, 2.050923, -0.2916556, -0.1134601, 2.104445, -0.0044913, -0.08580476, 2.113283, -0.1078337, -0.2710229, 2.04573, -0.1023762, -0.3041387, 1.974526
-0.3815598, 0.1261493, 1.95586, 0.1393404, 0.1299838, 2.033835, -0.4454387, -0.1480666, 1.959675, 0.2268725, -0.1130728, 2.057875, -0.2884254, -0.1126442, 2.102785, -0.00503098, -0.08505157, 2.114285, -0.1078935, -0.2726003, 2.042191, -0.1021969, -0.3054895, 1.970016
-0.3848071, 0.1264144, 1.965778, 0.139246, 0.1308209, 2.039805, -0.4460127, -0.1477787, 1.96038, 0.2281895, -0.1224436, 2.063384, -0.2878841, -0.113169, 2.102123, -0.005669231, -0.08469188, 2.115136, -0.1084525, -0.2733296, 2.040245, -0.1026968, -0.3056757, 1.967514
-0.3989314, 0.1060391, 1.968568, 0.1390703, 0.1308616, 2.044828, -0.4292948, -0.1711319, 1.982182, 0.2284369, -0.1214338, 2.065407, -0.2870485, -0.1131094, 2.102119, -0.006782309, -0.08434317, 2.116072, -0.1081714, -0.2739561, 2.039498, -0.1023945, -0.3058721, 1.966121
-0.4098497, 0.0926433, 1.985549, 0.1413158, 0.1236778, 2.055422, -0.425646, -0.1832886, 1.988511, 0.2275451, -0.1346036, 2.075509, -0.2852331, -0.1139394, 2.102516, -0.008052412, -0.08513183, 2.117276, -0.1084684, -0.2766651, 2.038, -0.1028449, -0.3080999, 1.963595
-0.4158529, 0.08517898, 1.997787, 0.139909, 0.1172825, 2.063152, -0.4265727, -0.188117, 1.988759, 0.2271413, -0.1421239, 2.07812, -0.2807231, -0.1218651, 2.095618, -0.0093104, -0.08580371, 2.117677, -0.1074723, -0.278527, 2.03667, -0.101659, -0.3101316, 1.961349
-0.4193888, 0.08194282, 2.019009, 0.1448169, 0.1136659, 2.063318, -0.4155399, -0.1932603, 1.992634, 0.2240431, -0.1491243, 2.077037, -0.2696028, -0.1201136, 2.09329, -0.01077329, -0.08613854, 2.117455, -0.1064171, -0.2829822, 2.033083, -0.09968343, -0.3161647, 1.956095
-0.4284381, 0.07710403, 2.042832, 0.1492656, 0.09995925, 2.069157, -0.4101667, -0.1989689, 1.991571, 0.2198832, -0.1636469, 2.074241, -0.2560076, -0.1176745, 2.090317, -0.01080233, -0.08631416, 2.117244, -0.1061193, -0.2873347, 2.029886, -0.09864181, -0.3214135, 1.951814
-0.4349097, 0.0642914, 2.05347, 0.1504651, 0.07332338, 2.078279, -0.3890186, -0.2319468, 1.989586, 0.2154217, -0.1751936, 2.068531, -0.2598874, -0.122547, 2.086957, -0.01089671, -0.08668993, 2.116716, -0.1044247, -0.2895451, 2.028156, -0.09710972, -0.3234584, 1.949728
-0.442051, 0.045612, 2.061093, 0.1489345, 0.07516222, 2.074744, -0.3824387, -0.2451275, 1.987774, 0.2080714, -0.1876413, 2.061027, -0.2587028, -0.1246684, 2.084213, -0.009691714, -0.08804226, 2.11685, -0.1044735, -0.2911531, 2.027904, -0.0968261, -0.3250053, 1.949156
-0.4417635, 0.04112086, 2.061127, 0.1570883, 0.05750564, 2.073552, -0.3804116, -0.2488995, 1.987268, 0.2037842, -0.1906859, 2.057246, -0.2568412, -0.1247337, 2.083838, -0.01109836, -0.08838688, 2.115618, -0.1012106, -0.2952879, 2.024481, -0.09282078, -0.3294053, 1.944507
-0.4242236, -0.01333405, 2.0302, 0.1586689, 0.04920727, 2.068193, -0.3915554, -0.273959, 1.975883, 0.2006496, -0.1883906, 2.052267, -0.2984156, -0.1487063, 2.090715, -0.01396188, -0.08614476, 2.113649, -0.09708311, -0.2951206, 2.02495, -0.09241562, -0.3291214, 1.944914
-0.4236645, -0.01593945, 2.028336, 0.1492919, 0.1141414, 2.0846, -0.3888053, -0.2765356, 1.979222, 0.1915034, -0.1202867, 2.030834, -0.2984195, -0.1487696, 2.091691, -0.0137368, -0.08606006, 2.113042, -0.09657574, -0.2952836, 2.025462, -0.0921495, -0.3287337, 1.945433
-0.426231, -0.005240813, 2.025559, 0.1509163, 0.1164308, 2.069758, -0.3759434, -0.2639568, 1.991319, 0.1915398, -0.120509, 2.030352, -0.2413855, -0.1286157, 2.082386, -0.01321895, -0.08671634, 2.111732, -0.09799055, -0.2977755, 2.023083, -0.0907792, -0.3306009, 1.942977
-0.3897931, -0.02426577, 2.07302, 0.1487043, 0.1158229, 2.069437, -0.374389, -0.2616507, 1.992908, 0.1926839, -0.1210523, 2.030319, -0.248874, -0.08711076, 2.131397, -0.01303729, -0.08673958, 2.111107, -0.09561467, -0.2973365, 2.023041, -0.09132631, -0.3296345, 1.943075
-0.423677, -0.00572031, 2.022021, 0.1412704, 0.104853, 2.063288, -0.3752712, -0.2654836, 1.992531, 0.2008142, -0.1307029, 2.032982, -0.2316923, -0.1199996, 2.085513, -0.01398006, -0.08737404, 2.111289, -0.09784058, -0.2985063, 2.022864, -0.09053884, -0.3304506, 1.942891
-0.4339609, 0.0568374, 2.019887, 0.1502272, 0.06773015, 2.057497, -0.3765222, -0.2621728, 1.993423, 0.1965371, -0.1956448, 2.041139, -0.2507895, -0.08585343, 2.132934, -0.01793627, -0.08661879, 2.11196, -0.09490414, -0.2978714, 2.023655, -0.09114275, -0.3294242, 1.943811
-0.4128493, 0.008694142, 2.010377, 0.1477774, 0.07689343, 2.05719, -0.3760882, -0.2549517, 1.996935, 0.2052771, -0.1852169, 2.039653, -0.2507942, -0.08586869, 2.133183, -0.01503987, -0.09008147, 2.112582, -0.09672002, -0.2985149, 2.023918, -0.09327524, -0.3301448, 1.943906
