xlefthand, ylefthand, zlefthand, xRightHand, yRightHand, zRightHand, xLeftElbow, yLeftElbow, zLeftElbow, xRightElbow, yRightElbow, zRightElbow, xLeftshoulder, yLeftshoulder, zLeftshoulder, xRightshoulder, yRightshoulder, zRightshoulder, xSpine, ySpine, zSpine, xHipcenter, yHipcenter, zHipcenter
-0.4203449, 0.002238027, 2.039298, 0.2345577, 0.01839386, 2.04994, -0.3548644, -0.2794515, 2.085452, 0.2618596, -0.208334, 2.084486, -0.2070942, -0.1100753, 2.121682, 0.04679359, -0.09062231, 2.140197, -0.06561803, -0.2715046, 2.045687, -0.06135557, -0.3012062, 1.968041
-0.416163, 0.07143837, 2.023429, 0.2226658, 0.05630354, 2.045827, -0.3811585, -0.2149543, 2.063362, 0.2652141, -0.1991927, 2.081046, -0.2325227, -0.07774296, 2.16331, 0.04451226, -0.09071514, 2.138296, -0.06584334, -0.2703503, 2.046294, -0.06579291, -0.2993761, 1.969019
-0.3911902, 0.1065862, 2.03387, 0.2155523, 0.1023963, 2.03904, -0.3943893, -0.1905678, 2.050803, 0.2913386, -0.152972, 2.072958, -0.2168214, -0.09350248, 2.13502, 0.04448696, -0.09106272, 2.136738, -0.06940104, -0.2700793, 2.046458, -0.06738617, -0.2988019, 1.969247
-0.3692287, 0.138051, 2.029711, 0.1993547, 0.1466088, 2.034783, -0.4078495, -0.1549826, 2.042975, 0.2929781, -0.09685127, 2.066889, -0.2161798, -0.09258252, 2.135083, 0.04482806, -0.09063318, 2.136375, -0.07060327, -0.2705018, 2.046162, -0.06900834, -0.2995431, 1.968746
-0.3392116, 0.1875387, 2.034653, 0.1697824, 0.2000534, 2.032178, -0.4161065, -0.09227385, 2.032687, 0.2893268, -0.05758822, 2.063788, -0.2141944, -0.08874308, 2.134386, 0.1071445, -0.08399661, 2.154914, -0.07478341, -0.2679184, 2.047697, -0.07182078, -0.2965677, 1.97087
-0.3025565, 0.2425844, 2.047929, 0.1506265, 0.240003, 2.035947, -0.4081088, -0.02966211, 2.032039, 0.2803105, -0.009592343, 2.067986, -0.2132915, -0.08577179, 2.133332, 0.1073081, -0.08252437, 2.154543, -0.07588897, -0.257169, 2.055749, -0.07311407, -0.2817872, 1.982494
-0.2827359, 0.253596, 2.046619, 0.1316226, 0.291759, 2.034886, -0.4040363, -0.008203547, 2.034038, 0.2668809, 0.03325775, 2.06929, -0.2199432, -0.07254523, 2.140872, 0.1117785, -0.07561622, 2.156815, -0.07544808, -0.2468557, 2.063813, -0.07228817, -0.2699027, 1.992052
-0.2507827, 0.2928114, 2.049628, 0.1040222, 0.3159301, 2.039949, -0.3931996, 0.04445671, 2.041212, 0.2488778, 0.06846, 2.079587, -0.2209895, -0.06503939, 2.143916, 0.1108958, -0.06842235, 2.158361, -0.07807326, -0.2383933, 2.064998, -0.07566255, -0.2592237, 1.993941
-0.2192212, 0.3287454, 2.056627, 0.06525853, 0.3551059, 2.04489, -0.3678061, 0.0855446, 2.047661, 0.2194506, 0.1055238, 2.085605, -0.2561587, -0.05166654, 2.159036, 0.1129264, -0.0529111, 2.163417, -0.0747778, -0.2303553, 2.070271, -0.07328871, -0.249855, 2.00065
-0.1866346, 0.3584921, 2.063241, 0.05206298, 0.3737835, 2.049317, -0.3525463, 0.1053783, 2.055221, 0.1978765, 0.1341058, 2.090003, -0.2569629, -0.04706583, 2.159409, 0.1140038, -0.0373861, 2.163759, -0.07175537, -0.2178033, 2.078801, -0.06965654, -0.2346618, 2.011979
-0.1852283, 0.3598978, 2.063256, 0.01775038, 0.4021882, 2.065211, -0.3368102, 0.113107, 2.06491, 0.1706356, 0.1694895, 2.09383, -0.2583697, -0.03943301, 2.159623, 0.11406, -0.03065407, 2.170533, -0.05458324, -0.196266, 2.096435, -0.0415956, -0.2045075, 2.0388
-0.1572254, 0.4139749, 2.073293, -0.03338719, 0.3920178, 2.082646, -0.3025982, 0.1572062, 2.075624, 0.1584579, 0.1518926, 2.109995, -0.2364448, -0.01630352, 2.16935, 0.1153473, -0.01874835, 2.176024, -0.06192946, -0.1950672, 2.094534, -0.05684727, -0.2062823, 2.033047
-0.1166088, 0.3882503, 2.074337, -0.05931477, 0.3744446, 2.083582, -0.3001294, 0.1533775, 2.077867, 0.1539754, 0.1577353, 2.113582, -0.2373867, -0.01429388, 2.167901, 0.102448, -0.009290718, 2.176051, -0.06680108, -0.1869106, 2.097664, -0.06169835, -0.1997845, 2.035426
-0.1225128, 0.4122834, 2.081341, -0.0638844, 0.3863901, 2.086871, -0.2728118, 0.2169141, 2.074202, 0.1152284, 0.2156492, 2.108797, -0.2359513, -0.01364684, 2.168624, 0.1011651, -0.008279526, 2.176722, -0.0676177, -0.1860565, 2.097431, -0.06241973, -0.1996341, 2.03496
-0.1312145, 0.4838524, 2.118861, -0.04710161, 0.4022695, 2.103099, -0.2734554, 0.2094102, 2.076861, 0.1157596, 0.2154858, 2.10903, -0.2373177, -0.02290696, 2.172291, 0.1000003, -0.006938985, 2.177501, -0.06674843, -0.1649091, 2.112184, -0.06269624, -0.1730231, 2.053868
-0.1291168, 0.4879434, 2.119212, -0.04358401, 0.4026445, 2.108921, -0.2749237, 0.2153875, 2.076085, 0.1190266, 0.2150018, 2.110149, -0.2384281, -0.01937786, 2.169372, 0.1072083, -0.01513028, 2.182926, -0.07015958, -0.1646016, 2.111778, -0.06458314, -0.1736002, 2.053288
-0.156488, 0.4366671, 2.110028, -0.03555432, 0.3956796, 2.112434, -0.2815717, 0.2127822, 2.078184, 0.1631279, 0.1554215, 2.128255, -0.2454124, -0.02240578, 2.170095, 0.1098858, -0.01660684, 2.184334, -0.0727722, -0.1682119, 2.110407, -0.06838101, -0.1813468, 2.050148
-0.1786199, 0.3939921, 2.129694, -0.02776887, 0.3908418, 2.114944, -0.3247477, 0.1323237, 2.086965, 0.1670388, 0.1504081, 2.126613, -0.2508069, -0.03027456, 2.170282, 0.1124426, -0.01915964, 2.185157, -0.0651466, -0.1868594, 2.094385, -0.05842033, -0.2061967, 2.027694
-0.1887152, 0.3657785, 2.0989, -0.003886085, 0.3740729, 2.125153, -0.3381175, 0.1195336, 2.081229, 0.1895361, 0.1346748, 2.115117, -0.2514281, -0.03433861, 2.168608, 0.1136743, -0.03174697, 2.181469, -0.06520952, -0.1916479, 2.091742, -0.05861217, -0.2103533, 2.025712
-0.201337, 0.3453213, 2.102629, 0.01330757, 0.3420264, 2.125348, -0.3927848, 0.08257435, 2.05671, 0.2092815, 0.1107217, 2.108117, -0.2722336, -0.02207838, 2.16, 0.1146037, -0.03794783, 2.180437, -0.06697977, -0.1910817, 2.091567, -0.05895739, -0.2093225, 2.026252
-0.2514324, 0.2882798, 2.092397, 0.03875799, 0.2896447, 2.116929, -0.3790985, 0.05896489, 2.062488, 0.2397921, 0.06568531, 2.09194, -0.2109104, -0.05210572, 2.147462, 0.1141979, -0.04486678, 2.175496, -0.06787065, -0.2076992, 2.081689, -0.06313247, -0.2365552, 2.010051
-0.2846571, 0.2514061, 2.089283, 0.105075, 0.2699122, 2.106083, -0.3933755, 0.01182842, 2.050191, 0.2485815, 0.05041835, 2.084332, -0.2618603, -0.08115642, 2.146005, 0.1169442, -0.05870716, 2.164267, -0.06585541, -0.2100964, 2.080832, -0.06345148, -0.2375973, 2.00989
-0.2972342, 0.2293576, 2.085562, 0.1270113, 0.2376461, 2.115275, -0.3993972, -0.006327644, 2.04468, 0.2655345, 0.005600348, 2.075979, -0.2610633, -0.08574629, 2.140949, 0.117273, -0.06975673, 2.154948, -0.0644801, -0.2214134, 2.072991, -0.06236237, -0.2485261, 2.00202
-0.31594, 0.194048, 2.084948, 0.1477938, 0.1934212, 2.099416, -0.4059813, -0.04306119, 2.03766, 0.2764998, -0.02900121, 2.065993, -0.237867, -0.06655622, 2.140794, 0.1168953, -0.07698797, 2.150421, -0.06753626, -0.2281488, 2.067945, -0.06457891, -0.257085, 1.9957
-0.3501761, 0.1442356, 2.062348, 0.1521532, 0.1661375, 2.091653, -0.4142035, -0.1017981, 2.034162, 0.2802917, -0.06142787, 2.061995, -0.2552159, -0.1016174, 2.126971, 0.11527, -0.07780292, 2.149497, -0.06981665, -0.2428389, 2.057027, -0.06726354, -0.2653424, 1.989435
-0.3542298, 0.1543635, 2.062345, 0.1685054, 0.1408092, 2.078929, -0.4132507, -0.09362678, 2.0335, 0.2803844, -0.09068231, 2.060372, -0.2390855, -0.0791293, 2.144055, 0.04893029, -0.08392067, 2.124727, -0.0633671, -0.2572418, 2.045264, -0.06331709, -0.2818491, 1.975401
-0.3700505, 0.1224094, 2.062305, 0.1632676, 0.1431281, 2.079337, -0.4026927, -0.1649061, 2.04265, 0.2807189, -0.08695, 2.059812, -0.2382438, -0.07835021, 2.14625, 0.04861004, -0.08441142, 2.124607, -0.06359944, -0.257341, 2.045233, -0.06437891, -0.2830253, 1.974515
-0.4006648, 0.07355585, 2.039465, 0.1885736, 0.09534672, 2.066223, -0.3915665, -0.1854153, 2.048201, 0.2690833, -0.1511799, 2.053843, -0.2355912, -0.07751632, 2.147935, 0.04662141, -0.08503087, 2.123094, -0.06141075, -0.2649857, 2.039468, -0.06220006, -0.2896035, 1.969448
-0.4116071, 0.07164236, 2.038722, 0.1924785, 0.07199229, 2.058827, -0.3914722, -0.1869239, 2.048424, 0.2595398, -0.1786682, 2.053518, -0.1941207, -0.1062941, 2.110418, 0.04735937, -0.08643936, 2.123326, -0.06171002, -0.2733098, 2.032696, -0.05942383, -0.2995254, 1.961121
-0.4259071, 0.02085195, 2.047044, 0.2003277, 0.07210956, 2.05073, -0.351034, -0.27778, 2.068518, 0.2535305, -0.1833659, 2.050703, -0.2329213, -0.08278953, 2.15501, 0.04694081, -0.08731069, 2.12318, -0.05913204, -0.2712979, 2.034211, -0.05980807, -0.2989235, 1.961826
-0.4240928, 0.01057454, 2.047633, 0.1980844, 0.0771316, 2.045811, -0.3522752, -0.2778631, 2.064882, 0.2557991, -0.1776915, 2.04541, -0.2329193, -0.0827889, 2.15523, 0.0470609, -0.08830862, 2.123153, -0.06019935, -0.2701535, 2.035519, -0.06056577, -0.2982836, 1.962771
-0.4189975, -0.02898738, 2.043704, 0.2131069, 0.01272836, 2.039914, -0.3509315, -0.2790609, 2.062052, 0.2560692, -0.1749578, 2.042225, -0.2329477, -0.08289027, 2.155327, 0.0468271, -0.08921167, 2.122564, -0.0606475, -0.2699427, 2.03588, -0.06096864, -0.2982213, 1.963024
-0.4192498, -0.03088775, 2.044353, 0.1153551, 0.07420964, 2.040393, -0.3488459, -0.2807823, 2.057592, 0.2634141, -0.1105616, 2.032266, -0.2000914, -0.1069064, 2.111502, 0.04645645, -0.08967228, 2.122046, -0.06553068, -0.2737211, 2.032162, -0.06332767, -0.3044681, 1.956674
-0.4186137, -0.03013945, 2.043452, 0.09428601, 0.05660521, 2.028314, -0.3482816, -0.2803585, 2.05342, 0.2634389, -0.1110196, 2.031606, -0.1999037, -0.1068594, 2.111175, 0.04638009, -0.09057616, 2.121563, -0.06790914, -0.274813, 2.030762, -0.06602101, -0.3059582, 1.955048
