xlefthand, ylefthand, zlefthand, xRightHand, yRightHand, zRightHand, xLeftElbow, yLeftElbow, zLeftElbow, xRightElbow, yRightElbow, zRightElbow, xLeftshoulder, yLeftshoulder, zLeftshoulder, xRightshoulder, yRightshoulder, zRightshoulder, xSpine, ySpine, zSpine, xHipcenter, yHipcenter, zHipcenter
-0.5108541, -0.3379684, 1.743809, 0.3671676, -0.2758498, 1.707154, -0.3847451, -0.3126359, 2.115455, 0.2240761, -0.3153934, 2.121992, -0.2700849, -0.05829529, 2.127985, 0.1090178, -0.05991452, 2.141299, -0.07787287, -0.2329532, 2.095712, -0.07427488, -0.2731258, 2.034127
-0.5542613, -0.2959754, 1.763079, 0.3768808, -0.256135, 1.791634, -0.3910634, -0.3087495, 2.11728, 0.2285895, -0.3101307, 2.123566, -0.2702689, -0.05829956, 2.128048, 0.1090488, -0.05996529, 2.141257, -0.07786985, -0.2328755, 2.095666, -0.07429396, -0.273022, 2.034116
-0.5911085, -0.2498204, 1.778687, 0.4087301, -0.2105225, 1.805487, -0.4082789, -0.2922887, 2.122293, 0.2462361, -0.2941622, 2.122852, -0.2707912, -0.05787889, 2.128729, 0.1103095, -0.05974236, 2.142881, -0.07851782, -0.2319667, 2.095936, -0.0751055, -0.2721278, 2.034542
-0.6178722, -0.1964477, 1.791811, 0.4319232, -0.1547953, 1.81054, -0.4307258, -0.2786404, 2.121841, 0.2676076, -0.2757945, 2.119085, -0.2711365, -0.05767297, 2.129495, 0.1118245, -0.05907411, 2.14431, -0.07913995, -0.2312565, 2.096393, -0.0758568, -0.2714258, 2.035176
-0.6293668, -0.137751, 1.806217, 0.4437571, -0.08999974, 1.819758, -0.4456043, -0.2681812, 2.119681, 0.2874751, -0.2548799, 2.109677, -0.2719966, -0.05700631, 2.1313, 0.1142642, -0.05739238, 2.146808, -0.07929608, -0.2299544, 2.096999, -0.07603757, -0.2703079, 2.035886
-0.6390687, -0.06834955, 1.820756, 0.4499369, -0.02217889, 1.829971, -0.4805727, -0.2344023, 2.10953, 0.3102721, -0.2388479, 2.098634, -0.2734747, -0.05391399, 2.135481, 0.1146125, -0.05627783, 2.147153, -0.07935394, -0.2273178, 2.098745, -0.07656898, -0.2678548, 2.037837
-0.6376003, 0.01840145, 1.824441, 0.4435551, 0.0501942, 1.8365, -0.4850187, -0.2192904, 2.109024, 0.3394606, -0.2011052, 2.080981, -0.2829869, -0.04594345, 2.148647, 0.1175448, -0.05131814, 2.150703, -0.07882886, -0.2228316, 2.101329, -0.07707658, -0.2632187, 2.040621
-0.621861, 0.1001046, 1.839382, 0.4272515, 0.131858, 1.843583, -0.5072569, -0.1685226, 2.096884, 0.3403955, -0.1525152, 2.068514, -0.2881185, -0.04467081, 2.152472, 0.1196922, -0.04934298, 2.152148, -0.07841019, -0.2209159, 2.10306, -0.07678697, -0.2614215, 2.042553
-0.5942285, 0.1836216, 1.851507, 0.3976058, 0.220028, 1.847711, -0.539922, -0.1339227, 2.078178, 0.3619559, -0.1008122, 2.053807, -0.2950412, -0.04223311, 2.156524, 0.1233066, -0.04470427, 2.15422, -0.08034962, -0.2129948, 2.108154, -0.07939074, -0.2522401, 2.048344
-0.5615311, 0.2563536, 1.868671, 0.36214, 0.2864369, 1.8523, -0.5272366, -0.05748329, 2.062622, 0.3577167, -0.08176677, 2.049301, -0.3006693, -0.03791422, 2.15914, 0.1269346, -0.03953642, 2.154738, -0.07969073, -0.2059163, 2.112779, -0.07899247, -0.2446323, 2.052944
