xlefthand, ylefthand, zlefthand, xRightHand, yRightHand, zRightHand, xLeftElbow, yLeftElbow, zLeftElbow, xRightElbow, yRightElbow, zRightElbow, xLeftshoulder, yLeftshoulder, zLeftshoulder, xRightshoulder, yRightshoulder, zRightshoulder, xSpine, ySpine, zSpine, xHipcenter, yHipcenter, zHipcenter
-0.6296605, -0.4361236, 2.146295, 0.5592512, -0.3842323, 2.169943, -0.3408876, -0.2795156, 2.268494, 0.2237758, -0.2871809, 2.260726, -0.2357215, -0.04157273, 2.187899, 0.1057022, -0.04247634, 2.214302, -0.07121143, -0.2438259, 2.121544, -0.067469, -0.2845579, 2.050797
-0.6504275, -0.4504273, 2.149785, 0.5611229, -0.3775824, 2.173989, -0.3397922, -0.2778587, 2.268211, 0.2236174, -0.2843501, 2.26156, -0.2325647, -0.04102619, 2.189412, 0.1033587, -0.04171941, 2.214983, -0.07108226, -0.2440497, 2.121818, -0.06736354, -0.2848538, 2.051051
-0.639679, -0.4139337, 2.141412, 0.5671605, -0.3442855, 2.19192, -0.3391006, -0.2776734, 2.26951, 0.2258817, -0.2822355, 2.26297, -0.2282538, -0.04046935, 2.193611, 0.1009782, -0.04107706, 2.216772, -0.07026212, -0.2444277, 2.123371, -0.06707457, -0.2852324, 2.052118
-0.6633233, -0.3601042, 2.115106, 0.6010039, -0.2883037, 2.192835, -0.3362294, -0.2722809, 2.268018, 0.2351176, -0.2728156, 2.261925, -0.2206329, -0.03820343, 2.197519, 0.09795855, -0.04091003, 2.217889, -0.07179489, -0.2431422, 2.12792, -0.06858647, -0.2845133, 2.055546
-0.6625311, -0.3015777, 2.122665, 0.5877857, -0.2444353, 2.199801, -0.3368198, -0.2680246, 2.265913, 0.2412429, -0.2598214, 2.259484, -0.2193792, -0.03898595, 2.199186, 0.0905837, -0.04088404, 2.220195, -0.07107095, -0.2489559, 2.128428, -0.0668477, -0.2915791, 2.055011
-0.6722505, -0.2208553, 2.12143, 0.5808453, -0.1919528, 2.208946, -0.338441, -0.2565042, 2.263126, 0.267943, -0.2316067, 2.250766, -0.2133536, -0.03234744, 2.208447, 0.08683557, -0.04039457, 2.221185, -0.06970828, -0.2504855, 2.128752, -0.06575383, -0.29384, 2.054576
-0.6826818, -0.133245, 2.121333, 0.572436, -0.1398699, 2.21437, -0.3527919, -0.2484306, 2.261844, 0.2710228, -0.2154173, 2.247698, -0.2153548, -0.0318003, 2.212113, 0.07880558, -0.03712969, 2.220144, -0.06904052, -0.2509718, 2.128927, -0.06617874, -0.2939838, 2.054246
-0.6651745, -0.07408644, 2.144925, 0.5779191, -0.0668269, 2.216692, -0.3913282, -0.2171038, 2.247381, 0.2957033, -0.1748618, 2.239825, -0.2143278, -0.02977413, 2.215438, 0.07610872, -0.0351608, 2.220299, -0.06809352, -0.2527508, 2.127069, -0.06491588, -0.2962902, 2.049448
-0.6689371, 0.02427328, 2.148169, 0.5614421, 0.05929492, 2.218412, -0.4229035, -0.1866733, 2.234661, 0.3050571, -0.1418049, 2.2324, -0.2153245, -0.02883279, 2.21785, 0.06843898, -0.03078065, 2.21926, -0.06777973, -0.2559971, 2.122877, -0.06598813, -0.3002007, 2.041741
-0.6703157, 0.1206761, 2.160217, 0.5897477, 0.1573908, 2.222462, -0.443178, -0.1648222, 2.230757, 0.3114879, -0.127947, 2.231089, -0.2194872, -0.027352, 2.223458, 0.06851517, -0.02985892, 2.220013, -0.06726728, -0.2559533, 2.123741, -0.06618921, -0.2992856, 2.042805
-0.6559199, 0.2002934, 2.168257, 0.5551367, 0.2008479, 2.233357, -0.4951638, -0.1364962, 2.223451, 0.3403057, -0.09765643, 2.231127, -0.2376891, -0.02600113, 2.23614, 0.07088655, -0.02864028, 2.2218, -0.06603393, -0.252035, 2.127092, -0.06617484, -0.2934883, 2.046559
-0.6379238, 0.2652383, 2.184086, 0.5365573, 0.18102, 2.234812, -0.5413724, -0.07732799, 2.215404, 0.3632824, -0.06883147, 2.233014, -0.2584996, -0.03167746, 2.239662, 0.07937022, -0.02583552, 2.22574, -0.06499788, -0.2454071, 2.134252, -0.06494126, -0.2848707, 2.054526
-0.6184297, 0.3273926, 2.196627, 0.5213616, 0.2852773, 2.248342, -0.5298718, -0.02289852, 2.213407, 0.3772528, 0.006956624, 2.233818, -0.2614333, -0.03032532, 2.24037, 0.08367977, -0.02258924, 2.228744, -0.06475327, -0.2428708, 2.138505, -0.06457328, -0.2826149, 2.058143
-0.5842794, 0.38062, 2.20207, 0.4588569, 0.4156178, 2.24911, -0.524918, 0.04270172, 2.213212, 0.3869729, 0.03590383, 2.235239, -0.2641571, -0.02605687, 2.241362, 0.09038082, -0.01383998, 2.234708, -0.06578428, -0.2371449, 2.147161, -0.06496069, -0.2764681, 2.06683
-0.5882956, 0.3966397, 2.201397, 0.4277032, 0.4198299, 2.248178, -0.5192613, 0.06752387, 2.214123, 0.3812874, 0.07341684, 2.237275, -0.269446, -0.02028384, 2.243028, 0.1018428, -0.003605673, 2.240744, -0.06730033, -0.232307, 2.153466, -0.06687621, -0.2711836, 2.073241
-0.5108764, 0.4688783, 2.203275, 0.3900392, 0.4588214, 2.242706, -0.4999043, 0.09082816, 2.216413, 0.3667657, 0.1391904, 2.23347, -0.2747045, -0.003051181, 2.250258, 0.1024614, 0.005560742, 2.245871, -0.0702325, -0.2254951, 2.160221, -0.06992958, -0.2622834, 2.081627
-0.477585, 0.5022229, 2.202244, 0.3736535, 0.5139615, 2.240013, -0.4968458, 0.1014505, 2.211671, 0.3442849, 0.1964235, 2.227546, -0.2777927, 0.008318447, 2.253852, 0.1024728, 0.009978502, 2.247432, -0.07474966, -0.2200155, 2.163939, -0.07426336, -0.2558263, 2.085512
-0.4279863, 0.615896, 2.207894, 0.3326181, 0.542891, 2.235441, -0.4693042, 0.206117, 2.209502, 0.3300723, 0.2182565, 2.224444, -0.2792355, 0.02083347, 2.256591, 0.1018688, 0.01231224, 2.247101, -0.07591148, -0.216872, 2.16657, -0.07546493, -0.2514437, 2.088534
-0.3879777, 0.6407274, 2.213973, 0.2775795, 0.5638952, 2.249017, -0.4523741, 0.2873075, 2.203932, 0.291216, 0.2387177, 2.220901, -0.2770099, 0.03533336, 2.256744, 0.1259914, 0.04096353, 2.255964, -0.0751944, -0.2080294, 2.172844, -0.0742454, -0.2405601, 2.095988
-0.3753014, 0.6115857, 2.210114, 0.2207388, 0.5874014, 2.259415, -0.420805, 0.2858477, 2.206425, 0.2716399, 0.2474468, 2.218275, -0.2812902, 0.05174547, 2.263613, 0.1141059, 0.05053134, 2.254031, -0.07707887, -0.2007895, 2.175472, -0.07707337, -0.2325551, 2.098356
-0.3132241, 0.6631535, 2.22253, 0.1925005, 0.5989945, 2.251891, -0.3967275, 0.2919663, 2.205713, 0.2258464, 0.2771538, 2.209686, -0.2781349, 0.06128046, 2.265263, 0.1132129, 0.06290633, 2.255633, -0.07721675, -0.1909623, 2.178019, -0.07744318, -0.221765, 2.100676
