xlefthand, ylefthand, zlefthand, xRightHand, yRightHand, zRightHand, xLeftElbow, yLeftElbow, zLeftElbow, xRightElbow, yRightElbow, zRightElbow, xLeftshoulder, yLeftshoulder, zLeftshoulder, xRightshoulder, yRightshoulder, zRightshoulder, xSpine, ySpine, zSpine, xHipcenter, yHipcenter, zHipcenter
-0.2053036, -0.3395402, 1.696692, 0.2259427, -0.3181391, 1.677435, -0.2715746, -0.2794706, 2.110384, 0.3147302, -0.2656042, 2.08574, -0.177572, -0.04631922, 2.149566, 0.185227, -0.05592656, 2.150917, 0.002674703, -0.2547112, 2.098538, 0.004006745, -0.2948534, 2.026382
-0.231229, -0.3774367, 1.806792, 0.2210039, -0.3330058, 1.679542, -0.2708704, -0.2804649, 2.110445, 0.3079498, -0.2730278, 2.088646, -0.1772693, -0.04640962, 2.149033, 0.1852255, -0.0559236, 2.150682, 0.00298951, -0.2545108, 2.098402, 0.00443755, -0.2946137, 2.026268
-0.2277823, -0.4023756, 1.810772, 0.224062, -0.3539474, 1.682737, -0.2692888, -0.2850353, 2.110743, 0.3025208, -0.282291, 2.094332, -0.1767361, -0.04656547, 2.148608, 0.1864052, -0.0564081, 2.151274, 0.003265572, -0.2541983, 2.098536, 0.004930002, -0.2941796, 2.026561
-0.2339952, -0.3945705, 1.884442, 0.2116729, -0.3880147, 1.69447, -0.2669185, -0.2897062, 2.110494, 0.2974266, -0.2885182, 2.095871, -0.1762405, -0.0469825, 2.148088, 0.1863776, -0.05649981, 2.151089, 0.003659883, -0.2537958, 2.098821, 0.005371394, -0.2936007, 2.027101
-0.2355298, -0.3989114, 1.890312, 0.2337433, -0.3971415, 1.791607, -0.2643405, -0.294109, 2.110294, 0.2957594, -0.2913819, 2.097809, -0.1760515, -0.04756301, 2.147984, 0.1864763, -0.05689034, 2.15147, 0.003756919, -0.2538004, 2.09908, 0.005484856, -0.2935019, 2.027488
-0.2389734, -0.4051918, 1.902328, 0.2658667, -0.3860399, 1.883199, -0.2631443, -0.295935, 2.110125, 0.2931119, -0.2960644, 2.09796, -0.1755546, -0.04856932, 2.148076, 0.1864413, -0.05820252, 2.151695, 0.004084973, -0.2543115, 2.099512, 0.005789266, -0.2939696, 2.027964
-0.2530147, -0.4781882, 1.87481, 0.2586833, -0.4179633, 1.826625, -0.2620932, -0.2972787, 2.109205, 0.291696, -0.2987844, 2.097818, -0.1753436, -0.04929109, 2.147449, 0.1866377, -0.05912646, 2.151251, 0.004600564, -0.2548265, 2.098536, 0.00630449, -0.29452, 2.026978
-0.2430484, -0.4547492, 1.865645, 0.2603775, -0.4190019, 1.832854, -0.2613557, -0.2989903, 2.108045, 0.2896975, -0.3026086, 2.098192, -0.1749035, -0.05012856, 2.14682, 0.1863149, -0.06087804, 2.150514, 0.004915381, -0.2552893, 2.097517, 0.00665365, -0.2950082, 2.026009
-0.2527504, -0.4752469, 1.879377, 0.260649, -0.4216506, 1.839278, -0.2606062, -0.3003865, 2.106952, 0.2884843, -0.3048876, 2.09904, -0.1747194, -0.05052229, 2.146276, 0.1865231, -0.06285469, 2.150557, 0.005046615, -0.2559127, 2.096592, 0.006976649, -0.2956116, 2.025198
-0.2417233, -0.4439544, 1.866242, 0.2607391, -0.42319, 1.843785, -0.2602085, -0.3006647, 2.106295, 0.2876275, -0.3062731, 2.098468, -0.1741574, -0.05094597, 2.145681, 0.187298, -0.06418894, 2.150994, 0.004989311, -0.2559651, 2.095597, 0.007060623, -0.2957207, 2.02436
