xlefthand, ylefthand, zlefthand, xRightHand, yRightHand, zRightHand, xLeftElbow, yLeftElbow, zLeftElbow, xRightElbow, yRightElbow, zRightElbow, xLeftshoulder, yLeftshoulder, zLeftshoulder, xRightshoulder, yRightshoulder, zRightshoulder, xSpine, ySpine, zSpine, xHipcenter, yHipcenter, zHipcenter
-0.3216729, -0.4724509, 2.033708, 0.2912039, -0.4454205, 1.994787, -0.3455086, -0.2196663, 2.282868, 0.3021293, -0.2135647, 2.236934, -0.1978127, -0.007228959, 2.124164, 0.1792345, -0.004694049, 2.125505, -0.01453561, -0.2272398, 2.06771, -0.01551574, -0.276609, 2.007538
-0.3092161, -0.43159, 2.060452, 0.2914978, -0.437084, 2.00464, -0.3448691, -0.2170602, 2.279969, 0.3016744, -0.2116333, 2.236531, -0.1977322, -0.006362308, 2.122457, 0.179181, -0.003284123, 2.123847, -0.0144303, -0.2268513, 2.067053, -0.01544018, -0.276302, 2.006953
-0.3235924, -0.4801716, 2.049766, 0.2925498, -0.441839, 1.998662, -0.3438905, -0.21534, 2.275291, 0.3006111, -0.2083411, 2.235978, -0.1967661, -0.004867118, 2.115, 0.178488, -0.0007499338, 2.119717, -0.01466043, -0.2259071, 2.065914, -0.01528533, -0.2760521, 2.006168
-0.3185553, -0.4825258, 2.044737, 0.2952532, -0.4438469, 1.99644, -0.3438841, -0.2113279, 2.271048, 0.3012196, -0.2065714, 2.235667, -0.1957433, -0.002699326, 2.10531, 0.1787328, 0.001495572, 2.114909, -0.01487127, -0.2240154, 2.063959, -0.0149941, -0.2752799, 2.004873
-0.2892557, -0.4416937, 2.035673, 0.2672596, -0.4742873, 1.999487, -0.3452241, -0.2091524, 2.267385, 0.3033131, -0.2000765, 2.235351, -0.196535, -0.0004783606, 2.098806, 0.1793372, 0.004371445, 2.108294, -0.01406006, -0.2213885, 2.061381, -0.01427399, -0.2735672, 2.003046
-0.2901604, -0.4381209, 2.034444, 0.2686977, -0.4322549, 2.029331, -0.3466138, -0.2042981, 2.259763, 0.3047793, -0.1956031, 2.235954, -0.197122, 0.001120468, 2.090552, 0.1800094, 0.008356679, 2.101798, -0.01360855, -0.2200917, 2.05615, -0.0134834, -0.2726352, 1.998478
-0.3201955, -0.4847834, 2.036675, 0.2681265, -0.4688018, 2.003311, -0.3463348, -0.2011901, 2.253827, 0.3054409, -0.1935906, 2.236471, -0.197487, 0.004073692, 2.084069, 0.1797403, 0.01104011, 2.094353, -0.0128429, -0.2183331, 2.052022, -0.01286554, -0.271589, 1.994922
-0.3215856, -0.4925568, 2.03934, 0.2709942, -0.4715006, 2.003522, -0.346674, -0.1967809, 2.246464, 0.3069183, -0.1905839, 2.236555, -0.1977554, 0.006998833, 2.077119, 0.1795984, 0.01322463, 2.088208, -0.01164506, -0.216417, 2.047687, -0.01158072, -0.2701191, 1.990883
-0.3323702, -0.49833, 2.050132, 0.282685, -0.4721082, 2.008563, -0.3476343, -0.1938258, 2.241389, 0.3075758, -0.1896167, 2.236472, -0.1977484, 0.008771152, 2.06939, 0.180099, 0.01630194, 2.083564, -0.01009247, -0.2145688, 2.044093, -0.009676763, -0.2687845, 1.987719
-0.3293604, -0.5049303, 2.058462, 0.3156038, -0.4649324, 2.034676, -0.3487728, -0.1914957, 2.235341, 0.3082541, -0.1897644, 2.23672, -0.1968841, 0.01073203, 2.061612, 0.1805876, 0.01948567, 2.078428, -0.008349954, -0.213009, 2.041639, -0.007410726, -0.2675069, 1.985507
-0.32881, -0.429777, 2.093063, 0.3182061, -0.4590576, 2.036672, -0.3486097, -0.1908907, 2.23197, 0.3072975, -0.1896192, 2.235471, -0.1971426, 0.01244385, 2.057535, 0.1811067, 0.02204264, 2.073839, -0.00656652, -0.2102563, 2.039189, -0.005590052, -0.2653222, 1.983505
-0.3221678, -0.5020269, 2.072518, 0.323332, -0.4626603, 2.051137, -0.3464973, -0.1863419, 2.223826, 0.3080668, -0.1895559, 2.23591, -0.1968564, 0.0152833, 2.053045, 0.1810153, 0.02560519, 2.067794, -0.004972098, -0.2077395, 2.036342, -0.004017334, -0.2633684, 1.981211
-0.3210258, -0.5019305, 2.082688, 0.3498808, -0.4800155, 2.114894, -0.3452611, -0.1835258, 2.221068, 0.3088209, -0.1887973, 2.236178, -0.196574, 0.01710599, 2.049109, 0.180941, 0.02798995, 2.062358, -0.003813488, -0.2057002, 2.033622, -0.002818379, -0.2615225, 1.97885
-0.3129451, -0.5075687, 2.103042, 0.3277524, -0.4908367, 2.121887, -0.3452812, -0.1831814, 2.221121, 0.3096806, -0.1891491, 2.23669, -0.1956318, 0.01935369, 2.045083, 0.182341, 0.02998109, 2.059441, -0.002842427, -0.2035765, 2.031827, -0.001677497, -0.2599239, 1.977457
-0.3105815, -0.5076764, 2.117559, 0.3500519, -0.4663826, 2.133007, -0.3440346, -0.1823532, 2.221859, 0.3085901, -0.1893432, 2.236091, -0.1952333, 0.0215358, 2.041106, 0.1827863, 0.03184879, 2.055417, -0.002742342, -0.2017179, 2.029238, -0.001595937, -0.258402, 1.975127
-0.3109291, -0.5026987, 2.137178, 0.2979162, -0.4980015, 2.158383, -0.3410531, -0.183051, 2.222808, 0.3066542, -0.19077, 2.234041, -0.1943936, 0.02280567, 2.038127, 0.1824027, 0.03108462, 2.049922, -0.004207, -0.2006845, 2.025167, -0.003743612, -0.2575163, 1.970618
-0.3116255, -0.5153785, 2.133776, 0.2987369, -0.5036898, 2.153688, -0.3282123, -0.1895345, 2.218187, 0.2999025, -0.1982173, 2.226408, -0.1924717, 0.02384317, 2.03541, 0.1828058, 0.03131979, 2.049582, -0.005883046, -0.199714, 2.022269, -0.005063032, -0.2567142, 1.967652
-0.3261745, -0.5303258, 2.136737, 0.3064974, -0.5157449, 2.15195, -0.3086252, -0.2035421, 2.208808, 0.2885182, -0.2095663, 2.217804, -0.1900319, 0.02326363, 2.032873, 0.1829839, 0.02997422, 2.049489, -0.005814895, -0.2001514, 2.017526, -0.004698699, -0.2571248, 1.962029
-0.3313525, -0.5484221, 2.142081, 0.3118216, -0.5304878, 2.134732, -0.2982092, -0.2225583, 2.188467, 0.2758414, -0.2300698, 2.197734, -0.1872621, 0.0203199, 2.031125, 0.1825968, 0.02703946, 2.050227, -0.0065182, -0.2017837, 2.014134, -0.005226622, -0.2588369, 1.957374
-0.3386983, -0.550907, 2.125862, 0.3026206, -0.5351843, 2.093933, -0.2949865, -0.2284985, 2.180033, 0.2706652, -0.2433872, 2.186818, -0.1841491, 0.01680133, 2.030395, 0.1818567, 0.02111988, 2.053313, -0.007475019, -0.2055244, 2.009615, -0.005418304, -0.2627228, 1.951443
