xlefthand, ylefthand, zlefthand, xRightHand, yRightHand, zRightHand, xLeftElbow, yLeftElbow, zLeftElbow, xRightElbow, yRightElbow, zRightElbow, xLeftshoulder, yLeftshoulder, zLeftshoulder, xRightshoulder, yRightshoulder, zRightshoulder, xSpine, ySpine, zSpine, xHipcenter, yHipcenter, zHipcenter
-0.4446617, -0.02993768, 1.688041, 0.2640047, -0.05001831, 1.727019, -0.4443695, -0.1817669, 1.991957, 0.2358643, -0.1886477, 2.021539, -0.2850317, -0.04293443, 2.062905, 0.0829454, -0.03679797, 2.094057, -0.09476898, -0.1960675, 2.050178, -0.08798357, -0.2304138, 1.996539
-0.493785, 0.001866985, 1.685947, 0.3377862, -0.005282277, 1.726342, -0.4606838, -0.1620793, 1.993418, 0.250142, -0.1676441, 2.030368, -0.2855319, -0.04256703, 2.063574, 0.08275624, -0.03547653, 2.094831, -0.09462088, -0.1959172, 2.050136, -0.0878538, -0.2302675, 1.996481
-0.5553953, 0.04164501, 1.698982, 0.4015745, 0.03694275, 1.741707, -0.4896807, -0.1401438, 1.986641, 0.2723207, -0.1482263, 2.035579, -0.2861428, -0.04141294, 2.065254, 0.08317669, -0.03341032, 2.096615, -0.09397568, -0.1956781, 2.05037, -0.08704948, -0.2300268, 1.996726
-0.6182211, 0.0792556, 1.714503, 0.4516151, 0.07053793, 1.771101, -0.4976577, -0.1283788, 1.995443, 0.286385, -0.134061, 2.045727, -0.2871802, -0.03940285, 2.067796, 0.08298284, -0.03195827, 2.0985, -0.09378107, -0.1957914, 2.050609, -0.08679396, -0.2302265, 1.996963
-0.6823931, 0.1181463, 1.732122, 0.4995621, 0.1020669, 1.799185, -0.5104087, -0.1114559, 2.00282, 0.3114798, -0.1030651, 2.051336, -0.2909745, -0.03468258, 2.07389, 0.08341043, -0.03047175, 2.101073, -0.09291656, -0.1949454, 2.051376, -0.08597659, -0.2291599, 1.997777
-0.7349159, 0.1394318, 1.7625, 0.5398108, 0.1273727, 1.833917, -0.5496809, -0.07477298, 1.995882, 0.3148872, -0.0961369, 2.062879, -0.2914351, -0.03282629, 2.076739, 0.08270146, -0.02912834, 2.102823, -0.09227901, -0.1948347, 2.051769, -0.08537041, -0.2289502, 1.998071
-0.751475, 0.1228482, 1.808267, 0.5765784, 0.143478, 1.870665, -0.5568095, -0.0689217, 2.000171, 0.3206566, -0.08434382, 2.076735, -0.2938278, -0.02861741, 2.083499, 0.08301225, -0.02489655, 2.108393, -0.09157739, -0.1941063, 2.052853, -0.08467864, -0.22802, 1.999034
-0.8042704, 0.1462927, 1.846075, 0.6060542, 0.1516243, 1.893998, -0.538035, -0.005461957, 2.00358, 0.3404388, -0.06195526, 2.076081, -0.2951529, -0.02605455, 2.087451, 0.08254284, -0.02365909, 2.109361, -0.09054835, -0.1942635, 2.054304, -0.08382503, -0.2279226, 2.000208
-0.7945064, 0.03418456, 1.933284, 0.6413527, 0.1562427, 1.930158, -0.5676584, -0.05584297, 2.03742, 0.345773, -0.05589777, 2.080878, -0.2954216, -0.02476109, 2.089489, 0.08219779, -0.02184132, 2.111897, -0.08969008, -0.1932728, 2.05569, -0.08284398, -0.226559, 2.001388
-0.8563205, 0.05761896, 1.92658, 0.6530473, 0.1555071, 1.951805, -0.5658665, -0.05175584, 2.0528, 0.3538943, -0.04742639, 2.089569, -0.2955698, -0.02310088, 2.091611, 0.0816585, -0.01898769, 2.11533, -0.09040434, -0.1920443, 2.056986, -0.0837083, -0.2250737, 2.002671
-0.8510766, 0.0864756, 1.952822, 0.625349, 0.1493977, 1.998311, -0.546901, -0.01011413, 2.044031, 0.3568369, -0.04141713, 2.100212, -0.2963649, -0.02116002, 2.094354, 0.07982429, -0.01592147, 2.117909, -0.09080198, -0.1912441, 2.058033, -0.084354, -0.2241359, 2.003691
-0.7992501, 0.04575504, 2.016073, 0.6389996, 0.1399125, 2.024488, -0.5574978, -0.04790034, 2.078083, 0.354014, -0.03387274, 2.111069, -0.2973545, -0.01930128, 2.096844, 0.07857788, -0.01361937, 2.120397, -0.0910298, -0.1904794, 2.058553, -0.0846459, -0.2231734, 2.004117
-0.7991814, 0.04628789, 2.021442, 0.6840823, 0.1184256, 2.059956, -0.5532421, -0.0459125, 2.086516, 0.3574539, -0.03148103, 2.118576, -0.2976915, -0.01797218, 2.098978, 0.07866915, -0.01128917, 2.123558, -0.09132657, -0.1895075, 2.05915, -0.08500224, -0.2220279, 2.004662
-0.8043004, 0.03904534, 2.032235, 0.7543164, 0.1389904, 2.069151, -0.5520353, -0.04441643, 2.094225, 0.3603126, -0.0292353, 2.126606, -0.2977756, -0.01668111, 2.100696, 0.07879493, -0.01035851, 2.125037, -0.09160128, -0.1890297, 2.059262, -0.08529034, -0.2214806, 2.004721
-0.8100901, 0.01850287, 2.052118, 0.7381262, 0.08739375, 2.124042, -0.5520716, -0.04500618, 2.100495, 0.359232, -0.02906829, 2.132358, -0.2977358, -0.0156467, 2.102677, 0.07954907, -0.009572789, 2.127375, -0.09173347, -0.1885742, 2.059414, -0.0854063, -0.2210419, 2.004813
-0.8434132, 0.0149622, 2.062731, 0.6105593, -0.006017895, 2.157636, -0.5599678, -0.04681215, 2.107657, 0.3548427, -0.03641081, 2.146062, -0.2975294, -0.01430081, 2.105006, 0.07928042, -0.00872135, 2.128761, -0.09187219, -0.1882078, 2.059557, -0.08557064, -0.220703, 2.004888
-0.8478884, -0.01153632, 2.075897, 0.6101292, -0.01131704, 2.160115, -0.558544, -0.05060933, 2.113677, 0.3499342, -0.0397371, 2.149216, -0.2975479, -0.01415868, 2.106441, 0.07897632, -0.008440228, 2.129741, -0.09203398, -0.1878648, 2.059767, -0.08579713, -0.2203592, 2.005017
-0.8460191, -0.003545444, 2.082712, 0.6125573, -0.01131378, 2.162821, -0.5569088, -0.05483124, 2.119397, 0.3479986, -0.04163001, 2.151963, -0.2976198, -0.01432464, 2.108194, 0.07913757, -0.007980827, 2.131303, -0.09215447, -0.1877109, 2.060025, -0.08594753, -0.2201949, 2.005208
-0.8464803, -0.0004977025, 2.085932, 0.615267, -0.01149719, 2.166556, -0.5576198, -0.05827545, 2.122834, 0.3433227, -0.04616161, 2.155953, -0.2979578, -0.0142237, 2.110392, 0.07872905, -0.007654957, 2.132158, -0.09229561, -0.1875954, 2.060271, -0.0861954, -0.220034, 2.005367
-0.8461757, -0.0001527155, 2.089478, 0.6283776, 0.0416876, 2.15814, -0.5566116, -0.06090725, 2.12494, 0.3474852, -0.04689247, 2.15945, -0.2976039, -0.01410546, 2.11154, 0.0786514, -0.00764789, 2.133089, -0.0924459, -0.1875643, 2.060515, -0.08633265, -0.2200079, 2.005569
-0.8452504, 0.007908085, 2.09022, 0.6225904, 0.075196, 2.164416, -0.5568215, -0.06243735, 2.125985, 0.3545975, -0.04637089, 2.164577, -0.2980205, -0.01426498, 2.112898, 0.07852454, -0.00772713, 2.133926, -0.09260214, -0.1875453, 2.060842, -0.08650938, -0.2200252, 2.005849
-0.8218425, 0.0022477, 2.084346, 0.6408408, 0.1374486, 2.173522, -0.5568687, -0.06295186, 2.126192, 0.3615817, -0.03816044, 2.167689, -0.2983871, -0.01423308, 2.113703, 0.07828416, -0.007608327, 2.134702, -0.09267038, -0.1875704, 2.060947, -0.08655848, -0.219998, 2.005912
-0.81582, 0.0198843, 2.085682, 0.5893144, 0.1885817, 2.166146, -0.5560564, -0.06320253, 2.126518, 0.3375231, 0.02664344, 2.155609, -0.2984444, -0.01418008, 2.114022, 0.07801078, -0.007452805, 2.135168, -0.0927683, -0.187608, 2.061071, -0.08662373, -0.2200063, 2.005985
-0.8253663, 0.05447919, 2.084579, 0.5316901, 0.2043474, 2.170512, -0.5732124, -0.04778101, 2.123289, 0.3574224, -0.02987203, 2.173794, -0.2984187, -0.01419996, 2.114105, 0.07845195, -0.006564137, 2.136662, -0.09277281, -0.1874698, 2.061191, -0.08651595, -0.2198657, 2.006052
-0.804765, 0.2405296, 2.085217, 0.5076928, 0.2334649, 2.173084, -0.5690283, -0.04792295, 2.123898, 0.3504411, -0.01700683, 2.177548, -0.2983995, -0.01425249, 2.11415, 0.07884451, -0.005717799, 2.137632, -0.09273957, -0.1873892, 2.061266, -0.08640321, -0.2197857, 2.006077
-0.7461243, 0.307202, 2.084316, 0.4737581, 0.2776627, 2.174989, -0.5577817, -0.04361423, 2.124101, 0.3471453, 0.008507513, 2.177778, -0.298582, -0.01387914, 2.114319, 0.07821628, -0.003871557, 2.138337, -0.09347383, -0.1866594, 2.060708, -0.08749414, -0.218767, 2.005265
-0.6791206, 0.3292667, 2.081692, 0.4302668, 0.3547041, 2.17825, -0.5634743, -0.009191373, 2.120252, 0.3401186, 0.02654228, 2.177737, -0.2988905, -0.01326504, 2.11463, 0.07784612, -0.002543814, 2.139026, -0.09600297, -0.1850104, 2.059426, -0.09048166, -0.2168006, 2.003855
-0.6315191, 0.3486684, 2.079131, 0.3888764, 0.3669754, 2.177111, -0.561147, -0.00451572, 2.119681, 0.336832, 0.0342424, 2.177281, -0.2990898, -0.01251996, 2.114903, 0.07730058, 0.0001163802, 2.140349, -0.09718303, -0.1837819, 2.059223, -0.09169405, -0.2153765, 2.003561
-0.5894507, 0.3454878, 2.082326, 0.3525751, 0.3714898, 2.172478, -0.556852, 0.002905904, 2.117445, 0.3255501, 0.0383155, 2.17574, -0.2994554, -0.01176056, 2.115294, 0.07689015, 0.001135082, 2.140912, -0.09837983, -0.1829263, 2.058983, -0.09290025, -0.2144949, 2.003357
-0.5250577, 0.3441612, 2.088524, 0.3161762, 0.3693585, 2.167124, -0.5597978, 0.01668713, 2.112468, 0.3226527, 0.0379991, 2.17514, -0.3001304, -0.01005557, 2.116016, 0.07661468, 0.001945576, 2.141412, -0.09912862, -0.1821405, 2.058916, -0.09369069, -0.21374, 2.003313
-0.5228209, 0.3425499, 2.089468, 0.3002843, 0.3638937, 2.166855, -0.5495611, 0.01165143, 2.111959, 0.3209582, 0.03689266, 2.174606, -0.3001456, -0.009976752, 2.115994, 0.07636175, 0.002299859, 2.141601, -0.0992782, -0.1820056, 2.058867, -0.09379748, -0.2136188, 2.00326
-0.4843835, 0.3229401, 2.095818, 0.2501801, 0.3402065, 2.156142, -0.5326192, -0.0208796, 2.10699, 0.3211392, 0.0362295, 2.173718, -0.300167, -0.009933865, 2.115864, 0.07631307, 0.00231665, 2.141785, -0.09954618, -0.1819694, 2.058826, -0.09411751, -0.2135851, 2.003188
-0.4712643, 0.3134631, 2.096998, 0.2085923, 0.3062153, 2.145142, -0.5284386, -0.02916466, 2.10386, 0.3215528, 0.03288813, 2.170698, -0.2999911, -0.01028876, 2.115235, 0.07608406, 0.001670711, 2.14158, -0.09987815, -0.1821254, 2.058661, -0.0944752, -0.2138409, 2.002907
