xlefthand, ylefthand, zlefthand, xRightHand, yRightHand, zRightHand, xLeftElbow, yLeftElbow, zLeftElbow, xRightElbow, yRightElbow, zRightElbow, xLeftshoulder, yLeftshoulder, zLeftshoulder, xRightshoulder, yRightshoulder, zRightshoulder, xSpine, ySpine, zSpine, xHipcenter, yHipcenter, zHipcenter
-0.4872444, -0.02978873, 1.98457, 0.3134474, -0.008900701, 2.038011, -0.3724775, -0.2858869, 2.073309, 0.1945232, -0.2706128, 2.135096, -0.275895, -0.06319907, 2.101771, 0.07601399, -0.04683585, 2.123255, -0.08563743, -0.2089949, 2.059485, -0.0805563, -0.2434114, 1.999559
-0.4865916, -0.03088374, 1.984115, 0.3136908, -0.01466808, 2.034389, -0.3710468, -0.286357, 2.073932, 0.1943506, -0.2708758, 2.134928, -0.2723161, -0.06135643, 2.099431, 0.0739077, -0.04666218, 2.122059, -0.08612606, -0.2098899, 2.059185, -0.0809415, -0.2446423, 1.999101
-0.484462, -0.0321349, 1.983238, 0.3121817, -0.01933706, 2.026039, -0.3706322, -0.2864587, 2.073795, 0.1943532, -0.2701125, 2.13356, -0.2690827, -0.05920221, 2.096951, 0.07386166, -0.04648287, 2.121576, -0.08662298, -0.2100199, 2.059077, -0.08114368, -0.2449077, 1.999025
-0.4827005, -0.03188308, 1.981642, 0.3095668, -0.01700922, 2.013442, -0.3704354, -0.2864378, 2.073652, 0.194712, -0.2695358, 2.132062, -0.2697312, -0.05927587, 2.097127, 0.07391162, -0.04611117, 2.120888, -0.08693052, -0.209818, 2.058682, -0.08163858, -0.2448023, 1.998652
-0.4795024, -0.02746026, 1.980147, 0.3108998, -0.01319987, 2.007925, -0.3704718, -0.2860691, 2.072906, 0.1990527, -0.2676584, 2.129338, -0.2702683, -0.05943088, 2.097142, 0.07416686, -0.04589913, 2.119843, -0.08673445, -0.2093223, 2.058151, -0.08156808, -0.2445001, 1.998209
-0.4765101, -0.01412288, 1.979061, 0.3114179, -0.005845529, 2.006143, -0.3775754, -0.2783452, 2.065365, 0.2309312, -0.2419735, 2.117355, -0.2707942, -0.05899537, 2.097202, 0.07459655, -0.04526335, 2.1192, -0.08686899, -0.2088919, 2.057873, -0.08176771, -0.2442436, 1.997989
-0.4793543, 0.0009109876, 1.9795, 0.3119626, 0.01490341, 2.007451, -0.3905033, -0.2700356, 2.053466, 0.2307554, -0.239466, 2.116451, -0.2723003, -0.05848425, 2.097842, 0.07479485, -0.0449084, 2.118667, -0.08532306, -0.2083954, 2.056077, -0.07974614, -0.2432238, 1.995943
-0.4848625, 0.04799508, 1.977659, 0.3148135, 0.05418407, 2.018603, -0.4048856, -0.256732, 2.043865, 0.2679064, -0.195053, 2.104557, -0.2754123, -0.05812833, 2.099114, 0.07583509, -0.04433567, 2.119058, -0.08446623, -0.2077299, 2.055997, -0.07842387, -0.2419577, 1.996041
-0.4896266, 0.08259999, 1.978773, 0.3052718, 0.1141065, 2.014623, -0.4144488, -0.239952, 2.040643, 0.2745933, -0.1715315, 2.106016, -0.2757757, -0.05804233, 2.099145, 0.07809064, -0.04343124, 2.120139, -0.08159243, -0.2019753, 2.065598, -0.07464738, -0.2349813, 2.008836
-0.4859929, 0.1438664, 1.983721, 0.2984439, 0.1556932, 2.023902, -0.4479917, -0.1752131, 2.030118, 0.2928559, -0.1234458, 2.103712, -0.2754185, -0.05608472, 2.100965, 0.08455135, -0.03976274, 2.126327, -0.08169075, -0.2016113, 2.065543, -0.07449523, -0.2344349, 2.008642
-0.4774753, 0.192094, 1.995617, 0.2882628, 0.2150846, 2.029843, -0.4593633, -0.1446865, 2.030164, 0.3263863, -0.08084912, 2.098621, -0.2766578, -0.04927385, 2.10616, 0.08933622, -0.03710664, 2.131205, -0.08148255, -0.2001685, 2.06705, -0.07437323, -0.2326355, 2.009868
-0.4617488, 0.2456336, 2.004595, 0.2701255, 0.2679813, 2.039109, -0.4830247, -0.08320293, 2.025314, 0.3339598, -0.03638911, 2.102177, -0.2767609, -0.0436431, 2.110061, 0.09238499, -0.03228401, 2.135968, -0.08310062, -0.1985776, 2.069839, -0.07651813, -0.2309156, 2.012714
-0.4958696, 0.2604924, 2.002609, 0.2541864, 0.3171444, 2.042989, -0.486501, -0.03001337, 2.032459, 0.3440908, 0.01891739, 2.103122, -0.2813923, -0.0295387, 2.119714, 0.09611309, -0.02441884, 2.142791, -0.08380201, -0.1948308, 2.071062, -0.07778461, -0.2260761, 2.013877
