xlefthand, ylefthand, zlefthand, xRightHand, yRightHand, zRightHand, xLeftElbow, yLeftElbow, zLeftElbow, xRightElbow, yRightElbow, zRightElbow, xLeftshoulder, yLeftshoulder, zLeftshoulder, xRightshoulder, yRightshoulder, zRightshoulder, xSpine, ySpine, zSpine, xHipcenter, yHipcenter, zHipcenter
-0.01571807, 0.1676197, 1.459126, 0.2956472, 0.1350718, 1.68179, -0.261877, 0.2554555, 1.609246, 0.2610093, 0.2291787, 1.952841, -0.1140534, 0.4360252, 1.688702, 0.1746729, 0.4323156, 1.852951, 0.02977275, 0.1363163, 1.749074, 0.0622492, 0.06996074, 1.692083
-0.02899816, 0.1749672, 1.476512, 0.3382065, 0.1324193, 1.681179, -0.2600916, 0.2515501, 1.617195, 0.2561814, 0.2179506, 1.94393, -0.1144998, 0.4349629, 1.691012, 0.1754627, 0.4323764, 1.85478, 0.02999253, 0.1361801, 1.749524, 0.06229691, 0.06985807, 1.692408
-0.0215665, 0.1701082, 1.490921, 0.2716179, 0.1050186, 1.599506, -0.2574728, 0.2408647, 1.638046, 0.2540771, 0.2166261, 1.942948, -0.1156894, 0.4345682, 1.69655, 0.1788045, 0.4341542, 1.864714, 0.029589, 0.1379081, 1.750926, 0.06199231, 0.07215778, 1.69394
-0.005457954, 0.1670424, 1.504753, 0.2470955, 0.09250505, 1.595217, -0.254201, 0.2333621, 1.655917, 0.2556292, 0.2371645, 1.958767, -0.1158607, 0.4340504, 1.703457, 0.1818539, 0.4353218, 1.874344, 0.02948358, 0.1392615, 1.753119, 0.06172672, 0.07402965, 1.695929
-0.004286653, 0.1647311, 1.52034, 0.2285306, 0.08576058, 1.605904, -0.2487288, 0.2250041, 1.67411, 0.2551584, 0.2419004, 1.961984, -0.1156382, 0.4344205, 1.710653, 0.1827214, 0.4360828, 1.879045, 0.02779339, 0.1437604, 1.758363, 0.05868896, 0.07973585, 1.701066
0.05784638, 0.162235, 1.521957, 0.2087976, 0.07843941, 1.618508, -0.2478883, 0.2248199, 1.687989, 0.2535293, 0.2451088, 1.966264, -0.1142196, 0.43506, 1.718533, 0.1836336, 0.4385561, 1.88634, 0.02616351, 0.1477658, 1.764135, 0.05620795, 0.08446521, 1.706595
0.05789753, 0.1604207, 1.540094, 0.2061961, 0.07763121, 1.623603, -0.2481588, 0.2264423, 1.699238, 0.2527307, 0.2454874, 1.969395, -0.1139015, 0.4374844, 1.727564, 0.1837145, 0.4394771, 1.893964, 0.0236841, 0.1533294, 1.771467, 0.05234967, 0.09144039, 1.713644
0.05772412, 0.1605333, 1.556443, 0.2196102, 0.1055239, 1.697631, -0.2503881, 0.2282249, 1.707655, 0.2498529, 0.245813, 1.976147, -0.1134916, 0.4384004, 1.73506, 0.1853084, 0.4382163, 1.902769, 0.02161433, 0.1560882, 1.778251, 0.04984434, 0.09427991, 1.720138
0.0549813, 0.1565294, 1.564172, 0.2220857, 0.1029343, 1.701549, -0.2536204, 0.2303504, 1.713179, 0.2481066, 0.2431749, 1.982415, -0.1147552, 0.4406803, 1.743773, 0.1868386, 0.4393113, 1.915997, 0.01858767, 0.1582053, 1.784727, 0.04633959, 0.09649488, 1.72691
0.04647085, 0.1530267, 1.572716, 0.2449763, 0.1013872, 1.671597, -0.2603704, 0.2338814, 1.718718, 0.2470507, 0.241399, 1.986462, -0.1171004, 0.4394451, 1.75041, 0.1876501, 0.4388681, 1.924169, 0.01941353, 0.1573686, 1.793184, 0.04674488, 0.0954072, 1.735571
-0.01824307, 0.14895, 1.585687, 0.2518612, 0.09197619, 1.673682, -0.2673469, 0.2384452, 1.723454, 0.2462406, 0.2392278, 1.987959, -0.1183741, 0.4401438, 1.75741, 0.1890969, 0.4386359, 1.937908, 0.01998046, 0.1594199, 1.801716, 0.04805492, 0.09803472, 1.744476
-0.05000852, 0.151018, 1.592239, 0.2826283, 0.06770431, 1.711867, -0.2718499, 0.2398516, 1.726088, 0.2395178, 0.2243778, 1.992301, -0.1196388, 0.4400567, 1.763015, 0.1887817, 0.4362004, 1.944432, 0.02036876, 0.1589892, 1.807212, 0.04890544, 0.09775487, 1.750298
-0.04008866, 0.1549898, 1.588774, 0.2433342, 0.09414069, 1.732933, -0.2751684, 0.2426612, 1.727134, 0.2384261, 0.2215397, 1.995923, -0.1206646, 0.4388378, 1.768091, 0.1857874, 0.436922, 1.95144, 0.02044514, 0.1586961, 1.811023, 0.0495156, 0.09804006, 1.754063
-0.03707986, 0.1593482, 1.577312, 0.2781398, 0.04043894, 1.790885, -0.2781906, 0.237807, 1.718995, 0.2358468, 0.2249639, 2.016317, -0.1236883, 0.4380216, 1.775239, 0.1751168, 0.4253984, 1.953003, 0.01850233, 0.1549942, 1.815135, 0.04797747, 0.09497328, 1.75772
