xlefthand, ylefthand, zlefthand, xRightHand, yRightHand, zRightHand, xLeftElbow, yLeftElbow, zLeftElbow, xRightElbow, yRightElbow, zRightElbow, xLeftshoulder, yLeftshoulder, zLeftshoulder, xRightshoulder, yRightshoulder, zRightshoulder, xSpine, ySpine, zSpine, xHipcenter, yHipcenter, zHipcenter
0.04882441, -0.05108096, 1.462407, 0.4080341, -0.08902419, 1.786588, -0.08346055, 0.208286, 1.589964, 0.3180896, 0.1808797, 1.928686, -0.002365174, 0.4210408, 1.710726, 0.2385397, 0.3922763, 1.849492, 0.1227128, 0.1268904, 1.772478, 0.1533661, 0.05418753, 1.718919
0.04403539, -0.05467027, 1.473074, 0.3936133, -0.09965663, 1.79269, -0.08394074, 0.2063476, 1.590926, 0.3181861, 0.1795066, 1.929333, -0.002467077, 0.4209487, 1.711023, 0.2385614, 0.3922858, 1.849792, 0.1226277, 0.1268042, 1.772602, 0.1532242, 0.05408013, 1.719036
0.04487649, -0.06578123, 1.489971, 0.3707842, -0.1062298, 1.782549, -0.08449056, 0.2037535, 1.596389, 0.3171527, 0.1785916, 1.92894, -0.002518663, 0.4211158, 1.711191, 0.2385781, 0.3925491, 1.849799, 0.1224814, 0.1267203, 1.77213, 0.1528944, 0.05397984, 1.718383
0.04691563, -0.06857426, 1.501169, 0.3611978, -0.1077845, 1.778017, -0.08347342, 0.2012357, 1.60144, 0.3157985, 0.1771455, 1.927675, -0.002477981, 0.4211809, 1.711232, 0.238997, 0.3924468, 1.84967, 0.122434, 0.1265623, 1.771598, 0.1527084, 0.05377174, 1.717754
0.0482776, -0.07161108, 1.508101, 0.3382379, -0.1207545, 1.760841, -0.08352154, 0.1997124, 1.606073, 0.3045212, 0.1422714, 1.892608, -0.002484713, 0.4212005, 1.711182, 0.2454015, 0.3740176, 1.843783, 0.122684, 0.1264787, 1.771262, 0.1524247, 0.05368517, 1.717042
0.04857622, -0.07234354, 1.509931, 0.3390564, -0.1190416, 1.762367, -0.08345538, 0.1988422, 1.608882, 0.3030979, 0.1471871, 1.886822, -0.003007201, 0.4216039, 1.711233, 0.243962, 0.381013, 1.844914, 0.1224672, 0.1264526, 1.770443, 0.1519123, 0.0536758, 1.715997
0.04881082, -0.07245767, 1.509941, 0.3395896, -0.1189931, 1.762716, -0.08334837, 0.1983742, 1.609892, 0.3030352, 0.1500017, 1.887619, -0.003025307, 0.4215837, 1.711249, 0.2439041, 0.3837419, 1.845232, 0.1224882, 0.1262796, 1.770057, 0.1517916, 0.05347471, 1.715465
0.05003017, -0.07241871, 1.506764, 0.3477729, -0.1160478, 1.770234, -0.08341851, 0.1983524, 1.609829, 0.3128577, 0.1685349, 1.92408, -0.003009718, 0.4215777, 1.711276, 0.2431336, 0.3856155, 1.844846, 0.122617, 0.1260596, 1.769684, 0.1518376, 0.05319753, 1.714893
0.05323002, -0.06986959, 1.493171, 0.3611884, -0.1140835, 1.780313, -0.08353259, 0.1989178, 1.608011, 0.3134955, 0.1682848, 1.922643, -0.002998505, 0.4214979, 1.711276, 0.2430599, 0.3857848, 1.8447, 0.1228003, 0.125802, 1.769374, 0.1520378, 0.05295366, 1.714432
0.04912078, -0.05425239, 1.470541, 0.3863729, -0.1063033, 1.783333, -0.08439433, 0.2019535, 1.601562, 0.3161504, 0.1659912, 1.92488, -0.002870213, 0.4214684, 1.711208, 0.2431986, 0.3805415, 1.843088, 0.1223988, 0.127981, 1.769123, 0.1517515, 0.05601351, 1.714102
0.05717856, -0.03454568, 1.432575, 0.4172617, -0.09237567, 1.789451, -0.0880921, 0.2088606, 1.58877, 0.3178355, 0.1706612, 1.925031, -0.002553179, 0.4212407, 1.711072, 0.2410247, 0.3838703, 1.843514, 0.1222184, 0.1251327, 1.768677, 0.1519647, 0.05163619, 1.713335
0.05351271, -0.0103902, 1.405215, 0.4624618, -0.06827849, 1.797866, -0.08598921, 0.2173854, 1.571573, 0.3246024, 0.1748601, 1.92578, -0.001964834, 0.4210401, 1.710773, 0.2397055, 0.3835532, 1.842501, 0.1221184, 0.12581, 1.768574, 0.1520566, 0.05291826, 1.713246
0.05729887, 0.02161528, 1.358818, 0.4925101, -0.04786664, 1.809913, -0.07647219, 0.2293073, 1.547883, 0.3365934, 0.1804763, 1.93658, -0.001221485, 0.4208911, 1.71041, 0.2384008, 0.3724915, 1.835633, 0.1208897, 0.1213183, 1.767614, 0.1505877, 0.04669736, 1.711349
0.0481947, 0.06113315, 1.321224, 0.5444431, -0.006438883, 1.822193, -0.07396267, 0.2437361, 1.530327, 0.3447298, 0.193881, 1.939139, 0.0005354719, 0.420845, 1.709836, 0.2348633, 0.3786456, 1.838496, 0.1194171, 0.1177648, 1.766885, 0.1498361, 0.04257846, 1.710792
0.04731957, 0.1055613, 1.281733, 0.5913693, 0.03467468, 1.823554, -0.1303505, 0.3225693, 1.518863, 0.354578, 0.1958623, 1.944253, 0.00550975, 0.4224278, 1.710958, 0.2325653, 0.3828406, 1.842167, 0.1178935, 0.1178789, 1.766913, 0.1491286, 0.0429864, 1.711219
0.04302666, 0.1524488, 1.252524, 0.6310448, 0.08312414, 1.83674, -0.1049943, 0.3371026, 1.465942, 0.381552, 0.2176205, 1.962028, 0.007900204, 0.4236799, 1.711575, 0.2306124, 0.379131, 1.84021, 0.1130312, 0.1151746, 1.766099, 0.1438927, 0.03978069, 1.70982
0.03257633, 0.2054631, 1.22733, 0.6720268, 0.1338337, 1.838271, -0.1139373, 0.3391987, 1.469912, 0.3973616, 0.2313586, 1.968985, 0.01455266, 0.4274334, 1.716539, 0.2265376, 0.3859072, 1.848509, 0.1080172, 0.1114293, 1.767583, 0.1397155, 0.03526271, 1.711515
