xlefthand, ylefthand, zlefthand, xRightHand, yRightHand, zRightHand, xLeftElbow, yLeftElbow, zLeftElbow, xRightElbow, yRightElbow, zRightElbow, xLeftshoulder, yLeftshoulder, zLeftshoulder, xRightshoulder, yRightshoulder, zRightshoulder, xSpine, ySpine, zSpine, xHipcenter, yHipcenter, zHipcenter
-0.6330004, -5.295128E-05, 1.784147, 0.5350981, 0.007594343, 1.854643, -0.4500383, -0.2072807, 2.042124, 0.3694697, -0.1988316, 2.065684, -0.2544185, -0.1017192, 2.122903, 0.1079767, -0.09260825, 2.147139, -0.05617512, -0.2793254, 2.062808, -0.05089898, -0.3096424, 2.000528
-0.5983404, 0.06092361, 1.77324, 0.4840904, 0.06897994, 1.841667, -0.4501145, -0.1970419, 2.034849, 0.3629564, -0.1891351, 2.061404, -0.2543337, -0.1012007, 2.122956, 0.1078302, -0.09259261, 2.147313, -0.05615909, -0.2793344, 2.062755, -0.05086732, -0.3096375, 2.000467
-0.5471013, 0.09933182, 1.768085, 0.44104, 0.112431, 1.827911, -0.4555836, -0.1618104, 1.996247, 0.3261351, -0.162207, 2.057494, -0.2545002, -0.09984224, 2.12367, 0.1087504, -0.09161215, 2.150048, -0.05645391, -0.2795113, 2.062879, -0.05102934, -0.3096853, 2.000592
-0.4948374, 0.1408939, 1.754652, 0.3792125, 0.1366024, 1.807536, -0.4539028, -0.1455063, 1.9697, 0.323314, -0.1431794, 2.025532, -0.2548327, -0.09873408, 2.123634, 0.1088975, -0.09082852, 2.150479, -0.05837229, -0.2785262, 2.063417, -0.0537136, -0.3083535, 2.000933
-0.4375326, 0.1690057, 1.734054, 0.3028688, 0.1519631, 1.771296, -0.4359799, -0.1024851, 1.915372, 0.3142936, -0.1046756, 1.961173, -0.2543062, -0.09572504, 2.122396, 0.1086988, -0.09025261, 2.150398, -0.06133367, -0.277338, 2.064173, -0.05686174, -0.3070244, 2.001396
-0.3719903, 0.1829111, 1.702061, 0.2596102, 0.1685223, 1.736679, -0.4150007, -0.08054923, 1.88277, 0.2944963, -0.100891, 1.945239, -0.2538937, -0.09433831, 2.119422, 0.1079743, -0.08992143, 2.148201, -0.0629705, -0.2763212, 2.064337, -0.05892546, -0.3060831, 2.001276
-0.3245422, 0.1799857, 1.671263, 0.2053604, 0.1564436, 1.694796, -0.3843066, -0.0635522, 1.837769, 0.2931727, -0.1087883, 1.905269, -0.2527105, -0.09158081, 2.116617, 0.1013211, -0.08846205, 2.134178, -0.06204173, -0.276042, 2.064361, -0.05901241, -0.3059027, 2.001155
-0.2770093, 0.1690663, 1.639588, 0.1580849, 0.1528832, 1.652026, -0.3800774, -0.09654585, 1.822973, 0.2674235, -0.1112907, 1.88121, -0.2439156, -0.09359442, 2.1012, 0.09708576, -0.08833399, 2.123361, -0.06270763, -0.2727362, 2.064535, -0.05942794, -0.3012308, 2.001456
-0.2371143, 0.174844, 1.604554, 0.1138298, 0.1313404, 1.609816, -0.3341554, -0.1028223, 1.803485, 0.2249257, -0.1000699, 1.850819, -0.242154, -0.09928048, 2.082614, 0.05927037, -0.08769169, 2.106164, -0.06524222, -0.2692436, 2.063831, -0.06027217, -0.2978226, 2.000896
-0.1955412, 0.1308498, 1.567256, 0.08639371, 0.1140203, 1.566117, -0.3313421, -0.1037115, 1.803505, 0.1836423, -0.1114861, 1.820846, -0.224126, -0.09064143, 2.076211, 0.07246068, -0.07804975, 2.105933, -0.06656598, -0.2721995, 2.058031, -0.06133795, -0.3042924, 1.992118
-0.1683061, 0.08680382, 1.537134, 0.05502672, 0.07742387, 1.532051, -0.2925332, -0.1036703, 1.774411, 0.1626147, -0.13519, 1.790715, -0.2281686, -0.08332213, 2.07305, 0.05116142, -0.1052658, 2.057344, -0.07056867, -0.2730079, 2.052047, -0.06846334, -0.3073969, 1.985744
-0.153502, 0.04898161, 1.516392, 0.04273771, 0.034639, 1.507144, -0.2622547, -0.153778, 1.791304, 0.1264139, -0.1133287, 1.759156, -0.2188369, -0.06441693, 2.068047, 0.06195742, -0.09505471, 2.055475, -0.0708711, -0.271109, 2.050505, -0.06809665, -0.3076513, 1.983985
-0.1485812, 0.01137996, 1.502735, 0.04102192, 0.007517954, 1.490431, -0.2428789, -0.1192742, 1.768072, 0.1203056, -0.1712213, 1.783689, -0.2164902, -0.0662249, 2.064111, 0.06607235, -0.09757362, 2.051369, -0.06309768, -0.2896098, 2.032732, -0.05872512, -0.3336365, 1.962914
-0.1469741, -0.05012625, 1.501904, 0.04273925, -0.08009315, 1.501265, -0.2486316, -0.120377, 1.796542, 0.1140838, -0.1289792, 1.837355, -0.2695628, -0.0427768, 2.08697, 0.1093455, -0.03470745, 2.123157, -0.06214166, -0.2835268, 2.036246, -0.05449897, -0.3195964, 1.970316
-0.1502662, -0.04172634, 1.511386, 0.03882513, -0.100809, 1.500556, -0.2458149, -0.1530188, 1.803451, 0.1211539, -0.1641907, 1.825311, -0.250613, -0.04645076, 2.08375, 0.0968933, -0.04967536, 2.101045, -0.05919157, -0.2877553, 2.034885, -0.05313075, -0.3247837, 1.968268
-0.1332376, -0.1125579, 1.520771, 0.03611296, -0.1034492, 1.49506, -0.2480211, -0.1832912, 1.804564, 0.1268964, -0.1729381, 1.824632, -0.2387455, -0.05812678, 2.075332, 0.09234506, -0.05591902, 2.097145, -0.05818282, -0.2909402, 2.033031, -0.0519755, -0.3285583, 1.96575
-0.1506193, -0.1543428, 1.551222, 0.04062947, -0.1637625, 1.53582, -0.2647023, -0.2125457, 1.818335, 0.1351394, -0.2036313, 1.834869, -0.2372017, -0.06511039, 2.074382, 0.09409814, -0.06476942, 2.094181, -0.05761482, -0.280108, 2.038515, -0.05212344, -0.310885, 1.974295
-0.1685895, -0.1658153, 1.580841, 0.07951301, -0.1430874, 1.537241, -0.274201, -0.2267296, 1.828547, 0.1462152, -0.2222901, 1.841243, -0.2362161, -0.07109829, 2.077157, 0.0952799, -0.07538623, 2.093143, -0.05759926, -0.2801155, 2.038903, -0.0524271, -0.3109536, 1.974454
-0.2119903, -0.1659451, 1.626027, 0.09637284, -0.1769259, 1.629038, -0.306653, -0.2656857, 1.868959, 0.1905218, -0.2491247, 1.875234, -0.2326062, -0.07991304, 2.082568, 0.1015377, -0.08346999, 2.1007, -0.05857881, -0.2798496, 2.039629, -0.05354588, -0.3109003, 1.975013
-0.2664642, -0.1428736, 1.663915, 0.1471219, -0.1645329, 1.686157, -0.3284663, -0.2729624, 1.891866, 0.1944799, -0.2445874, 1.877888, -0.2274131, -0.0863205, 2.090529, 0.09912099, -0.08716561, 2.106059, -0.05719981, -0.2797572, 2.041162, -0.05247016, -0.3111215, 1.976377
-0.3364774, -0.1142588, 1.715748, 0.210683, -0.1298223, 1.738212, -0.3713416, -0.3038828, 1.95266, 0.2128218, -0.1919, 1.861693, -0.2362428, -0.1004198, 2.101979, 0.1038454, -0.09320143, 2.117576, -0.05529175, -0.2776786, 2.045403, -0.05103474, -0.3089885, 1.980728
-0.3777646, -0.08600634, 1.7698, 0.2447679, -0.09213298, 1.792587, -0.3559278, -0.2866039, 2.048051, 0.2829198, -0.2576311, 1.981575, -0.2433992, -0.108549, 2.109499, 0.1060241, -0.09598829, 2.127155, -0.05403527, -0.274475, 2.050366, -0.05001429, -0.3053136, 1.986115
