xlefthand, ylefthand, zlefthand, xRightHand, yRightHand, zRightHand, xLeftElbow, yLeftElbow, zLeftElbow, xRightElbow, yRightElbow, zRightElbow, xLeftshoulder, yLeftshoulder, zLeftshoulder, xRightshoulder, yRightshoulder, zRightshoulder, xSpine, ySpine, zSpine, xHipcenter, yHipcenter, zHipcenter
-0.5255367, 0.1561513, 1.990683, 0.3199227, 0.1555544, 2.03184, -0.4880464, -0.1458062, 2.092369, 0.3106278, -0.1055897, 2.142805, -0.282309, -0.03074173, 2.123743, 0.09215976, -0.02234402, 2.144698, -0.08206807, -0.1973742, 2.063318, -0.0763103, -0.2295302, 2.00544
-0.5295314, 0.1612333, 2.008742, 0.318821, 0.1600318, 2.039348, -0.4882097, -0.1457801, 2.092958, 0.3115414, -0.1048775, 2.14556, -0.2822992, -0.03073272, 2.12361, 0.09221897, -0.02229241, 2.144684, -0.0817461, -0.1971191, 2.063229, -0.07590298, -0.2291115, 2.005443
-0.5318062, 0.164847, 2.040716, 0.318501, 0.1610298, 2.064342, -0.4867334, -0.1483026, 2.096531, 0.3094406, -0.106166, 2.151287, -0.2833277, -0.03021505, 2.125767, 0.09223173, -0.02231672, 2.144996, -0.08138024, -0.1967177, 2.063516, -0.07567079, -0.2286229, 2.005822
-0.5296302, 0.1623722, 2.062807, 0.3184472, 0.1583997, 2.076362, -0.484271, -0.1531496, 2.100904, 0.3072653, -0.1088453, 2.157139, -0.2831391, -0.03061236, 2.126253, 0.09215474, -0.02247611, 2.145479, -0.08158342, -0.1965385, 2.064479, -0.07607231, -0.2284816, 2.007088
-0.5305412, 0.1507174, 2.084354, 0.3188902, 0.154066, 2.086009, -0.4803105, -0.1599375, 2.103997, 0.3039601, -0.1182428, 2.164209, -0.2830233, -0.03146617, 2.126965, 0.09224326, -0.02282916, 2.146474, -0.08182426, -0.1965666, 2.065007, -0.07644699, -0.2285717, 2.007705
-0.5261649, 0.1433255, 2.093507, 0.3200082, 0.1464937, 2.092488, -0.4732138, -0.1735918, 2.106872, 0.3033208, -0.1283364, 2.168998, -0.2824472, -0.03306225, 2.127076, 0.09231925, -0.02351333, 2.147217, -0.08204205, -0.1964175, 2.066437, -0.07659031, -0.228538, 2.009258
-0.544274, 0.1041391, 2.11807, 0.3211164, 0.1335764, 2.097532, -0.4694808, -0.1857321, 2.1047, 0.2942807, -0.1541458, 2.172259, -0.2818021, -0.0360347, 2.126643, 0.09211922, -0.02428305, 2.147248, -0.0819186, -0.1967785, 2.066645, -0.07658228, -0.2288276, 2.009442
-0.5471188, 0.09986047, 2.118165, 0.3250358, 0.1191773, 2.098976, -0.4610659, -0.1971011, 2.101185, 0.2926796, -0.1634136, 2.170889, -0.2817457, -0.04032777, 2.125479, 0.0916428, -0.02602722, 2.146449, -0.08166377, -0.1970192, 2.067028, -0.07645186, -0.2290844, 2.009797
-0.5479573, 0.07679137, 2.109749, 0.3261077, 0.08170845, 2.093324, -0.4346047, -0.2437642, 2.08522, 0.2845383, -0.1781016, 2.166968, -0.2811082, -0.04400648, 2.123413, 0.09130141, -0.02725853, 2.14543, -0.08141918, -0.197198, 2.066844, -0.07621087, -0.2293511, 2.009444
-0.5485205, 0.04381867, 2.105472, 0.3273691, 0.06495473, 2.087632, -0.4341999, -0.24565, 2.084019, 0.2720043, -0.1921833, 2.16115, -0.2807754, -0.04766018, 2.120652, 0.09036447, -0.02922761, 2.143179, -0.08091452, -0.1981868, 2.065975, -0.07539906, -0.2307225, 2.008057
-0.5494888, 0.04263958, 2.097025, 0.3296363, 0.0471333, 2.080353, -0.4322419, -0.2505854, 2.078869, 0.2659839, -0.2019818, 2.155499, -0.2812022, -0.05582412, 2.114968, 0.08736005, -0.03262016, 2.137186, -0.08072296, -0.2004973, 2.062982, -0.07545723, -0.2335974, 2.004054
-0.5715237, 0.05770025, 2.078286, 0.328519, 0.03682722, 2.067539, -0.4273005, -0.2546357, 2.073989, 0.2522715, -0.2130327, 2.146803, -0.2810389, -0.05921433, 2.11097, 0.0849831, -0.03586188, 2.130211, -0.08249166, -0.2020888, 2.060453, -0.07822851, -0.2354585, 2.001291
-0.5727788, 0.05522849, 2.05061, 0.3280428, 0.02775237, 2.057869, -0.4263375, -0.2520126, 2.069123, 0.2341243, -0.2334295, 2.14142, -0.282475, -0.05970205, 2.110258, 0.08400752, -0.03665611, 2.127367, -0.08303428, -0.2025456, 2.058596, -0.07895138, -0.2358326, 1.999606
-0.5736725, 0.04444804, 2.043142, 0.3274547, 0.02270868, 2.049994, -0.420069, -0.2584092, 2.061077, 0.2338772, -0.2340757, 2.140467, -0.281832, -0.06065761, 2.106859, 0.08370826, -0.03726451, 2.125686, -0.08385886, -0.2033354, 2.055799, -0.07968426, -0.2368266, 1.996737
-0.5403883, 0.01438979, 2.045063, 0.325147, 0.01916374, 2.043021, -0.4175694, -0.2591454, 2.058177, 0.2338131, -0.2356016, 2.139366, -0.2801496, -0.06060641, 2.103062, 0.08369236, -0.03779678, 2.124183, -0.08470942, -0.2042949, 2.053496, -0.080301, -0.2377819, 1.994488
-0.5359503, 0.01530065, 2.036431, 0.3241602, 0.01782605, 2.038233, -0.4152737, -0.2602829, 2.05554, 0.2326357, -0.2353429, 2.138799, -0.2805312, -0.06148735, 2.100875, 0.08320665, -0.0381417, 2.122455, -0.08455489, -0.2042769, 2.053509, -0.08008547, -0.2379607, 1.99452
-0.5325954, 0.0149314, 2.031503, 0.3238244, 0.0179143, 2.035247, -0.4148998, -0.2610845, 2.05398, 0.2328016, -0.2355453, 2.138134, -0.2802553, -0.06180493, 2.098742, 0.08320296, -0.03855984, 2.121743, -0.08504035, -0.2046291, 2.05313, -0.08033389, -0.2384321, 1.994261
-0.5308843, 0.01627449, 2.02764, 0.3227834, 0.01819196, 2.033948, -0.4146662, -0.261373, 2.053382, 0.2386094, -0.2269042, 2.132861, -0.2803712, -0.06202612, 2.097796, 0.0829876, -0.0389693, 2.121012, -0.08518944, -0.204807, 2.053204, -0.08040916, -0.2386933, 1.994398
-0.528122, 0.01598391, 2.024613, 0.3215464, 0.01847687, 2.033075, -0.4142271, -0.2614696, 2.05334, 0.238659, -0.2246006, 2.132031, -0.2802022, -0.06158172, 2.097517, 0.08294623, -0.03892234, 2.12106, -0.0852298, -0.2048439, 2.053133, -0.08036108, -0.2386994, 1.994364
-0.5249603, 0.01523263, 2.022418, 0.3206942, 0.01812968, 2.033164, -0.414194, -0.2615184, 2.053324, 0.2361741, -0.2277607, 2.13314, -0.28058, -0.06185731, 2.097435, 0.08238693, -0.03947232, 2.120647, -0.08515218, -0.2049085, 2.053112, -0.08026256, -0.2387074, 1.994343
-0.524124, 0.01524696, 2.021552, 0.3202497, 0.01815515, 2.033128, -0.4145267, -0.261051, 2.05336, 0.2376058, -0.2249479, 2.132374, -0.2808975, -0.06230882, 2.097392, 0.08245561, -0.03954761, 2.121111, -0.08524087, -0.2049344, 2.053197, -0.08029474, -0.2387343, 1.994498
-0.5244516, 0.01767089, 2.020112, 0.3200489, 0.01873074, 2.033037, -0.4163508, -0.2610511, 2.054272, 0.240269, -0.2216864, 2.132018, -0.2821848, -0.06382192, 2.097599, 0.08242841, -0.03978512, 2.121717, -0.08531745, -0.2050048, 2.053745, -0.08036663, -0.2387697, 1.995339
-0.5224398, 0.03651092, 2.0157, 0.3185142, 0.02780863, 2.032769, -0.4210161, -0.259492, 2.055986, 0.2501933, -0.2127671, 2.13065, -0.2830241, -0.06388468, 2.098338, 0.0826213, -0.04023324, 2.12272, -0.08541606, -0.2048399, 2.054173, -0.08034261, -0.238431, 1.996015
-0.5276946, 0.05873349, 2.013513, 0.3166487, 0.06137528, 2.036115, -0.4492877, -0.2164104, 2.056245, 0.2646832, -0.188851, 2.127257, -0.283243, -0.06386805, 2.099224, 0.08263197, -0.0398693, 2.123446, -0.08531696, -0.2045639, 2.054762, -0.08013372, -0.2379571, 1.996752
-0.5271809, 0.1090587, 2.006884, 0.3097381, 0.1148107, 2.031607, -0.4546968, -0.2043164, 2.056288, 0.279374, -0.1680633, 2.124039, -0.2840173, -0.05839298, 2.104048, 0.08189461, -0.03938481, 2.123563, -0.08538543, -0.2038519, 2.056883, -0.08031111, -0.2371393, 1.999312
-0.5150379, 0.1463681, 2.007138, 0.3035831, 0.1486367, 2.034156, -0.4753385, -0.1644014, 2.054401, 0.2985437, -0.1228077, 2.114687, -0.2846308, -0.05623174, 2.106037, 0.08424938, -0.03703444, 2.126943, -0.08556386, -0.202415, 2.058008, -0.08028274, -0.2352154, 2.000576
-0.4938337, 0.2099103, 2.007865, 0.290516, 0.1973782, 2.039628, -0.4818956, -0.1492264, 2.052763, 0.3150463, -0.1161034, 2.107562, -0.2852188, -0.04953041, 2.109693, 0.08632515, -0.03474884, 2.129059, -0.08574844, -0.1997914, 2.059791, -0.08036444, -0.2319957, 2.002513
-0.4946919, 0.2248561, 2.01016, 0.2774849, 0.2376807, 2.041801, -0.5006145, -0.08290014, 2.046801, 0.3311093, -0.05098624, 2.10882, -0.2866383, -0.04356562, 2.112849, 0.08882771, -0.03120176, 2.131188, -0.0885747, -0.1954301, 2.06229, -0.08427347, -0.2264537, 2.005392
-0.46874, 0.2885014, 2.023216, 0.246355, 0.2937937, 2.039875, -0.5007625, -0.06400914, 2.048982, 0.3315341, 0.001082959, 2.104345, -0.2923524, -0.03118647, 2.119904, 0.09161472, -0.02402832, 2.134125, -0.08793716, -0.1905391, 2.064922, -0.08372572, -0.2208696, 2.008158
-0.4564849, 0.3266132, 2.028922, 0.235583, 0.3341306, 2.043409, -0.5109388, 0.003080406, 2.049589, 0.3323355, 0.02679672, 2.103206, -0.2949245, -0.02585925, 2.122187, 0.09414341, -0.01708367, 2.136859, -0.08765816, -0.1875815, 2.066267, -0.08328829, -0.2173413, 2.009838
-0.4343806, 0.3711521, 2.036875, 0.1966254, 0.3840101, 2.04741, -0.5165113, 0.03497934, 2.049628, 0.3333873, 0.0779282, 2.09863, -0.296234, -0.01928733, 2.124443, 0.0948475, -0.01074235, 2.138011, -0.08943285, -0.1837829, 2.067025, -0.08543316, -0.2131137, 2.010437
-0.4432458, 0.3822681, 2.040432, 0.1939198, 0.4353706, 2.050107, -0.5097694, 0.09969252, 2.053515, 0.3205856, 0.1300179, 2.097665, -0.2970961, -0.01283369, 2.125709, 0.09440821, -0.003823798, 2.139698, -0.08969761, -0.1814875, 2.06889, -0.08546568, -0.2111248, 2.012387
-0.434554, 0.399866, 2.048654, 0.1896623, 0.4512253, 2.052594, -0.5063695, 0.1242542, 2.058302, 0.3115198, 0.1508007, 2.09889, -0.2972624, -0.006447784, 2.127617, 0.09444799, 0.006387274, 2.143617, -0.09120511, -0.1778469, 2.069742, -0.0871563, -0.2071344, 2.013443
-0.4271045, 0.4540257, 2.048671, 0.2126087, 0.4652711, 2.057345, -0.4886512, 0.1751586, 2.066389, 0.2901013, 0.1843749, 2.099632, -0.2978585, 0.001431501, 2.13097, 0.09218539, 0.01263009, 2.145138, -0.0921374, -0.173564, 2.070775, -0.08856509, -0.203115, 2.014467
-0.4114831, 0.4724826, 2.056533, 0.1948192, 0.4874841, 2.061823, -0.4770622, 0.1896587, 2.071079, 0.2707673, 0.2054803, 2.103448, -0.2989363, 0.009958117, 2.136248, 0.09619291, 0.02299721, 2.155563, -0.09273317, -0.1694687, 2.072398, -0.08885895, -0.1982965, 2.016606
-0.3752442, 0.4936255, 2.066202, 0.1894954, 0.5036598, 2.057948, -0.4557545, 0.2109639, 2.080188, 0.2496859, 0.2192608, 2.106459, -0.299315, 0.01849179, 2.141475, 0.09685864, 0.03431816, 2.161922, -0.09349396, -0.1652888, 2.074245, -0.08965061, -0.1940119, 2.018709
-0.3697432, 0.517765, 2.065468, 0.1880507, 0.5149018, 2.055189, -0.4380481, 0.232972, 2.088662, 0.2301871, 0.2302437, 2.108991, -0.3001893, 0.02942154, 2.148131, 0.09534331, 0.04196152, 2.165226, -0.09470484, -0.1608441, 2.076354, -0.0911252, -0.1895296, 2.020837
-0.3667146, 0.5306556, 2.062905, 0.114584, 0.5856664, 2.061706, -0.4241003, 0.2451929, 2.094715, 0.2165657, 0.2356316, 2.11177, -0.2985983, 0.03478985, 2.151319, 0.09226333, 0.04769995, 2.166889, -0.09571757, -0.1577465, 2.078048, -0.09222727, -0.1866944, 2.022454
-0.3324631, 0.539743, 2.081662, 0.1067356, 0.5944396, 2.064637, -0.412875, 0.2483872, 2.100828, 0.2050076, 0.2405089, 2.114474, -0.296918, 0.04113491, 2.155626, 0.0895458, 0.0507286, 2.168006, -0.09584006, -0.1558863, 2.079181, -0.09255172, -0.1848344, 2.023632
-0.3295659, 0.5460632, 2.082643, 0.09677776, 0.5939741, 2.069006, -0.4026409, 0.2633705, 2.103722, 0.1980789, 0.2433393, 2.1163, -0.2972796, 0.04645503, 2.158963, 0.0863443, 0.05484303, 2.168446, -0.09634886, -0.1525275, 2.081273, -0.09349626, -0.1815391, 2.025758
-0.3263261, 0.5490534, 2.085388, 0.09128284, 0.5972068, 2.069967, -0.400725, 0.2665074, 2.104957, 0.1903915, 0.2462816, 2.116658, -0.2970952, 0.05594957, 2.161344, 0.08425871, 0.05646622, 2.169335, -0.09695845, -0.1502224, 2.082226, -0.09378715, -0.1792108, 2.026846
-0.2949814, 0.592918, 2.08147, 0.08857924, 0.5973824, 2.071964, -0.4003175, 0.26769, 2.105131, 0.1894116, 0.2470233, 2.117256, -0.2966029, 0.05541511, 2.161535, 0.0836522, 0.05801525, 2.170031, -0.09643421, -0.1491976, 2.082697, -0.0933145, -0.1784887, 2.02726
-0.2956294, 0.5836816, 2.083415, 0.08750305, 0.5959467, 2.073264, -0.4007384, 0.258554, 2.106247, 0.1894735, 0.2463591, 2.117836, -0.2964112, 0.05488094, 2.161677, 0.08228466, 0.05770405, 2.169746, -0.09661568, -0.1492976, 2.082706, -0.09357609, -0.1786916, 2.027263
-0.2972427, 0.5716172, 2.08431, 0.08773014, 0.5921246, 2.073925, -0.404506, 0.2477825, 2.105003, 0.1923375, 0.2440666, 2.119273, -0.2955522, 0.05246802, 2.160656, 0.08307301, 0.05642449, 2.17037, -0.09677628, -0.1494342, 2.082651, -0.09363158, -0.1788561, 2.027224
