xlefthand, ylefthand, zlefthand, xRightHand, yRightHand, zRightHand, xLeftElbow, yLeftElbow, zLeftElbow, xRightElbow, yRightElbow, zRightElbow, xLeftshoulder, yLeftshoulder, zLeftshoulder, xRightshoulder, yRightshoulder, zRightshoulder, xSpine, ySpine, zSpine, xHipcenter, yHipcenter, zHipcenter
-0.4072419, 0.08121309, 1.772689, 0.28232, 0.1280682, 1.821252, -0.4756692, -0.1251484, 2.032132, 0.3167659, -0.1086271, 2.042281, -0.2707846, -0.03615402, 2.106891, 0.09888685, -0.03107485, 2.121496, -0.0715474, -0.2026222, 2.063188, -0.06567328, -0.2338772, 2.002326
-0.4106514, 0.1426364, 1.81598, 0.2875092, 0.2046757, 1.858713, -0.4771616, -0.07687905, 2.039465, 0.3330194, -0.06432948, 2.050585, -0.2695126, -0.03493543, 2.107032, 0.09876007, -0.03062962, 2.121676, -0.0714579, -0.2026544, 2.063086, -0.06555039, -0.2338779, 2.00221
-0.4166292, 0.1995583, 1.862376, 0.2890827, 0.2551056, 1.913977, -0.4835802, -0.06023677, 2.05332, 0.3369703, -0.03319151, 2.063172, -0.2677061, -0.03201743, 2.108695, 0.09978466, -0.02713859, 2.124489, -0.07150405, -0.202748, 2.063085, -0.06552064, -0.2338791, 2.00217
-0.430962, 0.2447905, 1.916879, 0.2804531, 0.2962264, 1.96849, -0.4962432, -0.02427073, 2.069157, 0.3432513, -0.003418815, 2.08087, -0.2690196, -0.02752301, 2.113616, 0.1015174, -0.02343527, 2.128752, -0.07127062, -0.2026572, 2.063096, -0.06534888, -0.2336195, 2.002138
-0.4407943, 0.284758, 1.968244, 0.2787741, 0.3271638, 2.015697, -0.5030364, -0.007200149, 2.078622, 0.3424827, 0.02323249, 2.097614, -0.2711496, -0.0208459, 2.121149, 0.1018417, -0.02019497, 2.132696, -0.071793, -0.2017744, 2.064616, -0.06650308, -0.2324627, 2.003736
-0.4475596, 0.3065798, 2.006783, 0.2720164, 0.3444101, 2.0452, -0.5133293, 0.02712822, 2.092508, 0.3424684, 0.03289028, 2.107851, -0.2717482, -0.01439076, 2.128076, 0.1014539, -0.01646872, 2.137661, -0.07538827, -0.1974607, 2.066446, -0.07188855, -0.2262798, 2.005707
-0.4496481, 0.3249855, 2.038735, 0.2717349, 0.3520316, 2.075228, -0.5152569, 0.03122379, 2.09831, 0.3439559, 0.04083198, 2.119364, -0.2714722, -0.0107376, 2.132327, 0.1017162, -0.01231772, 2.14486, -0.07650088, -0.1957682, 2.066419, -0.0729297, -0.2240222, 2.005501
-0.445481, 0.3393568, 2.061567, 0.264958, 0.3536927, 2.097588, -0.5174206, 0.0344694, 2.106508, 0.344598, 0.04383734, 2.129033, -0.2707678, -0.008481798, 2.135322, 0.1019528, -0.01108689, 2.148929, -0.07751869, -0.1948522, 2.066314, -0.07398503, -0.2229827, 2.005276
-0.4485113, 0.3584961, 2.056982, 0.2627297, 0.34795, 2.114225, -0.5184061, 0.03410103, 2.111822, 0.3461237, 0.04055982, 2.139367, -0.2701121, -0.007333346, 2.137582, 0.1016141, -0.01041219, 2.151616, -0.07815174, -0.194413, 2.066384, -0.07453053, -0.2225027, 2.005248
-0.4684767, 0.3097492, 2.112926, 0.2858677, 0.3239796, 2.141312, -0.5150993, 0.02256663, 2.120916, 0.3489526, 0.03079713, 2.148413, -0.2695697, -0.007491575, 2.138062, 0.1012233, -0.0104873, 2.153355, -0.07867934, -0.1941329, 2.066518, -0.07499565, -0.2221999, 2.0053
-0.4567674, 0.3312116, 2.125958, 0.2672301, 0.3182535, 2.140111, -0.5084698, 0.006208741, 2.126922, 0.3451252, 0.004043877, 2.157795, -0.2692716, -0.007768404, 2.138993, 0.1009255, -0.01138258, 2.15491, -0.07865359, -0.1942806, 2.066837, -0.07481965, -0.2224633, 2.00559
-0.4535983, 0.324697, 2.128747, 0.2806226, 0.2851233, 2.152179, -0.505313, -0.004957119, 2.12847, 0.3454276, -0.006784535, 2.159326, -0.2693276, -0.008734493, 2.139556, 0.1000442, -0.01255704, 2.155821, -0.07881497, -0.1943154, 2.066848, -0.07496301, -0.2224773, 2.005548
-0.4480892, 0.3022367, 2.131963, 0.2830115, 0.2756798, 2.155079, -0.4959118, -0.03709611, 2.129831, 0.3438873, -0.01847166, 2.161274, -0.2655984, -0.0132741, 2.137297, 0.09918098, -0.0137097, 2.156425, -0.07742839, -0.1963572, 2.066684, -0.07239346, -0.2264871, 2.004344
-0.4381718, 0.2973866, 2.129969, 0.2823655, 0.2735724, 2.156267, -0.494918, -0.03894406, 2.129852, 0.3427773, -0.02245033, 2.16224, -0.2652325, -0.01374006, 2.137535, 0.09808491, -0.01464375, 2.157043, -0.07642474, -0.1971609, 2.066773, -0.07102676, -0.2276759, 2.004082
-0.4567432, 0.2821199, 2.142226, 0.2816273, 0.2739434, 2.1587, -0.4950382, -0.03832971, 2.129082, 0.3425313, -0.02315295, 2.16223, -0.2622154, -0.01600472, 2.135801, 0.09750126, -0.0153076, 2.157479, -0.07551824, -0.198338, 2.066499, -0.06959112, -0.2294607, 2.003326
-0.4505689, 0.2851015, 2.152371, 0.2820861, 0.2785226, 2.17078, -0.5040692, -0.01011863, 2.126123, 0.344365, -0.01264828, 2.164151, -0.2625056, -0.0157628, 2.13642, 0.09739774, -0.01558425, 2.157897, -0.0753362, -0.19834, 2.066962, -0.06946187, -0.2294349, 2.003711
-0.4471706, 0.3125746, 2.163988, 0.2784246, 0.3130672, 2.188834, -0.5335245, 0.03826718, 2.119475, 0.3456492, 0.02324443, 2.166188, -0.2648008, -0.0137238, 2.138089, 0.09699222, -0.01481997, 2.158222, -0.07635958, -0.1970186, 2.067327, -0.07118906, -0.2273194, 2.004109
-0.4667988, 0.3404722, 2.169581, 0.197969, 0.3497644, 2.173437, -0.5194083, 0.05948751, 2.122219, 0.3451289, 0.04945401, 2.168073, -0.2662361, -0.009253041, 2.14034, 0.1043789, -0.00740301, 2.165615, -0.07795691, -0.192223, 2.070333, -0.07320116, -0.2212337, 2.00797
