xlefthand, ylefthand, zlefthand, xRightHand, yRightHand, zRightHand, xLeftElbow, yLeftElbow, zLeftElbow, xRightElbow, yRightElbow, zRightElbow, xLeftshoulder, yLeftshoulder, zLeftshoulder, xRightshoulder, yRightshoulder, zRightshoulder, xSpine, ySpine, zSpine, xHipcenter, yHipcenter, zHipcenter
-0.6937329, -0.1218168, 2.023618, 0.5962346, -0.05647852, 2.165887, -0.425453, -0.2487185, 2.076915, 0.3154571, -0.2024009, 2.132483, -0.2297584, -0.1100204, 2.122964, 0.0336453, -0.09012756, 2.132534, -0.08544983, -0.2750548, 2.036105, -0.08423402, -0.3038517, 1.959226
-0.6506252, -0.1517503, 2.042146, 0.5653875, -0.08467628, 2.164263, -0.4280799, -0.2482168, 2.077611, 0.2975296, -0.1979879, 2.132469, -0.2456767, -0.07663137, 2.168649, 0.03386022, -0.09032751, 2.132432, -0.08209654, -0.2744622, 2.036458, -0.08379327, -0.3033376, 1.95971
-0.6913484, -0.1413851, 2.03951, 0.5497851, -0.1130409, 2.168321, -0.4294795, -0.2496545, 2.078878, 0.2830905, -0.1969736, 2.133887, -0.2456684, -0.07664891, 2.168702, 0.03395815, -0.09034848, 2.132563, -0.08199264, -0.2742752, 2.036674, -0.08370285, -0.3031275, 1.959936
-0.6862629, -0.1538658, 2.047967, 0.5332401, -0.1246059, 2.170105, -0.4280264, -0.2537336, 2.082066, 0.2717724, -0.201696, 2.135671, -0.2455703, -0.07665493, 2.168753, 0.03392856, -0.09036855, 2.132745, -0.0820539, -0.2742429, 2.036726, -0.08374459, -0.3030677, 1.960003
-0.6768478, -0.1627529, 2.052164, 0.530746, -0.13066, 2.172832, -0.4243708, -0.2523615, 2.083352, 0.2615245, -0.2011655, 2.135093, -0.2201364, -0.101516, 2.131236, 0.03384371, -0.09031089, 2.131027, -0.0838906, -0.2749573, 2.034007, -0.08312684, -0.3039142, 1.95715
-0.6711989, -0.1689471, 2.05667, 0.5280125, -0.1405437, 2.179483, -0.4188166, -0.2483774, 2.087894, 0.2563694, -0.2041664, 2.135752, -0.2435228, -0.07710534, 2.169148, 0.03400438, -0.09069564, 2.131442, -0.07639454, -0.2732973, 2.035759, -0.07646761, -0.3018858, 1.95978
-0.667246, -0.1721459, 2.058972, 0.529813, -0.1455522, 2.180989, -0.4160899, -0.2478783, 2.089989, 0.2529952, -0.2047573, 2.136031, -0.2435119, -0.07710702, 2.169399, 0.03380632, -0.09104981, 2.131497, -0.07707842, -0.2731339, 2.035663, -0.07776934, -0.3017467, 1.959643
-0.6636053, -0.1737926, 2.060241, 0.5276569, -0.1488429, 2.180677, -0.4137894, -0.2475241, 2.091815, 0.2493918, -0.2072816, 2.136085, -0.2433821, -0.07710064, 2.169777, 0.03383785, -0.09113814, 2.131743, -0.07688057, -0.2732117, 2.035759, -0.07763536, -0.3018635, 1.959795
-0.6616527, -0.1747164, 2.060978, 0.5250087, -0.1515234, 2.179189, -0.4127472, -0.2465205, 2.092803, 0.2477108, -0.207322, 2.135928, -0.243407, -0.07709743, 2.169796, 0.03398736, -0.09118146, 2.132019, -0.07699106, -0.273192, 2.035858, -0.0778285, -0.3018437, 1.959922
-0.6584482, -0.1754924, 2.061049, 0.5195555, -0.1551218, 2.174476, -0.41272, -0.249794, 2.089379, 0.2446559, -0.2065843, 2.134738, -0.2227889, -0.1007139, 2.129584, 0.03398778, -0.0911788, 2.131169, -0.07967767, -0.2741268, 2.034161, -0.0775141, -0.3030159, 1.95791
-0.6578418, -0.1744945, 2.061959, 0.5189643, -0.1573554, 2.173316, -0.4081188, -0.2428371, 2.093106, 0.2429339, -0.2069757, 2.133665, -0.2376447, -0.07854563, 2.160483, 0.0339804, -0.09120767, 2.131235, -0.07756041, -0.273788, 2.034457, -0.07750385, -0.3028049, 1.958354
-0.6595181, -0.1723012, 2.061378, 0.5184944, -0.1574014, 2.172587, -0.4072738, -0.2417675, 2.093471, 0.2413585, -0.2079145, 2.132498, -0.2377257, -0.07826583, 2.160869, 0.03404676, -0.09147394, 2.131082, -0.07762143, -0.2736867, 2.034641, -0.07775954, -0.3026792, 1.958614
-0.6576334, -0.170206, 2.060701, 0.5180774, -0.1572254, 2.171627, -0.4066949, -0.2441073, 2.090245, 0.2394271, -0.2073994, 2.131139, -0.2229909, -0.09509652, 2.133775, 0.03406029, -0.09142388, 2.13036, -0.07921387, -0.2747923, 2.03269, -0.07737821, -0.3041406, 1.956325
-0.656912, -0.1684297, 2.060483, 0.5176366, -0.1558045, 2.16937, -0.4073065, -0.2392904, 2.09289, 0.2384994, -0.2076458, 2.13036, -0.2380382, -0.07935149, 2.158907, 0.03412318, -0.09140771, 2.130504, -0.07738846, -0.2742665, 2.033071, -0.07767604, -0.303501, 1.957007
-0.6561061, -0.1676351, 2.060576, 0.5142629, -0.155939, 2.165828, -0.4069212, -0.2380872, 2.093275, 0.2379573, -0.2073407, 2.130037, -0.2383717, -0.07861535, 2.160172, 0.03417497, -0.09137112, 2.130678, -0.07739887, -0.2738376, 2.03329, -0.0779309, -0.3029832, 1.95731
-0.6550152, -0.1670088, 2.060379, 0.5159074, -0.1543606, 2.165877, -0.4064304, -0.2375368, 2.093502, 0.2376516, -0.2072107, 2.129234, -0.2385307, -0.07831864, 2.160728, 0.0344444, -0.0912023, 2.130986, -0.07734653, -0.2733122, 2.033545, -0.07794816, -0.3024113, 1.957641
-0.6544291, -0.1663987, 2.061286, 0.5159636, -0.1535651, 2.165252, -0.4057526, -0.2369544, 2.093675, 0.2374588, -0.2073699, 2.128541, -0.2384076, -0.07796523, 2.161184, 0.03479792, -0.09127764, 2.131122, -0.07744788, -0.2730057, 2.033803, -0.07821944, -0.3019015, 1.958045
-0.6574478, -0.1592669, 2.061656, 0.5147693, -0.1525855, 2.163755, -0.4054766, -0.2363567, 2.093855, 0.2371694, -0.2071985, 2.128194, -0.2385692, -0.07769352, 2.161907, 0.03487387, -0.09128209, 2.131205, -0.07736893, -0.2728583, 2.033979, -0.07824482, -0.3017129, 1.95826
-0.6528561, -0.1625416, 2.063539, 0.5154909, -0.1491266, 2.163235, -0.4052424, -0.2360519, 2.094203, 0.2370188, -0.2072781, 2.127758, -0.238976, -0.07752184, 2.163269, 0.0350361, -0.09149908, 2.131091, -0.07730556, -0.2726926, 2.034137, -0.07838592, -0.3014939, 1.958505
-0.6501895, -0.1520695, 2.066588, 0.4994068, -0.1256254, 2.169035, -0.4053187, -0.2358616, 2.094333, 0.2542818, -0.1663292, 2.136382, -0.2392232, -0.07759872, 2.163348, 0.03517356, -0.09148126, 2.131294, -0.07742142, -0.2723266, 2.034468, -0.07857753, -0.3010277, 1.958915
-0.6496986, -0.1400207, 2.072001, 0.508231, -0.08341521, 2.185903, -0.4061287, -0.2345326, 2.094395, 0.2564504, -0.1578301, 2.139866, -0.2392368, -0.07749972, 2.163609, 0.03533123, -0.09153596, 2.131483, -0.0774724, -0.2723318, 2.034674, -0.07867663, -0.3010077, 1.959157
-0.656844, -0.1159456, 2.084931, 0.5049276, -0.06586781, 2.188271, -0.408872, -0.2323311, 2.094985, 0.2399463, -0.2034698, 2.127721, -0.2394859, -0.07738674, 2.163983, 0.03574825, -0.09199798, 2.131413, -0.07750029, -0.2723871, 2.034887, -0.07871268, -0.3010295, 1.959385
-0.6467677, -0.1144176, 2.081846, 0.4761978, -0.01533787, 2.18693, -0.4124589, -0.2294415, 2.096652, 0.2426015, -0.1991476, 2.130356, -0.2396427, -0.07731201, 2.164205, 0.03588969, -0.09207387, 2.13162, -0.07801519, -0.2720951, 2.035214, -0.07938103, -0.3006455, 1.95978
-0.645118, -0.09077813, 2.081434, 0.4697336, 0.01603006, 2.183548, -0.4167534, -0.2251735, 2.099444, 0.2466497, -0.1901037, 2.13483, -0.2401074, -0.07720318, 2.164726, 0.03618195, -0.0922186, 2.131935, -0.07807021, -0.2719106, 2.035595, -0.07950049, -0.3004135, 1.960227
-0.5931087, -0.00107912, 2.123635, 0.433, 0.0484783, 2.172042, -0.4265735, -0.2164952, 2.106453, 0.2516839, -0.1789947, 2.13984, -0.2416095, -0.07725541, 2.166511, 0.03669144, -0.0924197, 2.132522, -0.07518855, -0.2709639, 2.036945, -0.07539079, -0.2989728, 1.962153
