xlefthand, ylefthand, zlefthand, xRightHand, yRightHand, zRightHand, xLeftElbow, yLeftElbow, zLeftElbow, xRightElbow, yRightElbow, zRightElbow, xLeftshoulder, yLeftshoulder, zLeftshoulder, xRightshoulder, yRightshoulder, zRightshoulder, xSpine, ySpine, zSpine, xHipcenter, yHipcenter, zHipcenter
-0.3962919,0.17124,1.492896,0.3623705,0.07972794,1.422893,-0.3606371,-0.04080322,1.636403,0.291896,-0.08987492,1.602261,-0.1914075,0.102409,1.59045,0.1684226,0.09319554,1.570112,-0.009857553,-0.08817094,1.530872,-0.01309028,-0.1351877,1.492727
-0.4027868,0.1842042,1.504684,0.3561584,0.1065074,1.43346,-0.3865249,-0.03249102,1.650135,0.3038549,-0.08547612,1.607744,-0.1999208,0.1022545,1.606173,0.1643662,0.08955361,1.582727,-0.01423826,-0.08817074,1.541761,-0.01762474,-0.134661,1.501445
-0.4146288,0.1956547,1.523376,0.3556505,0.1048232,1.445734,-0.4059044,-0.01368917,1.650986,0.319584,-0.07371379,1.606419,-0.2081807,0.09854789,1.617791,0.1596106,0.08714148,1.594103,-0.01869533,-0.08878376,1.550958,-0.02186509,-0.1342666,1.508609
-0.4268937,0.2018878,1.540137,0.3445205,0.1509472,1.46657,-0.4113796,-0.01576642,1.656372,0.323904,-0.06976108,1.606787,-0.213163,0.09488563,1.624801,0.1547926,0.0848706,1.604126,-0.02292658,-0.09019078,1.558135,-0.02568939,-0.1348315,1.514036
-0.4283251,0.2108431,1.547583,0.3422875,0.1547443,1.470786,-0.4161499,-0.01486715,1.65777,0.3245834,-0.06853594,1.608182,-0.2185394,0.09059046,1.6314,0.1501493,0.08349086,1.612063,-0.02687763,-0.0922454,1.564775,-0.02954509,-0.1363928,1.519138
-0.4339138,0.2189942,1.558865,0.3368175,0.1609164,1.481112,-0.4225762,-0.01850244,1.660814,0.3247185,-0.06648776,1.609168,-0.2250684,0.08628413,1.639589,0.1446155,0.08227095,1.618457,-0.03052318,-0.09359296,1.570031,-0.03324768,-0.1371313,1.522992
-0.4476407,0.2121334,1.575108,0.3339569,0.1667492,1.495309,-0.4270797,-0.0195903,1.662271,0.3237701,-0.06468601,1.610378,-0.2326415,0.08092444,1.648305,0.1392482,0.0808244,1.624149,-0.03372241,-0.09447999,1.575502,-0.03668212,-0.1374704,1.527089
-0.4565304,0.2076371,1.58847,0.3304163,0.1739973,1.509826,-0.4322082,-0.02114207,1.664524,0.3210902,-0.06257439,1.612715,-0.2378019,0.07773081,1.653807,0.1336486,0.07877493,1.628837,-0.03744157,-0.09567984,1.580009,-0.04032612,-0.137733,1.530358
-0.4654701,0.2069142,1.599997,0.3252154,0.1789639,1.521227,-0.4377464,-0.022973,1.6674,0.3174822,-0.06127239,1.615775,-0.2406953,0.07576755,1.656637,0.1292856,0.07652696,1.634387,-0.04175721,-0.09687641,1.583881,-0.04440331,-0.1383609,1.533112
-0.4709718,0.207021,1.607704,0.3218362,0.1834041,1.529867,-0.4421887,-0.02500969,1.670713,0.3147961,-0.06005146,1.618575,-0.2434146,0.07415056,1.658894,0.1251403,0.07449661,1.638079,-0.04500009,-0.09815651,1.586488,-0.04737227,-0.1392221,1.534706
