xlefthand, ylefthand, zlefthand, xRightHand, yRightHand, zRightHand, xLeftElbow, yLeftElbow, zLeftElbow, xRightElbow, yRightElbow, zRightElbow, xLeftshoulder, yLeftshoulder, zLeftshoulder, xRightshoulder, yRightshoulder, zRightshoulder, xSpine, ySpine, zSpine, xHipcenter, yHipcenter, zHipcenter
-0.2749996, -0.2827441, 1.228157, 0.4399106, -0.3354329, 1.258163, -0.2171001, -0.1150808, 1.541865, 0.3828284, -0.1181685, 1.536759, -0.1150367, 0.08280571, 1.616772, 0.2346543, 0.09579987, 1.615754, 0.06950989, -0.1272656, 1.625226, 0.07030292, -0.185801, 1.618976
-0.2721323, -0.2909369, 1.230754, 0.4376639, -0.3369247, 1.259104, -0.214361, -0.1127766, 1.538676, 0.3767648, -0.1137369, 1.531557, -0.1148041, 0.093748, 1.614488, 0.2342702, 0.107003, 1.611758, 0.06986894, -0.1199388, 1.622075, 0.07054962, -0.1797884, 1.616298
-0.2717215, -0.3381942, 1.221317, 0.4160677, -0.3187469, 1.309039, -0.206424, -0.100708, 1.533934, 0.3534128, -0.0932238, 1.527245, -0.1137625, 0.1280818, 1.612575, 0.2355688, 0.1350726, 1.605215, 0.07191831, -0.0994122, 1.616417, 0.07293793, -0.161625, 1.610371
-0.2713222, -0.3392415, 1.247736, 0.4077098, -0.2980326, 1.346488, -0.1964693, -0.08418693, 1.535024, 0.3442629, -0.07936735, 1.528783, -0.1146428, 0.1582832, 1.616451, 0.235235, 0.1673035, 1.604224, 0.07150447, -0.07154315, 1.610765, 0.07283024, -0.1356605, 1.602642
-0.2683244, -0.3280229, 1.294943, 0.3857133, -0.2328724, 1.397538, -0.1849582, -0.06263664, 1.540781, 0.3332881, -0.05943607, 1.537346, -0.113582, 0.1889773, 1.62073, 0.2343942, 0.1901147, 1.603507, 0.06891736, -0.04449388, 1.607744, 0.06888154, -0.1100735, 1.595973
-0.252308, -0.2842266, 1.377981, 0.383965, -0.232425, 1.394892, -0.1700964, -0.0349022, 1.555012, 0.3206616, -0.03095471, 1.550859, -0.1145986, 0.2248125, 1.627447, 0.2314453, 0.2410174, 1.608381, 0.06667699, -0.01263579, 1.607263, 0.06566097, -0.07909396, 1.591077
-0.2550917, -0.2640381, 1.39988, 0.3707109, -0.2662221, 1.384662, -0.1613026, -0.01022706, 1.56956, 0.3145134, -0.004945794, 1.560663, -0.1163518, 0.2597088, 1.634035, 0.2318877, 0.2659946, 1.611946, 0.06354275, 0.01746732, 1.608716, 0.06188628, -0.05041597, 1.587798
-0.2616482, -0.2558209, 1.42304, 0.3347048, -0.2404579, 1.411021, -0.1589664, 0.01075655, 1.579271, 0.3095032, 0.02525161, 1.56908, -0.1180755, 0.2927504, 1.639162, 0.2303973, 0.3067139, 1.617743, 0.0601144, 0.04428578, 1.611231, 0.05755203, -0.02414353, 1.585527
-0.2588904, -0.2277533, 1.454282, 0.3534579, -0.1615373, 1.453529, -0.1615066, 0.05181125, 1.592418, 0.3083083, 0.07982557, 1.584621, -0.1167108, 0.3242899, 1.64409, 0.2315418, 0.3350423, 1.624078, 0.05808039, 0.06653713, 1.613379, 0.05524584, -0.00303058, 1.583546
-0.2629013, -0.2224814, 1.463467, 0.3571365, -0.1918315, 1.439892, -0.1646142, 0.07684705, 1.603393, 0.3089254, 0.09578243, 1.588598, -0.1166957, 0.351845, 1.648798, 0.2306215, 0.3659152, 1.629522, 0.05875454, 0.1075926, 1.616146, 0.05617022, 0.04286255, 1.582953
-0.2716493, -0.2026181, 1.47035, 0.3556819, -0.1753574, 1.45068, -0.168537, 0.1040732, 1.616255, 0.3124306, 0.1196065, 1.595323, -0.1175753, 0.3705678, 1.652345, 0.2285175, 0.3809, 1.631797, 0.05843046, 0.1178243, 1.618402, 0.05612007, 0.0508185, 1.582997
-0.2488128, -0.1613272, 1.4787, 0.3443916, -0.1620397, 1.450386, -0.1758832, 0.1267156, 1.627725, 0.3177334, 0.1332108, 1.599876, -0.1179339, 0.3923555, 1.656551, 0.2253922, 0.3976875, 1.634846, 0.05756988, 0.1331162, 1.619091, 0.05566561, 0.06639035, 1.581357
-0.2273129, -0.1111112, 1.498969, 0.3277253, -0.1323888, 1.459404, -0.1876413, 0.1560112, 1.642509, 0.324856, 0.1471469, 1.606447, -0.1192832, 0.3953301, 1.657573, 0.2236124, 0.4053292, 1.636197, 0.05739638, 0.1377194, 1.620245, 0.05543015, 0.07097685, 1.580529
-0.2180798, -0.08971626, 1.50025, 0.3221933, -0.1227896, 1.455543, -0.2005006, 0.1764982, 1.651096, 0.3401208, 0.1711613, 1.619423, -0.1205565, 0.3975689, 1.657995, 0.2228387, 0.4083204, 1.636893, 0.05794514, 0.1393875, 1.621576, 0.05627867, 0.07338899, 1.580113
-0.2057199, -0.09579445, 1.482138, 0.3118594, -0.1016292, 1.44661, -0.2134694, 0.182725, 1.655141, 0.3448436, 0.1737628, 1.622911, -0.1213941, 0.397895, 1.658079, 0.2227853, 0.4084219, 1.6372, 0.05812556, 0.1392263, 1.623324, 0.05646582, 0.07355122, 1.580389
-0.1939875, -0.08210249, 1.473698, 0.3005562, -0.06887225, 1.436485, -0.2290022, 0.1862696, 1.656746, 0.3543989, 0.1788648, 1.628275, -0.1225099, 0.3946183, 1.655744, 0.2234478, 0.4039203, 1.636679, 0.0593729, 0.1351208, 1.624572, 0.0579169, 0.06987526, 1.580903
-0.1909471, -0.06262875, 1.476894, 0.2979825, -0.06814981, 1.421651, -0.2499167, 0.1768128, 1.653686, 0.3629743, 0.1775498, 1.629827, -0.124892, 0.374927, 1.648193, 0.2265248, 0.3814546, 1.632583, 0.06144877, 0.1186187, 1.626296, 0.06033104, 0.05454263, 1.583037
